DH,distance,ranking,name,team,result,remark
H,500m,1,USfrd,,34.42 OR;34.81,
H,500m,2,JPsmz,,34.61;34.65,
H,500m,3,UScpt,,34.68;34.79,
H,500m,4,NLvld,,34.72 NR;34.77,
H,500m,5,KRkhl,,34.74;34.85,
H,500m,6,USchk,,34.78;34.82,
H,500m,7,CAirl,,34.77;34.83,
H,500m,8,JPtkd,,35.00;34.81,
H,500m,9,NLbos,,35.14;34.72 NR,
H,500m,10,NLwnn,,35.00;34.89,
H,500m,11,RUlbk,,35.09;35.01,
H,500m,27,NLpst,,36.41;36.08,
H,500m,-1,CAwsp,,gevallen;34.63,
H,1000m,1,NLvld,,67.18,WR
H,1000m,2,NLbos,,67.53,
H,1000m,3,USchk,,67.61,
H,1000m,4,UScpt,,67.89,
H,1000m,5,NLwnn,,67.95,
H,1000m,6,USprs,,67.97,
H,1000m,7,USfrd,,68.15,
H,1000m,8,KRkhl,,68.37,
H,1000m,11,NOsnd,,68.64,
H,1000m,13,CAwsp,,68.82,
H,1000m,14,CAirl,,68.88,
H,1000m,17,NLpst,,69.15,
H,1500m,1,USprr,,103.95,WR
H,1500m,2,NLuyt,,104.57,NR
H,1500m,3,NOsnd,,105.26,
H,1500m,4,USchk,,105.34,
H,1500m,5,NLpst,,105.41,
H,1500m,6,USprs,,105.51,
H,1500m,7,NLbos,,105.63,
H,1500m,8,KRkhl,,105.82,
H,1500m,9,NLrts,,105.86,
H,1500m,10,RUllk,,105.97,
H,1500m,11,RUsjp,,105.98,
H,1500m,12,CAmlk,,106,
H,5km,1,NLuyt,,374.66,WR
H,5km,2,USprr,,377.98,
H,5km,3,DEbdn,,381.73,
H,5km,4,RUsjp,,381.85,
H,5km,5,USkcb,,382.97,
H,5km,6,NLvrh,,384.71,
H,5km,7,ITsgh,,385.11,
H,5km,8,BEvld,,385.88,
H,5km,9,DEdtt,,385.89,
H,5km,10,NOstr,,385.92,
H,5km,11,CAmlk,,386.29,
H,5km,30,NLdjg,,403.97,
H,10km,1,NLuyt,,778.92,WR
H,10km,2,NLrmm,,790.03,
H,10km,3,NOstr,,796.92,
H,10km,4,JPshr,,800.4,
H,10km,5,DEbdn,,803.43,
H,10km,6,RUsjp,,803.83,
H,10km,7,ITsgh,,806.19,
H,10km,8,NOstl,,807.24,
H,10km,9,BEvld,,807.48,
H,10km,10,DEdtt,,808.73,
H,10km,13,USprr,,813.44,
H,10km,14,PLzgm,,815.5,
H,10km,15,NLdjg,,828.93,
D,500m,1,CAlmy,,37.30;37.45,
D,500m,2,DEgbr,,37.34;37.60,
D,500m,3,DEvlk,,37.62;37.57,
D,500m,4,NLnuy,,37.54;37.83,
D,500m,5,BYktj,,37.73;37.66,
D,500m,6,JPokz,,37.77;37.87,
D,500m,7,RUzjr,,37.55;38.09,
D,500m,8,NLtmm,,38.30;37.87,
D,500m,9,JPwtn,,37.98;38.22,
D,500m,10,RUkkn,,38.05;38.26,
D,500m,11,JPsnm,,38.25;38.12,
D,500m,18,NLwsm,,38.31;38.79,
D,1000m,1,USwtt,,73.83,WR
D,1000m,2,DEvlk,,73.96,
D,1000m,3,USrdr,,74.24,
D,1000m,4,NLtmm,,74.45,NR
D,1000m,5,DEfrs,,74.47,
D,1000m,6,DEgbr,,74.6,
D,1000m,7,JPtnk,,74.64,
D,1000m,8,NLnuy,,74.65,
D,1000m,9,CAlmy,,74.72,
D,1000m,10,ITsmn,,74.86,
D,1000m,15,NLthm,,75.2,
D,1000m,18,NLwsm,,76.48,
D,1500m,1,DEfrs,,114.02,WR
D,1500m,2,DEvlk,,114.97,
D,1500m,3,USrdr,,115.32,
D,1500m,4,CAkls,,115.59,
D,1500m,5,USwtt,,115.71,
D,1500m,6,DEpch,,115.93,
D,1500m,7,NLtdj,,116.02,
D,1500m,8,USsnn,,116.29,
D,1500m,9,JPtbt,,116.35,
D,1500m,11,NLthm,,116.45,
D,1500m,21,NLtmm,,119.6,
D,1500m,-1,NLgrn,,gevallen,
D,3km,1,DEpch,,237.7,WR
D,3km,2,NLgrn,,238.94,NR
D,3km,3,CAkls,,238.97,
D,3km,4,DEfrs,,239.39,
D,3km,5,NLtdj,,240.49,
D,3km,6,JPtbt,,243.63,
D,3km,7,USrdr,,244.99,
D,3km,8,CAgrv,,246.44,
D,3km,9,AThnd,,246.55,
D,3km,10,CAhgh,,246.57,
D,3km,11,NLgsm,,247.41,
D,3km,12,DEans,,247.55,
D,5km,1,DEpch,,406.91,WR
D,5km,2,NLgsm,,409.22,NR
D,5km,3,CAhgh,,413.53,
D,5km,4,CAkls,,415.89,
D,5km,5,RUbrs,,416.97,
D,5km,6,DEfrs,,418.39,
D,5km,7,NLtdj,,421.17,
D,5km,8,JPtbt,,426.32,
D,5km,9,USrny,,426.89,
D,5km,10,CAgrv,,427.16,
D,5km,11,RUjks,,428.42,
D,5km,12,DEans,,430.17,
D,5km,13,NLvis,,439.08,
