DH,distance,ranking,name,team,result,remark
H,500m,1,USjst,,33.77,OR
H,500m,2,NLjbo,,33.88,
H,500m,3,CAldb,,34.26,
H,500m,4,PLdzr,,34.35,
H,500m,5,NLsdz,,34.46,
H,500m,6,JPtsh,,34.46,
H,500m,7,CNtgy,,34.47,
H,500m,8,PLmkn,,34.48,
H,500m,9,KZjks,,34.56,
H,500m,10,JPwmr,,34.62,
H,500m,11,KRjnh,,34.66,
H,500m,21,NLjwn,,34.89,
H,1000m,1,USjst,,1:06.28,OR
H,1000m,2,NLjbo,,1:06.78,
H,1000m,3,CNzhn,,1:07.34,
H,1000m,4,PLdzr,,1:07.41,
H,1000m,5,NLjwn,,1:07.58,gehinderd op kruising
H,1000m,6,NLkns,,1:07.65,
H,1000m,7,ITdts,,1:08.17,
H,1000m,8,CAldb,,1:08.21,
H,1000m,9,UScmd,,1:08.48,
H,1000m,10,KRkkm,,1:08.53,
H,1000m,11,HUkms,,1:08.59,eerder voor Zuid-Korea
H,1000m,12,DEfsn,,1:08.80,
H,5km,1,NOeit,,6:03.95,OR
H,5km,2,CZjlk,,6:06.48,
H,5km,3,ITlrl,,6:09.22,
H,5km,4,ITdgh,,6:09.57,
H,5km,5,FRtlb,,6:11.15,
H,5km,6,NOkng,,6:11.31,
H,5km,7,NLchz,,6:11.58,
H,5km,8,UScdw,,6:11.88,
H,5km,9,NLsbt,,6:12.94,
H,5km,10,DEggr,,6:14.40,
H,5km,11,NLbsk,,6:17.47,
H,10km,1,CZjlk,,12:33.43,
H,10km,2,PLwsm,,12:39.08,
H,10km,3,NLbrg,,12:40.48,
H,10km,4,FRtlb,,12:44.20,
H,10km,5,NLsbt,,12:45.75,
H,10km,6,ITdgh,,12:46.72,
H,10km,7,NOeit,,12:47.11,
H,10km,8,ITlrl,,12:56.22,
H,10km,9,CAblm,,13:00.01,
H,10km,10,BEswn,,13:05.60,
H,10km,11,NOshr,,13:27.29,
D,500m,1,NLkok,,36.49,OR
D,500m,2,NLjlr,,37.15,
D,500m,3,JPtkg,,37.27,
D,500m,4,ITspr,,37.31,
D,500m,5,USjck,,37.32,
D,500m,6,PLzmk,,37.39,
D,500m,7,CAblm,,37.53,
D,500m,8,DEswr,,37.75,
D,500m,9,JPrym,,37.78,
D,500m,10,KRlnh,,37.86,
D,500m,11,PLawj,,37.91,
D,500m,15,NLabr,,38.01,
D,1000m,1,NLjlr,,1:12.31,OR
D,1000m,2,NLkok,,1:12.59,
D,1000m,3,JPtkg,,1:13.95,
D,1000m,4,USbbw,,1:14.55,
D,1000m,5,CAblm,,1:14.73,
D,1000m,6,USjck,,1:15.00,
D,1000m,7,JPrym,,1:15.16,
D,1000m,8,NLssc,,1:15.46,
D,1000m,9,KRlnh,,1:15.76,
D,1000m,10,CZzdl,,1:15.83,
D,1000m,11,GBesm,,1:15.83,
D,1000m,12,CNyqi,,1:15.87,
D,3km,1,ITlll,,3:54.28,OR
D,3km,2,NOwkl,,3:56.54,
D,3km,3,CAmlt,,3:56.93,
D,3km,4,NLjbn,,3:58.12,
D,3km,5,CAwdm,,3:59.24,
D,3km,6,KZmrz,,4:01.20,
D,3km,7,BEsts,,4:01.26,
D,3km,8,NLmgr,,4:01.35,
D,3km,9,NLmcn,,4:01.65,
D,3km,10,KZglb,,4:03.30,
D,3km,11,CHkmg,,4:04.97,
D,3km,12,RUkkr,,4:05.83,
D,5km,1,ITlll,,6:46.17,
D,5km,2,NLmcn,,6:46.27,
D,5km,3,NOwkl,,6:46.34,
D,5km,4,BEsts,,6:46.47,
D,5km,5,CAwdm,,6:50.08,
D,5km,6,BYzjv,,6:57.70,
D,5km,7,NLmgr,,6:58.33,
D,5km,8,DEmjs,,7:00.94,
D,5km,9,CAlhl,,7:02.90,
D,5km,10,KZmrz,,7:04.81,
D,5km,11,CZsbl,,7:07.08,
D,5km,12,CNtzh,,7:17.71,
H,teampursuit,1,IT,Ghiotto; Giovannini; Malfatti,3:39.20,
H,teampursuit,2,US,Cepuran; Dawson; Lehman,3:43.71,
H,teampursuit,3,CN,Liu; Wu; Li,3:41.38,
H,teampursuit,4,NL,Bergsma; Huizinga; Van de Bunt,3:41.47,
D,teampursuit,1,CA,Blondin; Maltais; Weidemann,2:55.80,
D,teampursuit,2,NL,Beune; Groenewoud; Rijpma-de Jong,2:56.77,
D,teampursuit,3,JP,Sato; Takagi; Noake,2:58.50,
D,teampursuit,4,US,Bowe; Manganello; Myers,3:02.00,
