DH,distance,ranking,name,team,result,remark
H,500m,1,NLmmd,,34.63;34.67,
H,500m,2,NLsmk,,34.59;34.72,
H,500m,3,NLmld,,34.96;34.49,
H,500m,4,KRtbm,,34.84;34.85,
H,500m,5,JPkat,,34.96;34.77,
H,500m,6,JPngs,,34.79;35.25,
H,500m,7,KZrkr,,35.04;35,
H,500m,8,DEnih,,34.99;35.11,
H,500m,9,PLaws,,35.01;35.19,
H,500m,10,CAgjn,,35.15;35.09,
H,500m,11,CAgrg,,35.17;35.1,
H,500m,12,NOehv,,35.2;35.21,
H,1000m,1,NLgrt,,68.39,BR
H,1000m,2,CAmor,,68.43,
H,1000m,3,NLmmd,,68.74,
H,1000m,4,DEnih,,68.86,
H,1000m,5,DEssc,,68.89,
H,1000m,6,NLvrw,,69.09,
H,1000m,7,KZkzn,,69.1,
H,1000m,8,USdvs,,69.12,
H,1000m,9,UShns,,69.21,
H,1000m,10,NLtrt,,69.29,
H,1000m,11,NOhlr,,69.33,
H,1000m,12,KRtbm,,69.37,
H,1500m,1,PLbrd,,105,BR
H,1500m,2,NLvrw,,105,
H,1500m,3,CAmor,,105.22,
H,1500m,4,RUjsk,,105.37,
H,1500m,5,NLtrt,,105.42,
H,1500m,6,NObok,,105.48,
H,1500m,7,UShns,,105.59,
H,1500m,8,NOpdr,,105.66,
H,1500m,9,KZkzn,,105.69,
H,1500m,10,BEswn,,105.95,
H,1500m,11,USdvs,,105.98,
H,1500m,12,NLgrt,,106.08,
H,1500m,13,NLblk,,106.5,
H,5km,1,NLkrm,,370.76,BR/OS
H,5km,2,NLblk,,375.71,
H,5km,3,NLbrg,,376.66,
H,5km,4,BEswn,,377.79,
H,5km,5,NOpdr,,378.84,
H,5km,6,RUjsk,,379.51,
H,5km,7,RUskb,,379.83,
H,5km,8,DEpbk,,381.18,
H,5km,9,NObok,,382.83,
H,5km,10,DEgsr,,384.79,
H,5km,11,RUrmj,,384.93,
H,5km,12,KRlsh,,385.61,
H,10km,1,NLbrg,,764.45,BR
H,10km,2,NLkrm,,769.02,
H,10km,2,NLdjg,,787.19,
H,10km,4,KRlsh,,791.68,
H,10km,5,BEswn,,793.99,
H,10km,6,DEpbk,,794.26,
H,10km,7,NZdbb,,796.42,
H,10km,8,DEgsr,,800.26,
H,10km,9,RUsrj,,808.61,
H,10km,10,USlhm,,808.67,
H,10km,11,USmek,,808.72,
H,10km,12,KZbbk,,813.18,
D,500m,1,KRshl,,37.42;37.28,
D,500m,2,RUftk,,37.57;37.49,
D,500m,3,NLbor,,37.77;37.71,
D,500m,4,CNzhh,,37.58;37.99,
D,500m,5,JPnkd,,37.88;37.72,
D,500m,6,DEwlf,,37.93;37.73,
D,500m,7,CNwbx,,37.82;37.86,
D,500m,8,USrch,,37.73;38.02,
D,500m,9,JPmts,,38.4;38.44,
D,500m,10,CZerb,,38.23;38.62,
D,500m,11,NLvrs,,38.64;38.35,
D,500m,16,NLvbk,,38.67;38.73,
D,500m,19,NLlns,,39.03;38.7,
D,1000m,1,CNzhh,,74.02,BR
D,1000m,2,NLwst,,74.69,
D,1000m,3,NLbor,,74.9,
D,1000m,4,RUftk,,75.08,
D,1000m,5,NLvbk,,75.1,
D,1000m,6,NLlns,,75.15,
D,1000m,7,USrch,,75.23,
D,1000m,8,USbbw,,75.47,
D,1000m,9,CAnbt,,75.62,
D,1000m,10,CZerb,,75.74,
D,1000m,11,DEjhs,,75.84,
D,1000m,12,KRshl,,75.94,
D,1500m,1,NLjtm,,113.51,BR
D,1500m,2,NLwst,,114.09,
D,1500m,3,NLvbk,,114.54,
D,1500m,4,NLlns,,116.4,
D,1500m,5,RUjsv,,116.45,
D,1500m,6,PLkbc,,117.18,
D,1500m,7,USrch,,117.6,
D,1500m,8,RUlbs,,117.7,
D,1500m,9,RUftk,,117.88,
D,1500m,10,RUsjc,,118.09,
D,1500m,11,PLlzl,,118.18,
D,1500m,12,NOnjt,,118.21,
D,3km,1,NLwst,,240.34,BR
D,3km,2,CZsbl,,241.95,
D,3km,3,RUgrf,,243.47,
D,3km,4,DEpch,,245.26,
D,3km,5,NLawd,,245.75,
D,3km,6,NOnjt,,246.73,
D,3km,7,NLadj,,246.77,
D,3km,8,RUjsv,,249.36,
D,3km,9,JPizw,,249.39,
D,3km,10,USrkr,,250.02,
D,3km,11,DEkrs,,250.17,
D,3km,12,BEjpt,,250.87,
D,5km,1,CZsbl,,411.54,BR
D,5km,2,NLwst,,414.28,
D,5km,3,NLklb,,415.66,
D,5km,4,RUgrf,,415.77,
D,5km,5,DEpch,,418.39,
D,5km,6,NLnat,,421.76,
D,5km,7,NOhmm,,424.45,
D,5km,8,DEbck,,427.79,
D,5km,9,RUtsj,,428.71,
D,5km,10,JPfmr,,429.65,
D,5km,11,DEkrs,,430.65,
D,5km,12,JPizw,,431.54,
