phase,team1,team2,dd,result,star,stadium,remark
supercup,ajx,psv,19980816,0-2,2,Amsterdam (de Arena),
8f,zwl,gae,19990203,5-2,1,,
8f,rdj,ajx,19990204,0-3,2,,
8f,utr,fyn,19990204,1-2,2,,
8f,vit,nac,19990202,4-0,1,,
8f,end,grn,19990203,2-1,1,,
8f,psv,az1,19990202,2-0,1,,
8f,twn,fst,19990202,2-5,2,,
8f,emm,cmb,19990202,2-0,1,,
4f,zwl,ajx,19990324,1-2,2,,
4f,fyn,vit,19990310,2-1,3,,
4f,end,psv,19990309,0-5,2,,
4f,fst,emm,19990309,3-1,1,,
2f,ajx,fyn,19990414,2-1,1,,
2f,psv,fst,19990413,1-3,2,,
f,ajx,fst,19990513,2-0,1,Rotterdam (De Kuip),
