phase,team1,team2,dd,result,star,stadium
supercup,psv,gae,20250803,2-1,1,Eindhoven
8f,az1,ajx,20260114,6-0,1,
8f,utr,twn,20260113,1-2,2,
8f,trf,nec,20250120,1-2,2,
8f,spr,vol,20260115,1-2,2,
8f,omn,tlr,20260114,1-2,2,
8f,gae,hrc,20260114,2-2,5,
8f,dbs,psv,20260114,1-4,2,
8f,hrv,rkc,20260115,3-1,1,
4f,az1,twn,20260203,2-1,3,
4f,nec,vol,20260204,1-0,1,
4f,tlr,gae,20260205,-,,
4f,psv,hrv,20260204,4-1,1,
