phase,team1,team2,dd,result,star,stadium,remark
supercup,ajx,psv,20220730,3-5,2,Arena,
8f,nac,hrv,20230207,1-2,2,,
8f,fyn,nec,20230208,4-4,5,,
8f,grf,trf,20230207,3-0,1,,
8f,twn,ajx,20230209,0-1,2,,
8f,psv,emm,20230208,3-1,1,,
8f,adh,gae,20230209,1-1,1,,
8f,az1,utr,20230207,1-2,4,,
8f,spk,ktw,20230208,1-1,5,,
4f,hrv,fyn,20230301,0-1,2,,
4f,grf,ajx,20230302,0-3,2,,
4f,psv,adh,20230302,3-1,1,,
4f,utr,spk,20230228,1-4,2,,
