phase,team1,team2,dd,result,star,stadium
supercup,psv,fyn,20240804,4-4,6,Eindhoven
8f,psv,exc,20250114,5-4,3,
8f,rns,fyn,20250115,1-4,2,
8f,gae,twn,20250115,3-1,1,
8f,nrd,bar,20250114,1-0,3,
8f,grf,hrc,20250116,0-2,2,
8f,rkc,utr,20250115,1-2,2,
8f,az1,ajx,20250114,2-0,1,
8f,qbs,hrv,20250116,3-2,3,
4f,psv,fyn,20250205,2-0,1,
4f,gae,nrd,20250205,3-1,1,
4f,hrc,utr,20250204,2-0,1,
4f,az1,qbs,20250206,3-1,1,
2f,psv,gae,20250226,1-2,2,
2f,hrc,az1,20250227,-,,
