phase,team1,team2,dd,result,star,stadium,remark
supercup,fyn,psv,20230804,0-1,2,Kuip,
8f,hru,cmb,20240125,3-4,4,,
8f,vit,afc,20240118,1-0,1,,
8f,nec,gae,20240117,2-1,1,,
8f,exm,adh,20240116,1-2,2,,
8f,fyn,psv,20240124,1-0,1,,
8f,az1,qbs,20240116,3-3,5,,
8f,exc,grn,20240116,0-2,2,,
8f,omn,fst,20240117,1-2,2,,
4f,cmb,vit,20240207,3-1,1,,
4f,nec,adh,20240206,3-0,1,,
4f,fyn,az1,20240207,2-0,1,,
4f,grn,fst,20240208,0-0,5,,
2f,cmb,nec,20240227,1-2,4,,
2f,fyn,grn,20240229,2-1,1,,
f,fyn,nec,20240421,-,,,
