round,land1,land2,dd,time,result,spectators,star,stadium,remark
gA,MX,ZA,20260611,2100,2-0,80824,,Mexico-Stad,
gA,KR,CZ,20260612,0400,2-1,44985,,Guadalajara,
gA,CZ,ZA,20260618,1800,1-1,67442,,Atlanta,
gA,MX,KR,20260618,0300,1-0,45522,,Guadalajara,
gA,CZ,MX,20260625,0300,-,,,Mexico-Stad,
gA,ZA,KR,20260625,0300,-,,,Monterrey,
gB,CA,BA,20260612,2100,1-1,43002,,Toronto,
gB,QA,CH,20260613,2100,1-1,67966,,San Francisco,
gB,CH,BA,20260618,2100,4-1,70026,,Los Angeles,
gB,CA,QA,20260619,0000,6-0,52497,,Vancouver,
gB,CH,CA,20260624,2100,-,,,Vancouver,
gB,BA,QA,20260624,2100,-,,,Seattle,
gC,BR,MA,20260614,0000,1-1,80663,,New York,
gC,HT,G2,20260614,0300,0-1,64146,,Boston,
gC,G2,MA,20260620,0000,0-1,64146,,Boston,
gC,BR,HT,20260620,0230,3-0,68324,,Philadelphia,
gC,G2,BR,20260625,0000,-,,,Miami,
gC,MA,HT,20260625,0000,-,,,Atlanta,
gD,US,PY,20260613,0300,4-1,70492,,Los Angeles,
gD,AU,TR,20260614,0600,2-0,52497,,Vancouver,
gD,US,AU,20260619,2100,2-0,66925,,Seattle,
gD,TR,PY,20260620,0500,0-1,68827,,San Francisco,
gD,TR,US,20260626,0400,-,,,Los Angeles,
gD,PY,AU,20260626,0400,-,,,San Francisco,
gE,DE,CW,20260614,1900,7-1,68021,,Houston,
gE,CI,EC,20260615,0100,1-0,68274,,Philadelphia,
gE,DE,CI,20260620,2200,2-1,43036,,Toronto,
gE,EC,CW,20260621,0200,0-0,68598,,Kansas City,
gE,EC,DE,20260625,2200,-,,,New York,
gE,CW,CI,20260625,2200,-,,,Philadelphia,
gF,NL,JP,20260614,2200,2-2,69285,,Dallas,ref=NL_JP
gF,SE,TN,20260615,0400,5-1,50987,,Monterrey,
gF,NL,SE,20260620,1900,5-1,68777,,Houston,ref=NL_SE
gF,TN,JP,20260621,0600,0-4,51243,,Monterrey,
gF,JP,SE,20260626,0100,-,,,,
gF,TN,NL,20260626,0100,-,,,,
gG,BE,EG,20260615,2100,1-1,66775,,Seattle,
gG,IR,NZ,20260616,0300,2-2,70108,,Los Angeles,
gG,BE,IR,20260621,2100,0-0,70317,,Los Angeles,
gG,NZ,EG,20260622,0300,1-3,52497,,Vancouver,
gG,EG,IR,20260627,0500,-,,,Seattle,
gG,NZ,BE,20260627,0500,-,,,Vancouver,
gH,ES,CV,20260615,1800,0-0,67640,,Atlanta,
gH,SA,UY,20260616,0000,1-1,62764,,Miami,
gH,ES,SA,20260621,1800,4-0,68239,,Atlanta,
gH,UY,CV,20260622,0000,2-2,64003,,Miami,
gH,UY,ES,20260627,0200,-,,,Guadalajara,
gH,CV,SA,20260627,0200,-,,,Houston,
gI,FR,SN,20260615,2100,3-1,80545,,New York,
gI,IQ,NO,20260617,0000,1-4,63106,,Boston,
gI,FR,IQ,20260622,2300,3-0,68324,,Philadelphia,
gI,NO,SN,20260623,0200,3-2,80663,,New York,
gI,NO,FR,20260626,2100,-,,,Boston,
gI,SN,IQ,20260626,2100,-,,,Toronto,
gJ,AR,DZ,20260617,0300,3-0,69045,,Kansas City,
gJ,AT,JO,20260617,0600,3-1,68527,,San Francisco,
gJ,AR,AT,20260622,1900,2-0,70649,,Dallas,
gJ,JO,DZ,20260623,0500,1-2,68371,,San Francisco,
gJ,DZ,AT,20260628,0400,-,,,Kansas City,
gJ,JO,AR,20260628,0400,-,,,Dallas,
gK,PT,CD,20260617,1900,1-1,68777,,Houston,
gK,UZ,CO,20260618,0400,1-3,80824,,Mexico-Stad,
gK,PT,UZ,20260623,1900,5-0,68777,,Houston,
gK,CO,CD,20260624,0400,1-0,45358,,Guadalajara,
gK,CO,PT,20260628,0130,-,,,Miami,
gK,CD,UZ,20260628,0130,-,,,Atlanta,
gL,G1,HR,20260617,2200,4-2,70389,,Dallas,
gL,GH,PA,20260618,0100,1-0,42942,,Toronto,
gL,G1,GH,20260623,2200,0-0,63983,,Boston,
gL,PA,HR,20260624,0100,0-1,43036,,Toronto,
gL,PA,G1,20260627,2300,-,,,New Jersey,
gL,HR,GH,20260627,2300,-,,,Philadelphia,
