round,land1,land2,dd,time,result,spectators,star,stadium,remark
gA,BR,G2,19980610,1730,2-1,80000,,St-Denis,
gA,MA,NO,19980610,2100,2-2,29800,,Montpellier,
gA,G2,NO,19980616,1730,1-1,31800,,Bordeaux,
gA,BR,MA,19980616,2100,3-0,35500,,Nantes,
gA,BR,NO,19980623,2100,1-2,55000,,Marseille,
gA,G2,MA,19980623,2100,0-3,30600,,St-Etienne,
gB,IT,CL,19980611,1730,2-2,31800,,Bordeaux,
gB,CM,AT,19980611,2100,1-1,33460,,Toulouse,
gB,CL,AT,19980617,1730,1-1,30600,,St-Etienne,
gB,IT,CM,19980617,2100,3-0,29800,,Montpellier,
gB,IT,AT,19980623,1600,2-1,80000,,St-Denis,
gB,CL,CM,19980623,1600,1-1,35500,,Nantes,
gC,SA,DK,19980612,1730,0-1,38140,,Lens,
gC,FR,ZA,19980612,2100,3-0,55077,,Marseille,
gC,ZA,DK,19980618,1730,1-1,33300,,Toulouse,
gC,FR,SA,19980618,2100,4-0,80000,,St-Denis,
gC,FR,DK,19980624,1600,2-1,39100,,Lyon,
gC,ZA,SA,19980624,1600,2-2,31800,,Bordeaux,
gD,PY,BG,19980612,1430,0-0,27650,,Montpellier,
gD,ES,NG,19980613,1430,2-3,33257,,Nantes,
gD,NG,BG,19980619,1730,1-0,45500,,Parijs,
gD,ES,PY,19980619,2100,0-0,30600,,St-Etienne,
gD,NG,PY,19980624,2100,1-3,33500,,Toulouse,
gD,ES,BG,19980624,2100,6-1,38100,,Lens,
gE,KR,MX,19980613,1730,1-3,39133,,Lyon,
gE,NL,BE,19980613,2100,0-0,     ,,St-Denis,ref=NL_BE
gE,BE,MX,19980620,1730,2-2,31800,,Bordeaux,
gE,NL,KR,19980620,2100,5-0,     ,,Marseille,ref=NL_KR
gE,NL,MX,19980625,1600,2-2,     ,,St-Etienne,ref=NL_MX
gE,BE,KR,19980625,1600,1-1,45500,,Parijs,
gF,YU,IR,19980614,1730,1-0,30392,,St-Etienne,
gF,DE,US,19980615,2100,2-0,43815,,Parijs,
gF,DE,YU,19980621,1430,2-2,38100,,Lens,
gF,US,IR,19980621,2100,1-2,39100,,Lyon,
gF,US,YU,19980625,2100,0-1,35500,,Nantes,
gF,DE,IR,19980625,2100,2-0,29800,,Montpellier,
gG,G1,TN,19980615,1430,2-0,54587,,Marseille,
gG,RO,CO,19980615,1730,1-0,37572,,Lyon,
gG,CO,TN,19980622,1730,1-0,29800,,Montpellier,
gG,RO,G1,19980622,2100,2-1,33500,,Toulouse,
gG,CO,G1,19980626,2100,0-2,38100,,Lens,
gG,RO,TN,19980626,2100,1-1,77000,,St-Denis,
gH,AR,JP,19980614,1430,1-0,33400,,Toulouse,
gH,JM,HR,19980614,2100,1-3,38058,,Lens,
gH,JP,HR,19980620,1430,0-1,35500,,Nantes,
gH,AR,JM,19980621,1730,5-0,45000,,Parijs,
gH,AR,HR,19980626,1600,1-0,31800,,Bordeaux,
gH,JP,JM,19980626,1600,1-2,39100,,Lyon,
8f,BR,CL,19980627,2100,4-1,45500,1,Parijs,
8f,NG,DK,19980628,2100,1-4,77000,2,St-Denis,
8f,NL,YU,19980629,2100,2-1,     ,1,Toulouse,ref=NL_YU
8f,AR,G1,19980630,2100,2-2,30600,5,St-Etienne,
8f,IT,NO,11980627,1630,1-0,55000,1,Marseille,
8f,FR,PY,19980628,1630,1-0,38100,3,Lens,
8f,DE,MX,19980629,1630,2-1,29800,1,Montpellier,
8f,RO,HR,19980630,1630,0-1,31800,2,Bordeaux,
4f,BR,DK,19980703,2100,3-2,     ,1,Nantes,ref=BR_DK
4f,NL,AR,19980704,1630,2-1,     ,1,Marseille,ref=NL_AR
4f,IT,FR,19980703,1630,0-0,     ,6,St-Denis,ref=IT_FR
4f,DE,HR,19980704,2100,0-3,     ,2,Lyon,ref=DE_HR
2f,BR,NL,19980707,2100,1-1,     ,5,Marseille,ref=BR_NL
2f,FR,HR,19980708,2100,2-1,     ,1,St-Denis,ref=FR_HR
f34,NL,HR,19980711,2100,1-2,    ,2,Parijs,ref=NL_HR
f,BR,FR,19980712,2100,0-3,      ,2,St-Denis,ref=BR_FR
