land1,land2,dd,result
PL,G3,20220601,2-1
BE,NL,20220603,1-4
BE,PL,20220608,6-1
G3,NL,20220608,1-2
NL,PL,20220611,2-2
G3,BE,20220611,1-1
NL,G3,20220614,-
PL,BE,20220614,-
BE,G3,20220922,-
PL,NL,20220922,-
NL,BE,20220925,-
G3,PL,20220925,-
