# empty header
title,Eindstand Eerste Divisie (Jupiler League)
Willem II,38,24, 7, 7,79 ,78,38,K;RP
Dordrecht,38,21,10, 7,73 ,83,50,PDP
Excelsior,38,18,12, 8,66 ,70,39,PD
Den Bosch,38,18, 8,12,62 ,61,60,PD
VVV-Venlo,38,18, 7,13,61 ,58,52,PD
Eindhoven,38,18, 6,14,60 ,69,60,PD
De Graafschap,38,16,10,12,58 ,67,48,PD
Fortuna S,38,15,11,12,56 ,59,45,PD
FC Volendam,38,16, 8,14,56 ,67,71
Jong PSV,38,15, 9,14,54 ,62,57
MVV Maastricht,38,15, 8,15,53 ,46,46
FC Emmen,38,14, 9,15,51 ,64,68
Helmond Sport,38,13,12,13,51 ,62,67
Jong Ajax,38,15, 5,18,50 ,57,72
Telstar,38,13, 6,19,45 ,50,79
Sparta,38,12, 8,18,44 ,58,51,PD
Jong Twente,38,12, 7,19,43 ,47,61
Almere City,38,11, 8,19,41 ,49,65
FC Oss,38, 9, 4,25,31 ,49,78
Achilles'29,38, 6, 7,25,25 ,40,89
