#empty header
title,Eerste Divisie
az1,34,21,10, 3,73,64,26,K;RP
emm,34,18,13, 3,67,71,39,PD
dbs,34,15,13, 6,58,51,36,PD
vnd,34,16,10, 8,58,48,35,PD
vvv,34,15,12, 7,57,55,33,PD
cmb,34,15,12, 7,57,49,32,PD
drd,34,14,12, 8,54,62,45
hrc,34,14, 8,12,50,56,50,PD
tlr,34,13,11,10,50,42,38
hrl,34,14, 3,17,45,47,53
mvv,34,10,12,12,42,41,46
top,34, 8,15,11,39,46,50
rbc,34,11, 6,17,39,35,51
zwl,34, 7,12,15,33,37,43
adh,34, 8, 7,20,31,39,60
exc,34, 8, 5,21,29,42,72
end,34, 5,11,18,26,41,75
hlm,34, 6, 4,24,22,35,77
