# empty header
title,Eindstand Eerste Divisie (Toto divisie)
nac,34,27, 1, 6,82,84,36,K;RP
zwl,34,22, 8, 4,74,90,41,PD
grn,34,23, 5, 6,74,81,33,PDP
exc,34,18, 5,11,59,70,48,PD
emm,34,18, 4,12,58,53,45,PD
rbc,34,17, 6,11,57,65,49,PDP
hrc,34,13, 8,13,47,41,42,PD
drd,34,12, 9,13,45,55,58
end,34,14, 3,17,45,47,63
hlm,34,13, 3,18,42,45,57
adh,34,12, 6,16,42,37,52
vnd,34,10,11,13,41,50,61
tlr,34,11, 4,19,37,44,59
gae,34, 9, 9,16,36,56,58
vvv,34, 8,11,15,35,38,62
hrl,34, 9, 5,20,32,54,72
vol,34, 8, 7,19,31,40,75
top,34, 8, 3,23,27,35,74
