# empty header
title,Eindstand Eerste Divisie (Keuken Kampioen Divisie)
FC Twente,38,25, 5, 8,80,72,39,K
Sparta,38,19,12, 7,69,78,47,PDP
Jong PSV,38,18, 9,11,63,77,59
Den Bosch,38,18, 9,11,63,64,49
Go Ahead,38,19, 6,13,63,63,57
TOP Oss,38,18, 8,12,62,48,40
Almere,38,19, 5,14,62,60,63
rkc,38,18, 5,15,59,69,57,PDP
nec,38,16,10,12,58,73,60
Cambuur,38,16,10,12,58,61,48
Jong Ajax,38,16, 8,14,56,81,67
MVV Maastricht,38,14,12,12,54,49,53
Roda JC,38,14,11,13,53,57,59
FC Eindhoven,38,13, 9,16,48,52,48
Telstar,38,14, 6,18,48,45,58
FC Volendam,38, 9,14,15,41,46,62
FC Dordrecht,38, 9, 9,20,36,54,84
Jong AZ,38, 7,12,19,33,46,67
Jong Utrecht,38, 5, 8,25,23,47,90
Helmond Sport,38, 4,10,24,22,37,72
