2000-2001:
title, Topscorers Eerste Divisie
title, Topscorers Eerste Divisie
 1, Mart Lieder, FC Eindhoven, 30
 2, Novakovich, Telstar, 19
 3, Cassierra, Jong Ajax, 19
 4, Okita, MVV Maastricht, 18
 5, Peters, FC Emmen, 17
 6, Valpoort, Almere City FC, 16
 6, Van Mieghem, De Graafschap, 16
 6, Hendriks, Go Ahead Eagles, 16
2018-2019:
title, Topscorers Eerste Divisie
 1, Druijf, nec, 29
 2, Engels, rdj, 24
 2, Veldwijk, spr, 24
 4, Dogan, top, 21
 5, Pereira, aj2, 19
 6, Boere, twn, 16
 6, Venema, ut2, 16
 8, Van den Hurk, mvv, 15
 8, Okita, nec, 15
10, Beltrame, dbs, 14
2019-2020:
title, Topscorers Eerste Divisie
 1, M&uuml;hren, cmb, 26
 2, Kharchouch, telstar, 20
