# empty header
title,Eindstand Eerste Divisie (Gouden Gids Divisie)
hrc,36,23, 6, 7,75,67,34,K;P3;RP
spr,36,21,11, 4,74,93,39,P2;PDP
vvv,36,18, 8,10,62,56,36,P1;PD
zwl,36,17,10, 9,61,66,50,PD
vol,36,18, 7,11,61,52,38,P4;PD
hlm,36,16, 9,11,57,61,44,PD
tls,36,15,11,10,56,58,46,PD
drd,36,15, 8,13,53,46,51
cmb,36,13, 8,15,47,44,54
ago,36,15, 1,20,46,55,60
vnd,36,11,12,13,45,47,56
exc,36,12, 8,16,44,56,59
hrl,36,11, 9,16,42,47,56
mvv,36, 9,12,15,39,40,46
end,36,10, 9,17,39,60,80
top,36,10, 9,17,39,41,66
gae,36, 9,11,16,35,40,60
fst,36, 8,10,18,31,46,67
emm,36, 7, 9,20,30,38,71
