#empty header
title,Eerste Divisie
fst,34,23, 5, 6,51,72,27,K;RP
grf,34,21, 8, 5,50,70,45,PDP
exc,34,18, 8, 8,44,71,49,PD
adh,34,16, 8,10,40,71,52,PD
az1,34,16, 7,11,39,59,40,PD
hrc,34,16, 7,11,39,62,46,PD
cmb,34,14,11, 9,39,50,43
vnd,34,16, 6,12,38,54,41
top,34,14,10,10,38,59,47
emm,34,13, 9,12,35,56,61
tlr,34,11, 8,15,30,49,59
vvv,34,10, 9,15,29,54,62,PD
hlm,34,11, 7,16,29,57,67
zwl,34,10, 8,16,28,36,59
rbc,34,10, 7,17,27,39,48
hrl,34, 8, 8,18,24,50,69
end,34, 8, 4,22,20,35,78
dbs,34, 4, 4,26,12,39,90
