club_id,matches,wins,draws,losses,points,goals_scored,goals_against
ajx,34,23, 6, 5,52,62,26
psv,34,20, 7, 7,47,64,31
az6,34,19, 8, 7,46,75,29
fyn,34,16,12, 6,44,65,35
rdj,34,17, 8, 9,42,53,35
utr,34,16, 6,12,38,59,66
spr,34,12,12,10,36,52,47
nac,34,11,12,11,34,41,53
twn,34,12, 9,13,33,52,40
adh,34,10,12,12,32,50,42
gae,34,10,11,13,31,43,63
hrl,34,11, 7,16,29,35,47
vvv,34, 8,11,15,27,37,60
tlr,34, 7,12,15,26,35,57
ams,34, 7,11,16,25,41,58
nec,34, 6,12,16,24,41,54
end,34, 6,12,16,24,28,63
grf,34, 6,10,18,22,29,56
