club1,club2,dd,result,spectators,remark
cmb,exc,20260807,0-4,14105,
nec,tlr,20260808,1-2,12650,
gae,wl2,20260808,4-1,9288,
psv,fst,20260808,2-2,33400,
az1,adh,20260808,2-0,17170,
spr,fyn,20260809,0-1,10494,
pzw,ajx,20260809,0-2,14000,
grn,utr,20260809,2-1,22525,
hrv,twn,20260809,1-0,21022,
tlr,spr,20260804,1-3,5320,
wl2,nec,20260805,1-4,12575,
utr,az1,20260805,1-4,22738,
exc,psv,20260805,1-2,4600,
fst,cmb,20260805,3-1,9547,
adh,grn,20260806,1-4,14772,
fyn,gae,20260806,2-2,47500,
twn,pzw,20260806,3-1,29500,
ajx,hrv,20260806,2-2,54239,
