club1,club2,dd,result,spectators,remark
az1,spr,20050812,3-0, 8583,
vit,hrv,20050813,2-2,18504,
hrc,psv,20050813,1-1, 8100,
wl2,rkc,20050813,1-2,10850,
rdj,twn,20050813,2-0,12700,
grn,rbc,20050814,1-0,11255,
nec,utr,20050814,0-0,11500,
fyn,nac,20050814,2-0,42000,
nac,wl2,20050819,1-0,13760,
twn,nec,20050820,0-1,13000,
hrv,rdj,20050820,5-4,20500,
adh,hrc,20050820,1-2, 6712,
rbc,ajx,20050820,0-2, 5000,
rkc,grn,20050821,2-1, 4600,
spr,fyn,20050821,1-3,11000,
psv,vit,20050821,2-1,32600,
utr,az1,20050821,1-2,18000,
adh,hrv,20050826,1-0, 6800,
vit,az1,20050827,0-5,19002,
spr,nac,20050827,1-0, 7209,
nec,rkc,20050827,1-3,11000,
ajx,fyn,20050828,1-2,49567,
utr,twn,20050828,1-3,17000,
rdj,psv,20050828,0-3,15000,
hrc,grn,20050828,2-1, 7813,
rbc,wl2,20050828,1-1, 3136,
rkc,rdj,20050909,2-0, 5000,
psv,utr,20050910,1-0,32000,
az1,rbc,20050910,7-0, 8275,
hrv,hrc,20050910,1-2,20500,
wl2,ajx,20050910,0-2,11000,
grn,spr,20050911,0-1,11019,
nac,adh,20050911,4-1,13930,
twn,vit,20050911,0-1,13000,
fyn,nec,20050911,3-0,35000,
adh,twn,20050916,0-0, 5613,
rbc,spr,20050917,1-1, 4517,
hrc,rkc,20050917,0-2, 8350,
nec,nac,20050917,1-1,12000,
grn,psv,20050918,1-0,10500,
utr,vit,20050918,1-0,17300,
rdj,wl2,20050918,0-2,13200,
fyn,hrv,20050918,5-1,36000,
az1,ajx,20050918,4-2, 8747,
ajx,adh,20050921,2-2,45000,
hrv,nec,20050923,2-1,20400,
wl2,adh,20050924,1-0,10850,
ajx,rdj,20050924,4-1,45856,
vit,grn,20050924,2-0,16825,
psv,rbc,20050924,2-0,32200,
rkc,utr,20050924,2-3, 5000,
twn,fyn,20050925,1-3,13250,
nac,az1,20050925,2-1,16250,
spr,hrc,20050925,2-0, 7982,
rbc,nac,20050930,1-2, 5000,
adh,rkc,20051001,2-1, 6413,
rdj,vit,20051001,3-2,13000,
spr,ajx,20051002,1-2,10000,
utr,fyn,20051002,3-1,20041,
az1,nec,20051002,3-2, 8311,
grn,wl2,20051002,2-0,12100,
hrc,twn,20051002,0-4, 6500,
hrv,psv,20051002,2-3,21000,
wl2,spr,20051014,0-0,11300,
nac,hrv,20051015,0-3,14850,
nec,rbc,20051015,3-1,11750,
twn,rkc,20051015,2-0,13000,
psv,az1,20051015,3-0,33700,
ajx,hrc,20051015,0-0,47650,
rdj,utr,20051016,2-1,12500,
fyn,grn,20051016,4-1,37500,
vit,adh,20051016,3-1,17265,
hrc,nec,20051021,0-2, 8295,
nac,twn,20051022,1-1,14150,
spr,rdj,20051022,2-3, 8212,
rbc,vit,20051022,0-3, 4400,
psv,ajx,20051023,1-0,34700,
hrv,utr,20051023,1-1,20500,
rkc,fyn,20051023,2-1, 6500,
az1,wl2,20051023,5-1, 8392,
grn,adh,20051023,3-1,11740,
ajx,hrv,20051028,0-0,47364,
vit,hrc,20051029,5-1,17940,
rkc,nac,20051029,4-1, 5500,
adh,az1,20051029,0-2, 7185,
twn,psv,20051029,0-1,13100,
nec,spr,20051030,0-0,12000,
wl2,fyn,20051030,1-3,13500,
grn,rdj,20051030,1-0,12500,
utr,rbc,20051030,4-1,17500,
rbc,rkc,20051104,1-1, 4500,
rdj,nac,20051105,3-3,10750,
psv,spr,20051105,3-0,33300,
twn,wl2,20051105,3-1,13000,
az1,hrc,20051105,2-2, 8399,
nec,ajx,20051106,1-0,13000,
utr,adh,20051106,1-1,17500,
hrv,grn,20051106,4-0,21200,
fyn,vit,20051106,0-0,40000,
wl2,vit,20051118,3-4,11250,
rkc,psv,20051119,4-4, 7400,
ajx,twn,20051119,2-0,45120,
hrc,rbc,20051119,3-0, 8400,
grn,az1,20051120,0-0,12500,
rdj,fyn,20051120,2-3,16000,
nac,utr,20051120,0-1,13264,
adh,nec,20051120,0-1, 5938,
spr,hrv,20051120,1-2,10349,
psv,adh,20051127,3-0,33000,
utr,ajx,20051127,1-0,22137,
fyn,hrc,20051127,7-1,38000,
az1,rdj,20051127,2-0, 8377,
hrv,rbc,20051127,2-0,20200,
vit,rkc,20051129,4-2,19600,
nac,grn,20051130,2-2,12733,
twn,spr,20051130,1-0,13000,
nec,wl2,20051130,2-0,12000,
hrc,rdj,20051202,0-1, 8000,
rbc,fyn,20051203,2-2, 4500,
psv,nac,20051203,3-0,33000,
az1,hrv,20051203,2-1, 8429,
ajx,rkc,20051204,4-1,38000,
grn,twn,20051204,1-0,12106,
spr,adh,20051204,2-3, 7032,
nec,vit,20051204,1-0,12000,
rdj,nec,20051209,0-1,12500,
twn,az1,20051210,1-3,13100,
adh,rbc,20051210,3-0, 6725,
hrv,wl2,20051210,3-3,20400,
nac,hrc,20051210,2-1,13699,
fyn,psv,20051211,1-0,45000,
vit,ajx,20051211,0-2,24400,
rkc,spr,20051211,3-2, 5500,
utr,grn,20051211,0-2,20250,
wl2,utr,20051214,0-1,10700,
spr,vit,20051216,1-0, 7256,
psv,wl2,20051217,4-1,33100,
hrv,twn,20051217,3-1,20500,
rbc,rdj,20051217,0-2, 4500,
adh,fyn,20051218,2-1, 8633,
az1,rkc,20051218,3-0, 8356,
nac,ajx,20051218,0-2,12935,
grn,nec,20051218,3-0,12500,laatste competitie-wedstrijd in het Oosterpark
hrc,utr,20051218,1-1, 8254,
fyn,az1,20051226,2-0,47000,
nec,psv,20051226,0-2,12500,
twn,rbc,20051226,4-1,12250,
utr,spr,20051226,1-1,17000,
ajx,grn,20051227,3-2,45000,
vit,nac,20051227,2-1,19100,
rkc,hrv,20051227,2-2, 6100,
rdj,adh,20051227,3-1, 9500,
fyn,wl2,20051229,6-1,46000,
psv,twn,20051229,1-1,33200,
