club1,club2,dd,result,spectators
exc,fyn,20110805,0-2, 3518
vvv,utr,20110806,0-0, 7850
hrv,nec,20110806,2-2,25000
rkc,hrc,20110806,2-2, 4000
rdj,grn,20110806,2-1,12650
grf,ajx,20110807,1-4,12459
adh,vit,20110807,0-0,11792
az1,psv,20110807,3-1,16298
nac,twn,20110807,0-1,16750
twn,az1,20110813,2-0,24800
psv,rkc,20110813,1-0,32700
vit,vvv,20110813,4-0,15150
fyn,rdj,20110813,3-0,40000
hrc,nac,20110814,2-1, 8314
ajx,hrv,20110814,5-1,48820
utr,grf,20110814,2-2,17500
grn,adh,20110814,4-2,21455
nec,exc,20110815,2-0,12000
rdj,rkc,20110819,0-2,14000
vit,utr,20110820,2-1,14173
hrv,twn,20110820,1-5,25500
exc,grf,20110820,1-1, 3125
nac,grn,20110820,2-2,17300
hrc,fyn,20110821,1-1, 8500
vvv,ajx,20110821,2-2, 8000
az1,nec,20110821,4-0,15589
adh,psv,20110821,0-3,12710
ajx,vit,20110826,4-1,50472
rkc,nac,20110827,2-1, 6000
twn,vvv,20110827,4-1,25700
nec,hrc,20110827,2-1,12200
utr,rdj,20110827,3-1,20000
grf,adh,20110828,0-3,11147
fyn,hrv,20110828,2-2,41000
grn,az1,20110828,0-3,22128
psv,exc,20110828,6-1,32000
rdj,twn,20110910,2-1,13500
az1,vit,20110910,4-0,16000
grf,nec,20110910,1-0,12127
adh,rkc,20110910,0-1,13000
hrc,ajx,20110910,2-3, 8500
hrv,grn,20110911,3-0,26100
vvv,psv,20110911,3-3, 7931
nac,fyn,20110911,1-3,17800
exc,utr,20110911,2-3, 3124
nec,nac,20110916,1-2,12000
grn,exc,20110917,2-0,21000
vit,rdj,20110917,5-0,14982
vvv,hrv,20110917,0-3, 7500
fyn,grf,20110917,4-0,41000
psv,ajx,20110918,2-2,34400
twn,adh,20110918,5-2,21000
rkc,az1,20110918,1-2, 6316
utr,hrc,20110918,2-2,19000
psv,rdj,20110924,7-1,33000
adh,vvv,20110924,2-0,13000
hrv,hrc,20110924,1-1,25500
nac,utr,20110924,1-0,17560
ajx,twn,20110924,1-1,51541
az1,fyn,20110925,2-1,16773
grf,grn,20110925,2-3,11665
rkc,nec,20110925,2-0, 5793
exc,vit,20110925,0-2, 2857
hrc,grf,20110930,2-0, 8412
rdj,nac,20111001,4-3,12630
vit,hrv,20111001,1-1,16894
utr,rkc,20111001,3-0,19500
nec,psv,20111002,0-2,12300
fyn,adh,20111002,0-3,41000
twn,exc,20111002,2-2,20000
grn,ajx,20111002,1-0,21000
vvv,az1,20111002,1-3, 7350
ajx,az1,20111015,2-2,51585
rkc,twn,20111015,0-4, 7082
hrc,grn,20111015,2-1, 8500
hrv,grf,20111015,1-1,25500
psv,utr,20111015,1-0,32700
nec,vit,20111016,0-1,12500
rdj,adh,20111016,4-1,13030
fyn,vvv,20111016,4-0,47000
nac,exc,20111016,2-0,17500
grf,nac,20111021,3-1,11709
vvv,rkc,20111022,4-1, 7300
adh,nec,20111022,1-0,13133
exc,hrc,20111022,0-2, 3000
utr,hrv,20111022,1-4,20000
ajx,fyn,20111023,1-1,52316
grn,twn,20111023,1-1,21000
az1,rdj,20111023,1-0,16000
vit,psv,20111023,1-1,22207
nac,vvv,20111028,3-1,17550
rdj,ajx,20111029,0-4,18400
hrv,adh,20111029,4-0,25000
exc,rkc,20111029,1-0, 3000
twn,psv,20111029,2-2,30000
grf,vit,20111030,0-1,12600
grn,fyn,20111030,6-0,21000
nec,utr,20111030,3-1,12000
