club id,matches,wins,draws,losses,points,goals scored,goals against
ajx,34,26, 4, 4,56,117,42
psv,34,24, 3, 7,51, 81,38
az6,34,21, 5, 8,47, 74,40
hrl,34,17, 8, 9,42, 57,41
utr,34,17, 5,12,39, 56,38
fyn,34,13,12, 9,38, 61,59
grn,34,14, 9,11,37, 68,58
rdj,34,15, 6,13,36, 60,53
spr,34,13,10,11,36, 61,48
gae,34,13, 9,12,35, 58,49
nac,34,12, 9,13,33, 42,48
twn,34,13, 5,16,31, 50,58
nec,34,11, 8,15,30, 41,62
wl2,34,10, 7,17,27, 50,64
zwl,34, 8,10,16,26, 45,69
mvv,34, 6,11,17,23, 35,70
adh,34, 4, 5,25,13, 29,82
grf,34, 3, 6,25,12, 29,95
