club id,matches,wins,draws,losses,points,goals scored,goals against
ajx,34,24, 6, 4,54,93,31
fyn,34,19,13, 2,51,62,19
psv,34,20, 9, 5,49,65,23
az6,34,19, 7, 8,45,84,43
rdj,34,18, 8, 8,44,58,33
spr,34,14, 5,15,33,47,48
fdh,34,11,11,12,33,43,55
pzw,34, 7,18, 9,32,36,46
gae,34,11, 9,14,31,48,48
nac,34, 8,15,11,31,41,51
mvv,34, 9,13,12,31,26,45
twn,34, 9,12,13,30,54,58
utr,34,10,10,14,30,43,55
vit,34, 7,15,12,29,42,63
nec,34, 7,14,13,28,35,49
hrl,34, 6,13,15,25,31,64
vol,34, 7, 8,19,22,42,63
vvv,34, 4, 6,24,14,23,79
