club1,club2,dd,result,spectators
hrv,spr,20220805,0-0,18000
fst,ajx,20220806,2-3,11863
cmb,exc,20220806,0-2,9671
psv,emm,20220806,4-1,30000
rkc,utr,20220806,2-2,4526
grn,vol,20220807,2-2,18648
vit,fyn,20220807,2-5,14416
nec,twn,20220807,0-1,12256
az1,gae,20220807,2-0,14438
exc,vit,20220812,3-1,4234
gae,psv,20220813,2-5,9643
utr,cmb,20220813,0-0,21019
emm,rkc,20220813,1-1,7829
fyn,hrv,20220813,0-0,47500
vol,nec,20220814,1-4,6375
ajx,grn,20220814,6-1,54060
twn,fst,20220814,3-0,27000
spr,az1,20220814,2-3,9631
vit,hrv,20220820,0-4,10899
fst,cmb,20220820,1-4,8357
emm,utr,20220820,3-2,8024
grn,gae,20220821,1-0,18575
spr,ajx,20220821,0-1,10606
rkc,fyn,20220821,0-1,6578
nec,grn,20220826,1-1,12500
gae,spr,20220827,0-1,9317
vit,rkc,20220827,2-2,10598
fyn,emm,20220827,4-0,47500
hrv,fst,20220827,2-1,18020
utr,ajx,20220828,0-2,21471
exc,psv,20220828,1-6,4400
vol,twn,20220828,1-0,6750
cmb,az1,20220828,0-1,10000
psv,vol,20220831,7-1,28114
twn,exc,20220831,4-0,27000
az1,nec,20220901,1-1,14945
fst,utr,20220902,3-4,8763
ajx,cmb,20220903,4-0,53667
twn,psv,20220903,2-1,30000
spr,vol,20220903,4-0,10050
gae,fyn,20220903,3-4,9711
rkc,exc,20220904,5-2,4332
emm,az1,20220904,0-3,8062
hrv,nec,20220904,0-0,18066
grn,vit,20220904,0-1,18014
vol,gae,20220909,2-3,6450
nec,fst,20220910,1-1,12500
ajx,hrv,20220910,5-0,54000
exc,emm,20220910,2-1,4034
utr,vit,20220911,1-0,15807
psv,rkc,20220911,1-0,28432
cmb,grn,20220911,0-1,10000
az1,twn,20220911,1-1,16269
fyn,spr,20220911,3-0,47500
utr,nec,20220916,0-0,17547
spr,grn,20220917,2-1,9657
vit,vol,20220917,1-1,15702
rkc,cmb,20220917,5-1,4555
fst,exc,20220917,1-0,8379
gae,emm,20220918,2-0,9623
psv,fyn,20220918,4-3,33110
hrv,twn,20220918,2-1,21039
az1,ajx,20220918,2-1,18772
cmb,psv,20221001,3-0,10000
grn,az1,20221001,1-4,14438
ajx,gae,20221001,1-1,53848
twn,vit,20221001,3-0,29500
fst,vol,20221002,2-0,10078
nec,fyn,20221002,1-1,12500
exc,utr,20221002,0-1,4142
rkc,spr,20221002,2-2,5647
emm,hrv,20221002,0-0,8131
grn,rkc,20221007,2-3,18835
vol,ajx,20221008,2-4,6850
spr,emm,20221008,3-1,10087
nec,exc,20221008,1-1,12100
gae,cmb,20221009,0-0,9603
utr,az1,20221009,1-2,20873
fyn,twn,20221009,2-0,47500
hrv,psv,20221009,0-1,24087
vit,fst,20221009,1-2,12327
emm,vol,20221014,1-1,8123
fst,rkc,20221015,0-0,11043
gae,hrv,20221015,1-1,9713
cmb,vit,20221015,0-3,9886
spr,nec,20221016,2-0,10420
psv,utr,20221016,6-1,30646
twn,grn,20221016,3-0,29000
az1,fyn,20221016,1-3,17039
ajx,exc,20221016,7-1,53941
fyn,fst,20221022,1-1,47500
rkc,ajx,20221022,1-4,7508
vit,emm,20221022,2-1,12117
exc,az1,20221023,2-1,4400
grn,psv,20221023,4-2,21333
cmb,twn,20221023,0-1,10000
nec,gae,20221023,3-3,12500
utr,spr,20221023,3-1,20048
vol,hrv,20221023,1-3,6600
hrv,utr,20221029,1-2,22150
spr,fst,20221029,3-1,10221
gae,exc,20221029,3-1,9238
emm,grn,20221030,0-0,8225
psv,nec,20221030,3-0,31007
twn,rkc,20221030,3-0,29100
az1,vol,20221030,2-1,18255
cmb,nec,20221104,0-1,10000
vit,spr,20221105,0-4,16493
fst,emm,20221105,0-1,10088
exc,hrv,20221105,0-1,4400
utr,grn,20221106,2-1,19904
vol,fyn,20221106,0-2,6700
twn,gae,20221106,1-1,30000
ajx,psv,20221106,1-2,54969
rkc,az1,20221106,3-1,5067
ajx,vit,20221109,2-2,52000
fyn,cmb,20221110,1-0,47500
spr,twn,20221111,1-1,10606
vol,utr,20221112,0-4,6650
emm,ajx,20221112,3-3,8309
psv,az1,20221112,0-1,33009
nec,rkc,20221113,6-1,12500
hrv,cmb,20221113,2-1,23800
grn,fst,20221113,2-3,21023
fyn,exc,20221113,5-1,47500
gae,vit,20221113,2-2,9784
twn,emm,20230106,2-0,29500
rkc,hrv,20230107,0-0,6143
az1,vit,20230107,1-1,17277
fst,gae,20230107,0-2,10077
psv,spr,20230107,0-0,33421
utr,fyn,20230108,1-1,20857
nec,ajx,20230108,1-1,12500
cmb,vol,20230108,0-3,9828
exc,grn,20230108,1-0,4400
hrv,az1,20230114,0-2,20019
vol,rkc,20230114,2-1,6604
ajx,twn,20230114,0-0,53649
spr,exc,20230114,1-0,10555
vit,nec,20230115,0-0,16086
fst,psv,20230115,2-2,11534
gae,utr,20230115,2-2,9793
grn,fyn,20230115,0-3,20589
emm,cmb,20230115,0-0,8135
exc,vol,20230120,2-0,4400
nec,emm,20230121,3-1,12200
psv,vit,20230121,1-0,31333
cmb,spr,20230121,0-3,9841
hrv,grn,20230122,3-1,19029
fyn,ajx,20230122,1-1,47500
twn,utr,20230122,2-0,28500
az1,fst,20230122,3-1,16652
emm,psv,20230124,1-0,8061
spr,rkc,20230124,0-0,9720
gae,az1,20230125,1-4,9457
vit,twn,20230125,2-2,14699
fst,hrv,20230125,2-0,7689
fyn,nec,20230125,2-0,47500
utr,exc,20230125,1-0,17058
grn,cmb,20230126,0-1,18918
ajx,vol,20230126,1-1,54279
psv,gae,20230128,2-0,30133
rkc,emm,20230128,2-0,5652
hrv,vit,20230128,1-3,20152
nec,spr,20230128,1-1,12500
az1,utr,20230128,5-5,16765
twn,fyn,20230129,1-1,30000
exc,ajx,20230129,1-4,4400
vol,grn,20230129,3-2,6600
cmb,fst,20230129,1-2,9755
rkc,gae,20230201,3-1,5481
fst,spr,20230203,0-0,10278
vol,az1,20230204,1-1,6850
emm,vit,20230204,2-2,8183
utr,hrv,20230204,1-0,19444
exc,rkc,20230204,0-0,4400
cmb,ajx,20230205,0-5,10000
fyn,psv,20230205,2-2,47500
gae,nec,20230205,1-0,9733
grn,twn,20230205,1-1,20355
az1,exc,20230210,5-0,16187
nec,cmb,20230211,0-0,12324
psv,grn,20230211,6-0,32198
emm,fst,20230211,0-1,8061
spr,gae,20230212,2-1,10130
hrv,fyn,20230212,1-2,18400
vit,utr,20230212,2-0,13211
ajx,rkc,20230212,3-1,53809
twn,vol,20230212,3-0,29500
rkc,fst,20230217,3-1,5692
vol,vit,20230218,2-0,6650
grn,emm,20230218,1-1,21674
fyn,az1,20230218,2-1,47500
cmb,hrv,20230219,1-2,10000
utr,psv,20230219,2-2,22043
gae,twn,20230219,2-0,9848
ajx,spr,20230219,4-0,54410
exc,nec,20230219,0-3,4400
spr,utr,20230224,0-3,10321
grn,exc,20230225,3-0,20140
hrv,rkc,20230225,1-4,20109
