club1,club2,dd,result,spectators,remark
rdj,psv,20030815,2-2,14000,
rkc,adh,20030816,1-0, 4850,
twn,rbc,20030816,3-1,13000,
wl2,az1,20030816,1-0,10700,
utr,zwl,20030817,1-0,18500,
grn,nac,20030817,1-0,11483,
vol,hrv,20030817,0-1, 5037,
vit,ajx,20030817,1-2,22000,
fyn,nec,20030817,2-1,42000,
az1,twn,20030822,3-0, 6775,
psv,wl2,20030823,6-1,32500,
rbc,ajx,20030823,0-1, 5000,
adh,utr,20030823,1-1, 6185,
nac,vit,20030823,2-0,13000,
hrv,fyn,20030823,1-0,14600,
zwl,rkc,20030824,0-3, 6150,
nec,rdj,20030824,1-3,12000,
vol,grn,20030824,3-0, 5075,
vit,az1,20030829,1-2,14000,
wl2,hrv,20030829,2-0,11500,
rdj,rbc,20030830,0-2,11500,
twn,psv,20030830,0-2,13000,
ajx,zwl,20030831,1-0,47880,
fyn,nac,20030831,2-1,39000,
grn,adh,20030831,2-0,12165,
rkc,vol,20030831,3-0, 7200,
utr,nec,20030831,0-1,17000,
adh,vol,20030912,1-1, 6235,
hrv,grn,20030913,1-0,14600,
zwl,rdj,20030913,0-0, 5715,
psv,utr,20030913,2-1,32500,
rbc,vit,20030913,1-1, 5000,
ajx,rkc,20030913,4-1,48121,
az1,fyn,20030914,2-2, 7821,
nec,twn,20030914,2-1,12250,
nac,wl2,20030914,1-1,14500,
vol,nec,20030919,2-3, 4631,
adh,rbc,20030920,1-2, 6000,
wl2,zwl,20030920,2-1,12050,
az1,hrv,20030920,3-1, 7636,
vit,rdj,20030920,1-1,16500,
twn,rkc,20030920,2-1,12500,
fyn,psv,20030921,1-3,42000,
grn,utr,20030921,1-1,11743,
nac,ajx,20030921,4-2,16000,
hrv,twn,20030927,3-0,14500,
rbc,vol,20030927,1-1, 4800,
psv,az1,20030927,0-1,32000,
utr,vit,20030928,1-3,18000,
rdj,grn,20030928,0-0,12000,
ajx,wl2,20030928,6-0,47728,
zwl,fyn,20030928,0-3, 6600,
nec,adh,20030928,1-2,12350,
rkc,nac,20030928,2-0, 6200,
vit,twn,20031003,3-5,18437,
hrv,rkc,20031004,1-0,14300,
wl2,rdj,20031004,0-2,12300,
nac,utr,20031004,1-2,12864,
adh,psv,20031004,0-4, 8344,
az1,nec,20031004,2-0, 7280,
vol,zwl,20031005,2-2, 4810, # za/zo?
fyn,rbc,20031005,2-0,41000,
grn,ajx,20031005,1-3,12400,
ajx,vol,20031017,5-1,49521,
psv,hrv,20031018,2-0,32500,
rbc,wl2,20031018,0-0, 4975,
rkc,vit,20031018,2-2, 5100,
nec,nac,20031019,0-3,12000,
rdj,fyn,20031019,1-1,13000,
twn,grn,20031019,5-3,13200,
utr,az1,20031019,0-3,17400,
zwl,adh,20031019,1-2, 6000,
vol,rdj,20031024,2-1, 4500,
adh,nac,20031025,1-1, 6548,
az1,zwl,20031025,4-0, 7892,
grn,vit,20031025,2-1,12500,
hrv,nec,20031025,1-2,14500,
rkc,rbc,20031025,1-2, 5000,
psv,ajx,20031026,2-2,35000,
fyn,wl2,20031026,2-1,44000,
twn,utr,20031026,2-2,13100,
rdj,adh,20031031,5-1,13068,
nac,psv,20031101,1-3,14749,
rbc,nec,20031101,1-0, 5000,
vit,vol,20031101,2-2,17500,
ajx,az1,20031101,3-2,50222,
grn,fyn,20031102,3-3,12500,
utr,hrv,20031102,2-1,17500,
wl2,rkc,20031102,4-1,12900,
zwl,twn,20031102,1-0, 6200,
vit,wl2,20031107,2-2,18000,
hrv,zwl,20031108,1-1,14400,
nac,az1,20031108,1-2,13179,
psv,rbc,20031108,1-1,33000,
rdj,twn,20031108,2-1,12524,
vol,fyn,20031109,1-3, 6200,
adh,ajx,20031109,1-4, 9420,
nec,grn,20031109,2-3,12250,
utr,rkc,20031109,1-0,17000,
rkc,grn,20031121,1-1, 6500,
az1,rdj,20031122,1-5, 8275,
fyn,vit,20031122,3-0,40500,
zwl,nac,20031122,0-2, 6400,
nec,psv,20031122,2-3,12500,
wl2,vol,20031122,6-0,12100,
twn,adh,20031123,4-0,13000,
ajx,hrv,20031123,3-1,49331,
rbc,utr,20031123,1-1, 4950,
grn,rbc,20031128,2-0,12500,
twn,nac,20031129,2-1,13050,
wl2,nec,20031129,3-0,12300,
adh,vit,20031129,1-1, 6389,
zwl,psv,20031129,0-4, 6650,
ajx,fyn,20031130,2-0,50344,
utr,rdj,20031130,3-1,16500,
rkc,az1,20031130,1-1, 6000,
vol,twn,20031203,2-0, 4574,
az1,grn,20031203,2-1, 7329,
hrv,adh,20031203,2-0,14200,
nec,rkc,20031206,1-1,11500,
wl2,utr,20031206,0-2,12900,
psv,vol,20031206,7-0,32500,
rbc,az1,20031207,1-0, 5000,
fyn,adh,20031207,4-1,40800,
vit,zwl,20031207,5-2,16500,
nac,hrv,20031207,2-3,12100,
rdj,nac,20031212,2-2,12500,
psv,rkc,20031213,3-1,33500,
twn,fyn,20031213,4-2,13250,
rbc,hrv,20031213,1-1, 5000,
adh,wl2,20031213,0-1, 5211,
vol,az1,20031214,0-6, 6051,
ajx,utr,20031214,1-0,46972,
zwl,grn,20031214,1-1, 5300,
nec,vit,20031214,2-0,12250,
hrv,rdj,20031220,2-1,14300,
vit,psv,20031220,0-0,19750,
nac,rbc,20031220,3-2,12238,
nec,zwl,20031220,1-0,12000,
twn,ajx,20031221,2-0,13250,
utr,vol,20031221,3-0,11448,
grn,wl2,20031221,1-2,12074,
rkc,fyn,20031221,0-0, 6500,
rdj,ajx,20040121,1-2,18122,
az1,adh,20040123,0-1, 7000,
zwl,rbc,20040124,0-3, 6150,
rdj,rkc,20040124,2-1,12850,
nac,vol,20040124,3-2,11019,
wl2,twn,20040124,2-3,13000,
vit,hrv,20040124,0-1,20864,
fyn,utr,20040125,3-2,39800,
ajx,nec,20040125,1-0,49018,
grn,psv,20040125,0-2,12430,
az1,wl2,20040128,0-0, 7065,
nec,fyn,20040128,1-2,12500,
psv,zwl,20040128,5-1,28600,
twn,vit,20040128,0-0,13000,
utr,rbc,20040128,0-1,15000,
vol,rkc,20040128,0-4, 3500,
psv,vit,20040131,3-0,32500,
rdj,az1,20040131,3-1,13000,
rkc,nec,20040131,1-2, 5000,
fyn,twn,20040201,3-2,40000,
ajx,adh,20040201,4-0,47264,
grn,vol,20040201,0-1,11000,
wl2,nac,20040201,1-1,13200,
zwl,utr,20040201,1-1, 5600,
rbc,rkc,20040206,1-3, 5000,
hrv,nac,20040207,3-4,15500,
az1,vol,20040207,3-0, 8080,
twn,zwl,20040207,2-0,13100,
ajx,psv,20040208,2-1,50406,
grn,nec,20040208,2-0,11124,
vit,fyn,20040208,0-0,18750,
wl2,adh,20040208,1-0,12800,
adh,grn,20040211,3-1, 5000,
fyn,az1,20040211,0-3,41500,
rbc,rdj,20040211,1-4, 5000,
rkc,hrv,20040211,0-0, 5000,
utr,wl2,20040211,2-2,17128,
hrv,wl2,20040214,1-1,14300,
nac,rdj,20040214,0-0,11580,
psv,twn,20040214,1-0,31000,
vit,rbc,20040214,1-2,19083,
adh,fyn,20040215,2-2, 9000,
nec,utr,20040215,4-0,12000,
rkc,zwl,20040215,2-0, 5500,
vol,ajx,20040215,0-2, 6199,
rdj,vol,20040220,1-0,12387,
hrv,psv,20040221,3-2,13000,
zwl,nec,20040221,2-1, 5960,
az1,rbc,20040221,2-1, 7357,
vit,grn,20040221,1-2,19010,
ajx,twn,20040222,1-0,48979,
utr,nac,20040222,1-2,18047,
hrv,ajx,20040225,4-1,14300,
adh,rdj,20040225,1-0, 6000,
nac,grn,20040225,1-1,10340,
zwl,vit,20040226,1-1, 6500,
rbc,nac,20040227,1-1, 5000,
twn,az1,20040227,4-1,13200,
nec,hrv,20040227,1-2,12000,
wl2,fyn,20040228,0-3,14000,
vol,adh,20040228,0-2, 5202,
grn,rkc,20040228,1-2,11748,
psv,rdj,20040228,1-2,33000,
utr,ajx,20040228,1-0,20200,
nac,twn,20040305,0-1,11303,
wl2,grn,20040306,2-0,12860,
adh,az1,20040306,2-3, 9049,
rkc,ajx,20040306,0-1, 7500,
rdj,zwl,20040306,1-1,11850,
nec,rbc,20040306,1-2,12250, # kwijt; + 22 mrt
fyn,hrv,20040307,2-2,46300,
utr,psv,20040307,0-4,18600,
vol,vit,20040307,0-0, 5045,
twn,nec,20040312,2-5,13500,
hrv,vol,20040313,2-1,15000,
nac,zwl,20040313,3-1,11704,
rbc,grn,20040313,1-0, 4950,
psv,fyn,20040314,0-1,35000,
az1,utr,20040314,1-2, 7577,
ajx,rdj,20040314,4-2,49553,
rkc,wl2,20040314,1-1, 5500,
vit,adh,20040314,1-0,18990,
grn,hrv,20040319,0-0,12500,
psv,nac,20040320,1-1,32500,
rdj,wl2,20040320,6-1,12000,
zwl,vol,20040320,3-0, 6500,
nec,az1,20040320,0-2,12250,
fyn,rkc,20040321,1-0,38000,
ajx,vit,20040321,5-0,49265,
rbc,adh,20040321,0-0, 5000,
utr,twn,20040321,2-0,20000,
adh,zwl,20040326,1-1, 8566,
nac,nec,20040327,5-2,12800,
vit,rkc,20040327,3-3,20500,
hrv,rbc,20040327,1-0,14500,
grn,twn,20040328,1-0,12271,
vol,utr,20040328,1-2, 4924,
az1,ajx,20040328,1-1, 8241,
wl2,psv,20040328,3-1,13300,
fyn,rdj,20040328,3-0,42500,
nec,wl2,20040402,4-0,12000,
rbc,zwl,20040403,1-1, 5000,
rkc,psv,20040403,0-4, 7200,
rdj,hrv,20040403,0-1,12318,
twn,vol,20040403,1-2,12800,
az1,vit,20040403,2-1, 7991,
utr,adh,20040404,5-3,18200,
ajx,grn,20040404,2-1,49212,
nac,fyn,20040404,0-3,15900,
rdj,nec,20040409,4-0,12255,
hrv,utr,20040410,4-0,15050,
zwl,az1,20040410,2-0, 6500,
vol,wl2,20040410,0-1, 4050,
adh,rkc,20040410,1-3, 6437,
fyn,ajx,20040411,1-1,43000,
vit,nac,20040411,2-2,19875,
rbc,twn,20040411,1-2, 5000,
psv,grn,20040411,5-0,32000,
wl2,vit,20040416,1-1,13400,
adh,twn,20040417,1-0, 7123,
psv,nec,20040417,3-0,33500,
zwl,hrv,20040417,1-0, 6750,
rkc,rdj,20040417,1-1, 6000,
utr,fyn,20040418,0-3,18000,
ajx,rbc,20040418,1-1,47000,
grn,az1,20040418,1-1,11500,
vol,nac,20040418,4-2, 4000,
rdj,utr,20040423,1-1,13230,
twn,wl2,20040424,2-0,13010,
rbc,psv,20040424,0-3, 5000,
hrv,vit,20040424,0-0,15150,
az1,rkc,20040424,7-0, 7713,
nec,ajx,20040425,0-0,12500,
fyn,vol,20040425,2-0,42000,
nac,adh,20040425,1-0,11231,
grn,zwl,20040425,2-2,12013,
wl2,rbc,20040501,3-0,13501,
adh,hrv,20040501,1-0,10000,
az1,nac,20040501,2-2, 7732,
twn,rdj,20040501,1-2,13000,
zwl,ajx,20040502,0-5, 6800,
fyn,grn,20040502,1-2,39600,
rkc,utr,20040502,1-0, 5300,
vit,nec,20040502,2-2,21246,
vol,psv,20040502,0-5, 4807,
ajx,nac,20040509,2-0,49717,
utr,grn,20040509,2-0,19100,
zwl,wl2,20040509,0-0, 6000,
nec,vol,20040509,1-1,12000,
psv,adh,20040509,3-2,33000,
rbc,fyn,20040509,1-4, 4980,
rkc,twn,20040509,3-3, 5100,
rdj,vit,20040509,2-0,13813,
hrv,az1,20040509,1-0,16100,
adh,nec,20040516,4-1, 8781,
az1,psv,20040516,2-4, 7878,
grn,rdj,20040516,2-2,12181,
twn,hrv,20040516,2-0,13250,
vol,rbc,20040516,2-1, 5057,
fyn,zwl,20040516,7-1,44000,
nac,rkc,20040516,5-3,10715,
vit,utr,20040516,3-0,19000,
wl2,ajx,20040516,2-5,14550,
