club1,club2,dd,result,spectators,remark
hrv,rdj,20090731,0-0,26000,
wl2,vit,20090801,3-1,12500,
spr,twn,20090801,0-2, 9865,
hrc,az1,20090801,3-2, 8371,
rkc,utr,20090801,0-1, 6000,
fyn,nec,20090802,2-0,44000,
grn,ajx,20090802,0-2,22000,
adh,nac,20090802,1-2, 8900,
psv,vvv,20090802,3-3,34000,
nec,hrv,20090807,4-1,12150,
az1,spr,20090807,2-0,17000,
ajx,rkc,20090808,4-1,49072,echte hattrick Luis Suarez
rdj,grn,20090808,1-1,12030,
nac,hrc,20090809,0-0,    0,
vit,fyn,20090809,0-0,16485,
twn,psv,20090809,1-1,23700,
utr,wl2,20090809,1-0,18200,
vvv,adh,20090809,2-2, 7200,
spr,wl2,20090815,2-1, 9354,
rkc,az1,20090815,0-6, 5720,
adh,twn,20090815,0-1,10000,
hrv,vit,20090815,1-0,25400,
psv,ajx,20090816,4-3,33000,
rdj,nec,20090816,1-0,12905,
utr,vvv,20090816,2-2,19000,
hrc,fyn,20090816,0-1, 8500,
grn,nac,20090816,1-2,21000,
vit,adh,20090822,1-3,13583,
wl2,hrc,20090822,0-1,11600,
vvv,grn,20090822,2-2, 7280,
ajx,spr,20090823,0-0,46128,
hrv,az1,20090823,0-2,25600,
psv,nac,20090823,3-1,33500,
twn,rkc,20090823,2-1,23000,
fyn,rdj,20090823,4-0,42000,
rkc,adh,20090828,0-2, 5500,
rdj,vit,20090828,3-4,12590,
nec,vvv,20090829,1-1,12500,
az1,wl2,20090829,2-1,16197,
utr,spr,20090829,2-0,18000,
fyn,twn,20090830,1-1,45000,
grn,psv,20090830,0-2,22000,
nac,hrv,20090830,2-0,16132,
hrc,ajx,20090830,0-3, 8500,
psv,rdj,20090912,3-0,33000,
hrv,grn,20090912,0-1,26100,
twn,utr,20090912,3-2,23500,
adh,az1,20090912,2-1,10000,
wl2,fyn,20090913,2-3,13000,
ajx,nac,20090913,6-0,48127,
spr,rkc,20090913,1-0, 9854,
vvv,hrc,20090913,1-0, 7500,
vit,nec,20090913,2-2,17500,
wl2,grn,20090918,2-1,12000,
hrc,spr,20090919,1-1, 8451,
rdj,nac,20090919,2-0,13550,
vit,rkc,20090919,3-1,16045,
az1,nec,20090919,0-1,16147,
fyn,psv,20090920,1-3,42000,
adh,utr,20090920,0-1, 9000,
hrv,twn,20090920,0-2,25300,
vvv,ajx,20090920,0-4, 7000,"4x Luis Suarez, zijn derde echte hattrick dit seizoen"
utr,az1,20090926,1-0,22000,
psv,wl2,20090926,3-1,33000,
