club id,matches,wins,draws,losses,points,goals scored,goals against
fyn,34,26, 5, 3,57,82,25
ajx,34,24, 5, 5,53,90,20
ado,34,21, 8, 5,50,62,27
psv,34,21, 7, 6,49,73,25
twn,34,19,10, 5,48,48,18
spr,34,16,13, 5,45,54,34
gae,34,15, 8,11,38,49,43
nec,34,12,10,12,34,43,36
utr,34,13, 7,14,33,46,64
vol,34, 9,10,15,28,34,48
tlr,34, 9, 9,16,27,32,46
dws,34, 5,17,12,27,26,54
mvv,34, 8,10,16,26,28,42
nac,34, 7,10,17,24,40,61
shs,34, 5,14,15,24,34,60
exc,34, 5,10,19,20,22,66
az6,34, 3, 9,22,15,24,76
hrl,34, 1,12,21,14,22,64
