club1,club2,dd,result,spectators
rdj,fyn,19960820,1-1,-1
vol,grf,19960821,1-1,-1
grn,wl2,19960821,0-0,-1
az1,vit,19960821,0-2,-1
utr,rkc,19960821,2-2,-1
spr,fst,19960821,0-0,-1
hrv,twn,19960821,1-3,-1
ajx,nac,19960821,1-0,-1
nec,psv,19960822,1-4,-1
grf,rkc,19960824,3-2,-1
wl2,fst,19960824,0-1,-1
hrv,ajx,19960824,2-0,-1
nac,spr,19960824,1-0,-1
fyn,vol,19960825,3-0,-1
nec,az1,19960825,0-0,-1
vit,utr,19960825,1-0,-1
twn,rdj,19960825,1-1,-1
psv,grn,19960825,4-1,-1
fst,hrv,19960827,2-4,-1
vit,spr,19960828,1-1,-1
utr,twn,19960828,0-0,-1
grn,rdj,19960828,1-1,-1
vol,psv,19960828,1-3,-1
wl2,rkc,19960828,1-3,-1
fyn,grf,19960828,2-1,-1
ajx,az1,19960828,1-0,-1
nac,nec,19960829,1-1,-1
fst,fyn,19960903,0-2,-1
utr,grn,19960903,0-0,-1
hrv,nac,19960903,0-1,-1
spr,twn,19960904,1-2,-1
az1,vol,19960904,2-1,-1
rdj,ajx,19960904,0-0,-1
grf,nec,19960904,4-0,-1
wl2,vit,19960904,2-1,-1
psv,rkc,19960905,4-0,-1
grn,hrv,19960906,1-5,-1
az1,fst,19960907,0-1,-1
rdj,vol,19960907,3-0,-1
fyn,wl2,19960907,4-1,-1
nec,ajx,19960908,2-0,-1
spr,utr,19960908,3-2,-1
psv,nac,19960908,5-0,-1
twn,grf,19960908,1-0,-1
rkc,vit,19960926,0-1,-1
vit,hrv,19960913,1-1,-1
fst,utr,19960914,1-3,-1
nac,az1,19960914,1-0,-1
grn,nec,19960915,2-4,-1
vol,wl2,19960915,2-1,-1
twn,fyn,19960915,0-1,-1
grf,psv,19960915,2-1,-1
ajx,spr,19960915,2-0,-1
rkc,rdj,19960915,0-2,-1
hrv,nec,19960920,1-1,-1
fst,vol,19960921,1-1,-1
nac,rdj,19960921,0-1,-1
spr,fyn,19960921,0-1,-1
wl2,twn,19960921,1-2,-1
psv,vit,19960921,0-0,-1
az1,utr,19960922,3-1,-1
grn,rkc,19960922,1-2,-1
ajx,grf,19960922,1-1,-1
rdj,fst,19960928,0-1,-1
grf,wl2,19960928,2-2,-1
grn,az1,19960929,1-0,-1
spr,nec,19960929,1-0,-1
vit,fyn,19960929,4-2,-1
vol,hrv,19960929,2-2,-1
rkc,nac,19960929,1-2,-1
twn,ajx,19960929,1-1,-1
utr,psv,19960929,2-2,-1
psv,twn,19961008,2-0,-1
fst,grf,19961008,0-3,-1
az1,spr,19961009,1-2,-1
vit,rdj,19961009,1-2,-1
nec,hrv,19961009,1-1,-1
rkc,vol,19961009,0-0,-1
nac,utr,19961009,3-3,-1
fyn,grn,19961009,3-1,-1
ajx,wl2,19961009,3-0,-1
fst,psv,19961011,1-1,-1
rkc,fyn,19961012,1-1,-1
rdj,az1,19961012,0-2,-1
nac,twn,19961012,1-2,-1
wl2,grn,19961012,3-1,-1
hrv,spr,19961012,0-0,-1
vol,nec,19961012,1-0,-1
grf,vit,19961012,2-1,-1
utr,ajx,19961012,1-1,-1
nec,utr,19961018,2-2,-1
wl2,hrv,19961019,2-2,-1
az1,grf,19961019,2-3,-1
vit,nac,19961020,3-0,-1
twn,rkc,19961020,3-0,-1
grn,fst,19961020,2-0,-1
ajx,vol,19961020,1-1,-1
spr,rdj,19961020,4-0,-1
psv,fyn,19961020,7-2,-1
utr,wl2,19961022,0-0,-1
nac,grn,19961023,1-1,-1
rdj,vit,19961023,1-1,-1
spr,vol,19961023,0-3,-1
nec,fst,19961023,1-1,-1
fyn,az1,19961023,1-0,-1
hrv,psv,19961023,0-1,-1
ajx,rkc,19961024,2-0,-1
psv,rdj,19961026,8-0,-1
grf,fst,19961026,2-0,-1
fyn,utr,19961026,2-1,-1
az1,nec,19961027,2-2,-1
wl2,nac,19961027,2-0,-1
vol,grn,19961027,2-2,-1
twn,spr,19961027,0-2,-1
rkc,hrv,19961027,0-3,-1
vit,ajx,19961027,1-4,-1
fst,vit,19961101,1-5,-1
az1,hrv,19961102,0-2,-1
nec,spr,19961102,3-2,-1
rdj,grf,19961102,3-0,-1
twn,psv,19961103,1-2,-1
utr,nac,19961103,3-1,-1
wl2,ajx,19961103,0-1,-1
grn,fyn,19961103,0-1,-1
vol,rkc,19961103,1-0,-1
spr,az1,19961105,1-2,-1
utr,vol,19961106,1-0,-1
fyn,nac,19961112,1-0,-1
hrv,grf,19961112,2-1,-1
rdj,nec,19961113,2-0,-1
vit,rkc,19961113,2-2,-1
twn,wl2,19961113,5-0,-1
ajx,fst,19961113,2-2,-1
psv,spr,19961114,2-1,-1
hrv,fyn,19961115,1-0,-1
fst,twn,19961116,1-1,-1
utr,rdj,19961116,1-1,-1
az1,rkc,19961116,2-1,-1
grf,vol,19961116,1-0,-1
nac,ajx,19961117,2-0,-1
wl2,psv,19961117,1-0,-1
spr,grn,19961117,0-2,-1
nec,vit,19961117,0-1,-1
twn,hrv,19961121,2-1,-1
grf,grn,19961121,2-0,-1
spr,wl2,19961123,3-1,-1
nec,twn,19961124,0-3,-1
rkc,fst,19961124,1-1,-1
vol,nac,19961124,4-1,-1
grn,vit,19961124,3-2,-1
az1,psv,19961124,0-2,-1
utr,grf,19961124,2-0,-1
fyn,ajx,19961124,2-2,-1
nac,grf,19961130,2-1,-1
psv,nec,19961130,4-1,-1
wl2,rdj,19961130,0-1,-1
hrv,utr,19961130,2-2,-1
vit,az1,19961201,1-0,-1
ajx,grn,19961201,1-1,-1
rkc,spr,19961201,2-0,-1
vol,twn,19961201,0-1,-1
rkc,wl2,19961206,1-2,-1
hrv,fst,19961207,2-2,-1
psv,vol,19961207,6-0,-1
rdj,grn,19961207,2-0,-1
nec,nac,19961208,0-3,-1
az1,ajx,19961208,1-1,-1
spr,vit,19961208,1-2,-1
twn,utr,19961208,2-0,-1
grf,fyn,19961208,0-4,-1
fst,nac,19961218,2-2,-1
fyn,rdj,19961218,1-0,-1
wl2,utr,19961220,3-0,-1
rdj,hrv,19961221,6-1,-1
fst,rkc,19961221,0-0,-1
vol,vit,19961222,1-1,-1
nec,fyn,19961222,1-2,-1
twn,az1,19961222,1-0,-1
ajx,psv,19961222,0-2,51200
grn,grf,19961222,2-4,-1
rdj,twn,19970215,1-3,-1
hrv,az1,19970215,0-0,-1
wl2,nec,19970215,3-1,-1
utr,fst,19970215,0-1,-1
grf,ajx,19970215,0-2,-1
rkc,grn,19970215,1-1,-1
vit,psv,19970215,1-0,-1
vol,fyn,19970215,0-2,-1
spr,nac,19970215,2-4,-1
nac,hrv,19970222,2-2,-1
rdj,wl2,19970222,2-1,-1
psv,az1,19970222,2-1,-1
grf,twn,19970222,1-2,-1
rkc,nec,19970223,3-1,-1
utr,spr,19970223,0-1,-1
vol,fst,19970223,2-0,-1
vit,grn,19970223,6-1,-1
ajx,fyn,19970223,3-0,-1
fst,wl2,19970301,2-0,-1
hrv,rdj,19970301,3-1,-1
fyn,nec,19970301,2-0,-1
twn,vit,19970302,1-0,-1
grn,vol,19970302,1-1,-1
az1,nac,19970302,0-1,-1
grf,utr,19970302,1-2,-1
rkc,psv,19970302,1-4,-1
hrv,vit,19970307,3-0,-1
nec,rkc,19970308,3-1,-1
nac,vol,19970308,3-0,-1
spr,grf,19970308,1-1,-1
wl2,az1,19970308,2-2,-1
fst,rdj,19970308,0-3,-1
ajx,utr,19970309,1-0,-1
fyn,psv,19970309,0-0,-1
grn,twn,19970309,2-1,-1
ajx,rdj,19970314,3-1,-1
nac,wl2,19970315,0-1,-1
psv,fst,19970315,1-0,-1
nec,grn,19970315,0-0,-1
fyn,rkc,19970315,5-0,-1
twn,vol,19970316,4-0,-1
utr,az1,19970316,2-0,-1
vit,grf,19970316,3-2,-1
grn,nac,19970321,2-2,-1
fst,spr,19970322,2-1,-1
psv,hrv,19970322,0-1,-1
vol,rdj,19970323,2-1,-1
az1,fyn,19970323,0-2,-1
twn,nec,19970323,3-0,-1
rkc,ajx,19970323,1-2,-1
rdj,utr,19970328,1-1,-1
nec,vol,19970328,3-0,-1
grf,az1,19970328,1-1,-1
spr,hrv,19970328,0-3,-1
hrv,wl2,19970405,3-1,-1
fst,grn,19970405,0-2,-1
grf,spr,19970405,0-2,-1
fyn,vit,19970406,0-0,-1
rkc,twn,19970406,3-2,-1
vol,ajx,19970406,0-3,-1
nac,psv,19970406,2-2,-1
utr,nec,19970406,1-1,-1
fst,az1,19970412,1-0,-1
rdj,spr,19970412,4-1,-1
wl2,fyn,19970413,0-2,-1
utr,hrv,19970413,2-2,-1
grf,nac,19970413,2-2,-1
twn,grn,19970413,0-1,-1
vit,vol,19970413,1-1,-1
psv,ajx,19970413,2-0,-1
ajx,nec,19970418,5-0,-1
az1,rdj,19970419,1-3,-1
psv,grf,19970419,5-0,-1
nac,vit,19970419,1-1,-1
wl2,spr,19970419,1-1,-1
fyn,fst,19970419,4-4,-1
grn,utr,19970420,2-2,-1
hrv,rkc,19970420,2-0,-1
vit,twn,19970425,4-2,-1
rdj,rkc,19970426,4-0,-1
nec,wl2,19970426,0-0,-1
spr,ajx,19970504,2-1,-1
rkc,utr,19970502,1-0,-1
grf,hrv,19970503,2-1,-1
twn,fst,19970503,2-1,-1
vit,wl2,19970504,2-0,-1
nac,fyn,19970504,0-2,-1
vol,az1,19970504,2-2,-1
grn,ajx,19970507,1-1,-1
spr,psv,19970507,1-3,-1
az1,wl2,19970510,1-0,-1
fst,nec,19970510,3-1,-1
ajx,hrv,19970511,2-1,-1
rkc,grf,19970511,0-3,-1
grn,psv,19970511,0-1,-1
vol,spr,19970511,0-2,-1
utr,vit,19970511,1-0,-1
fyn,twn,19970511,1-1,-1
rdj,nac,19970512,2-1,-1
nec,rdj,19970516,2-1,-1
ajx,twn,19970517,3-2,-1
az1,grn,19970517,1-4,-1
nac,rkc,19970517,0-2,-1
hrv,vol,19970517,1-2,-1
psv,utr,19970517,6-1,-1
vit,fst,19970517,2-1,-1
wl2,grf,19970517,2-0,-1
fyn,spr,19970519,6-1,-1
fst,ajx,19970525,2-1,-1
twn,nac,19970525,4-0,-1
grf,rdj,19970525,5-2,-1
vit,nec,19970525,1-1,-1
rkc,az1,19970525,5-0,-1
grn,spr,19970525,1-2,-1
vol,utr,19970525,5-2,-1
fyn,hrv,19970525,4-2,-1
psv,wl2,19970525,3-1,-1
nec,grf,19970531,2-1,2000
wl2,vol,19970601,0-0,-1
hrv,grn,19970601,1-3,-1
az1,twn,19970601,1-2,-1
nac,fst,19970601,1-1,-1
rdj,psv,19970601,3-1,-1
ajx,vit,19970601,4-0,-1
spr,rkc,19970601,1-3,-1
utr,fyn,19970601,2-1,-1
