club id,matches,wins,draws,losses,points,goals scored,goals against
ajx,34,22, 6, 6,50,109,44
fyn,34,20,10, 4,50,94,32
psv,34,18, 9, 7,45,72,48
dos,34,18, 4,12,40,75,57
nac,34,15, 9,10,39,56,53
vvv,34,12,12,10,36,57,60
spr,34,14, 6,14,34,53,52
wl2,34,11,11,12,33,65,69
ens,34,14, 4,16,32,81,76
dws,34,13, 6,15,32,51,59
rpj,34,10,12,12,32,46,55
ado,34,13, 5,16,31,62,68
mvv,34,13, 5,16,31,60,69
f54,34,11, 8,15,30,67,81
elk,34, 9,11,14,29,37,48
blw,34,12, 5,17,29,53,82
vol,34,10, 3,21,23,54,88
sit,34, 5, 6,23,16,40,91
