club id,matches,wins,draws,losses,points,goals scored,goals against
ajx,30,24, 4, 2,52,79,25
fyn,30,21, 3, 6,45,65,30
ado,30,15, 9, 6,39,72,37
dws,30,15, 6, 9,36,48,30
gae,30,14, 8, 8,36,49,33
grn,30,12, 7,11,31,43,43
spr,30,12, 5,13,29,53,51
psv,30,10, 8,12,28,57,53
f54,30, 9, 8,13,26,36,54
wl2,30,11, 3,16,25,42,59
twn,30, 9, 6,15,24,43,61
dos,30, 9, 6,15,24,48,72
tlr,30, 8, 6,16,22,39,52
elk,30, 7, 8,15,22,37,64
mvv,30, 6, 9,15,21,36,56
hrc,30, 5,10,15,20,32,59
