club1,club2,dd,result,spectators,remark
grn,spr,20061226,0-1,19164,
nac,vit,20061227,2-1,13520,
nec,hrv,20061227,0-2,12000,
twn,az1,20061227,3-0,13250,
utr,hrc,20061227,0-0,16500,
adh,rkc,20061227,1-1, 8360,
ajx,rdj,20061227,2-0,50334,
exc,fyn,20061229,1-3, 3527,
nec,ajx,20061230,2-2,12500,
hrv,utr,20061230,0-0,26000,
psv,adh,20061230,2-1,33000,
rkc,grn,20061230,0-2, 5000,
spr,twn,20061230,3-0,10000,
az1,rdj,20061231,2-2,15042,
hrc,vit,20061231,2-2, 8183,
wl2,nac,20070114,0-2,14000,
adh,az1,20070119,1-3, 7405,
psv,hrv,20070120,3-1,32212,
rdj,wl2,20070120,2-1,13300,
rkc,twn,20070120,1-2, 5400,
hrc,nec,20070120,0-0, 8412,
ajx,utr,20070122,2-0,44740,
nac,fyn,20070122,4-1,16480,
vit,grn,20070122,3-2,18650,
spr,exc,20070122,2-1,10025,
hrv,hrc,20070126,5-1,25200,
az1,spr,20070127,3-0,15873,
utr,exc,20070127,1-0,19000,
nec,nac,20070127,2-1,12200,
wl2,vit,20070127,0-0,12000,
fyn,rkc,20070128,3-1,40500,
grn,ajx,20070128,2-3,19500,
rdj,psv,20070128,2-0,16300,
twn,adh,20070128,3-1,13000,
grn,hrv,20070202,1-1,19846,
psv,az1,20070203,2-3,33300,
exc,twn,20070203,1-2, 3000,
hrc,wl2,20070203,2-2, 8500,
ajx,fyn,20070204,4-1,50490,
vit,nec,20070204,1-1,21200,
adh,utr,20070204,1-1, 7160,
spr,rdj,20070204,2-2, 9750,
nac,rkc,20070204,2-1,14760,
exc,grn,20070209,0-2, 3000,
az1,wl2,20070210,2-0,15978,
hrv,vit,20070210,0-0,25300,
rdj,nec,20070210,1-0,13200,
rkc,hrc,20070210,2-0, 5460,
spr,psv,20070211,1-1,10350,
adh,ajx,20070211,1-2, 8276,
utr,nac,20070211,1-0,18750,
twn,fyn,20070211,3-0,13250,
wl2,adh,20070216,2-1,12500,
nac,spr,20070216,3-1,14000,
vit,rdj,20070217,0-0,19500,
hrc,psv,20070217,0-2, 8500,
nec,rkc,20070217,1-0,11500,
grn,az1,20070218,1-1,19500,
hrv,twn,20070218,1-2,25500,
ajx,exc,20070218,2-2,47905,
fyn,utr,20070218,2-0,38000,
utr,nec,20070223,3-0,18500,
twn,wl2,20070224,0-0,13250,
psv,grn,20070224,1-0,33400,
rdj,hrv,20070224,1-0,15184,
spr,hrc,20070224,0-0,10150,
az1,ajx,20070225,1-1,16458,
adh,fyn,20070225,3-3, 6000,
exc,nac,20070225,0-2, 3312,
rkc,vit,20070225,3-1, 4500,
nec,twn,20070302,0-3,12200,
psv,rkc,20070303,2-0,33500,
grn,nac,20070303,3-1,18443,
vit,exc,20070303,2-3,19450,
wl2,spr,20070303,0-0,12200,
ajx,hrv,20070304,0-1,50174,
utr,az1,20070304,0-4,19000,
fyn,rdj,20070304,1-1,42000,
hrc,adh,20070304,3-1, 8361,
rdj,utr,20070309,0-0,12800,
hrv,rkc,20070310,1-0,25500,
nac,hrc,20070310,1-1,14812,
wl2,grn,20070310,3-0,12500,
spr,nec,20070310,0-4,10115,
exc,psv,20070311,0-0, 2900,
az1,fyn,20070311,0-0,16529,
twn,ajx,20070311,1-4,13250,
vit,adh,20070311,2-2,18285,
rkc,rdj,20070316,3-2, 6218,
adh,spr,20070317,2-4,    0,
hrv,nac,20070317,4-2,25300,
nec,exc,20070317,0-1,12000,
psv,ajx,20070318,1-5,35100,
hrc,az1,20070318,0-0, 8500,
fyn,wl2,20070318,0-0,41000,
utr,vit,20070318,2-0,21400,
grn,twn,20070318,1-1,19764,
rdj,grn,20070330,0-1,14000,
nac,psv,20070331,1-1,16580,
az1,rkc,20070331,2-0,16181,
wl2,nec,20070331,1-0,13300,
ajx,hrc,20070401,3-0,50109,
vit,fyn,20070401,0-1,22900,
twn,utr,20070401,3-0,13250,
exc,adh,20070401,3-1, 2825,
spr,hrv,20070401,2-2,10800,
vit,spr,20070406,3-0,21200,
nec,psv,20070407,2-1,12500,
rdj,exc,20070407,2-0,15184,
hrv,adh,20070407,1-1,25000,
nac,az1,20070408,1-4,14780,
rkc,ajx,20070408,2-2, 7500,
fyn,grn,20070408,0-4,46000,
twn,hrc,20070408,1-1,13250,
utr,wl2,20070408,3-0,21230,
spr,utr,20070413,1-1,10500,
ajx,nac,20070413,2-0,49737,
psv,twn,20070414,2-0,33600,
adh,rdj,20070414,0-2, 8477,
exc,rkc,20070414,0-3, 2634,
az1,vit,20070415,1-0,16088,
hrc,fyn,20070415,4-1, 8500,
grn,nec,20070415,4-1,19159,
wl2,hrv,20070415,1-3,13600,
az1,hrv,20070422,3-1,16272,
ajx,spr,20070422,5-2,50364,
utr,psv,20070422,1-1,23000,
fyn,nec,20070422,1-1,38000,
nac,rdj,20070422,0-2,14120,
vit,twn,20070422,1-1,24250,
hrc,exc,20070422,3-2, 8500,
rkc,wl2,20070422,1-1, 7000,
adh,grn,20070426,1-3, 8000,halverwege gestaakt; later in Emmen uitgespeeld
grn,utr,20070429,0-2,19500,
hrv,fyn,20070429,5-1,26000,
nec,adh,20070429,3-2,12000,
psv,vit,20070429,5-1,34000,
rdj,hrc,20070429,7-0,17600,
spr,rkc,20070429,1-0,10125,
twn,nac,20070429,2-1,13250,
wl2,ajx,20070429,0-2,14000,
exc,az1,20070429,3-2, 3527,
