club1,club2,dd,result,spectators,remark
spr,rdj,20000818,2-2, 6575,
nac,rkc,20000819,0-1,11864,
grf,psv,20000819,2-0, 9450,
fyn,az1,20000819,2-0,32500,
grn,wl2,20000820,1-1,10000,
utr,hrv,20000820,2-0,13500,
rbc,nec,20000820,2-3, 5412,
vit,twn,20000820,3-1,24500,
ajx,fst,20000822,5-0,41234,
grn,nec,20000823,4-4, 9750, # missing/middeling
fst,hrv,20000826,0-2, 8000,
wl2,rkc,20000826,2-0,13300,
grf,rdj,20000826,1-3, 8750,
nac,grn,20000826,5-1,11662, # missing/middeling
az1,rbc,20000826,3-0, 6835,
nec,vit,20000827,4-1,11500,
utr,psv,20000827,1-3,13900,
spr,ajx,20000827,3-0, 9086,
twn,fyn,20000827,1-2,13800,
rkc,rbc,20000903,2-1, 5500,
psv,wl2,20000905,2-2,32500,
grn,grf,20000906,1-0, 9500,
twn,hrv,20000906,2-2,13200,
vit,spr,20000906,5-1,24500,
nac,rdj,20000906,1-1,11460,
rkc,az1,20000906,3-0, 4200,
ajx,nec,20000906,0-0,34000,
fst,psv,20000908,0-3, 8000, # missing/max
ajx,grn,20000909,3-1,35432,
grf,az1,20000909,4-2, 8450,
hrv,nac,20000909,2-1,14200,
rdj,twn,20000909,2-2,12500,
wl2,vit,20000909,2-2,13800,
fyn,rkc,20000909,3-1,33500,
nec,utr,20000910,1-1,10000,
spr,rbc,20000910,3-5, 6470,
nac,rbc,20000913,2-1,12546,
psv,spr,20000916,2-1,27000,
nac,grf,20000916,3-0,11097,
nec,fst,20000917,1-1, 8500,
rbc,grn,20000917,0-2, 6000,
utr,twn,20000917,1-2,13700,
vit,rkc,20000917,1-0,24500,
az1,ajx,20000917,3-2, 7980,
ajx,rbc,20000922,2-0,31234,
fst,vit,20000923,1-4, 7500,
grn,utr,20000924,1-3,11076,
twn,grf,20000924,3-1,13000,
nac,wl2,20000924,2-0,13084,
rkc,nec,20000924,0-0, 3500,
vit,utr,20001001,2-1,25500,
grn,psv,20001001,0-1,12000,
spr,wl2,20001001,1-2, 7000,
rdj,az1,20001001,4-2,12500,
