# empty header
nac,straf,pnt,1
rdj,twn,20100806,0,0,13180
nec,vvv,20100807,1,0,12250
hrc,wl2,20100807,3,0, 8465
grf,exc,20100807,3,0,10995
hrv,psv,20100807,1,3,26100
fyn,utr,20100808,3,1,38000
grn,ajx,20100808,2,2,22050
vit,adh,20100808,3,1,13400
nac,az1,20100808,1,1,18000
ajx,vit,20100814,4,2,47831
psv,grf,20100814,6,0,33600
az1,grn,20100814,1,1,16004
vvv,hrc,20100814,1,0, 7200
twn,hrv,20100814,0,0,23800
exc,fyn,20100815,3,2, 3600
utr,nac,20100815,3,1,18000
wl2,nec,20100815,3,5,11300
adh,rdj,20100815,1,3, 9859
exc,nec,20100820,4,2, 3158
vit,twn,20100821,0,3,12422
grn,grf,20100821,2,1,21552
hrv,nac,20100821,3,1,26000
ajx,rdj,20100821,3,0,47159
utr,wl2,20100822,3,0,20000
hrc,fyn,20100822,1,1, 8500
vvv,adh,20100822,2,3, 7000
psv,az1,20100822,3,1,33200
wl2,grn,20100827,0,3,12000
nac,vvv,20100828,2,0,17250
rdj,hrc,20100828,4,2,12240
nec,hrv,20100828,2,2,12150
grf,ajx,20100829,0,5,12550
fyn,vit,20100829,4,0,43000
twn,utr,20100829,4,0,23500
adh,psv,20100829,2,2,11334
az1,exc,20100829,1,1,15949
ajx,wl2,20100911,2,0,47702
vvv,twn,20100911,1,2, 7000
hrv,vit,20100911,2,1,26000
psv,nec,20100911,3,1,33000
az1,rdj,20100911,1,2,15652
exc,hrc,20100911,2,1, 3254
nac,fyn,20100912,2,0,17850
adh,grf,20100912,2,2,11860
grn,utr,20100912,1,0,21353
grf,hrv,20100917,3,2,11059
grn,exc,20100918,2,0,21300
vit,nac,20100918,0,0,13450
wl2,adh,20100918,2,4,10300
fyn,ajx,20100919,1,2,40000
nec,az1,20100919,0,1,12150
rdj,psv,20100919,0,0,15690
utr,vvv,20100919,3,2,20000
hrc,twn,20100919,0,0, 8500
hrv,rdj,20100925,2,2,25800
psv,grn,20100925,1,1,33200
az1,utr,20100925,1,0,16090
adh,hrc,20100925,3,2,14120
twn,ajx,20100925,2,2,24000
nac,wl2,20100926,2,1,18350
nec,fyn,20100926,3,0,12400
exc,vit,20100926,0,2, 3156
vvv,grf,20100926,1,0, 8000
vit,wl2,20101001,0,0,13150
nac,nec,20101002,2,0,18095
exc,rdj,20101002,1,2, 3000
ajx,utr,20101003,1,2,45167
hrv,adh,20101003,0,0,25400
twn,grn,20101003,4,2,23800
az1,hrc,20101003,2,1,15869
grf,fyn,20101003,1,1,12550
psv,vvv,20101003,3,0,33700
ajx,nac,20101016,3,0,48370
utr,grf,20101016,2,2,18000
vvv,az1,20101016,0,1, 7500
adh,exc,20101016,2,1,14993
fyn,twn,20101016,0,1,43000
grn,hrv,20101017,1,0,22435
rdj,vit,20101017,4,1,13958
wl2,psv,20101017,2,4,12500
hrc,nec,20101017,3,2, 8500
nac,rdj,20101022,1,2,18100
grf,hrc,20101023,1,1,11379
nec,grn,20101023,3,2,12250
hrv,vvv,20101023,2,0,25700
exc,ajx,20101024,2,2, 3540
psv,fyn,20101024,10,0,33900,grootste nederlaag ooit van Feyenoord in de eredivisie
twn,adh,20101024,3,2,23800
az1,wl2,20101024,3,0,16248
vit,utr,20101024,1,4,13864
rdj,nec,20101026,1,1,12775
hrc,nac,20101026,4,1, 8425
ajx,hrv,20101027,3,1,47612
grn,adh,20101027,3,1,21851
grf,az1,20101027,2,1,11127
wl2,twn,20101027,1,3,10400
fyn,vvv,20101027,3,0,41600
utr,exc,20101027,2,0,16000
vit,psv,20101027,0,2,14148
vvv,grn,20101030,3,5, 7500
nac,grf,20101030,2,0,18250
hrc,ajx,20101030,1,4, 8500
exc,hrv,20101030,0,2, 3000
psv,twn,20101030,0,1,34300
nec,vit,20101031,0,0,12500
adh,utr,20101031,1,0,10788
rdj,wl2,20101031,2,2,13063
az1,fyn,20101031,2,1,16576
wl2,vvv,20101105,1,4,11000
twn,exc,20101106,2,1,23700
grn,nac,20101106,2,1,21856
hrv,hrc,20101106,3,2,25500
grf,nec,20101106,1,4,11749
ajx,adh,20101107,0,1,43914
fyn,rdj,20101107,1,1,38000
utr,psv,20101107,1,2,20461
vit,az1,20101107,1,1,16000
psv,exc,20101113,4,2,33400
nac,twn,20101113,2,1,18450
az1,ajx,20101114,2,0,16779
fyn,hrv,20101114,2,2,42000
hrc,grn,20101114,3,0, 8500
nec,adh,20101114,1,1,12400
vvv,vit,20101114,1,5, 8000
exc,vvv,20101120,1,0, 3541
twn,az1,20101120,1,2,23800
vit,hrc,20101120,2,0,14382
