club_id,matches,wins,draws,losses,points,goals_scored,goals_against
psv,34,27, 6, 1,60,100,22
ajx,34,25, 2, 7,52,120,35
fyn,34,19, 6, 9,44, 74,50
grn,34,17, 6,11,40, 57,40
rdj,34,16, 7,11,39, 76,51
dbs,34,13,11,10,37, 50,41
spr,34,13,11,10,37, 54,59
fst,34,11,12,11,34, 47,47
az1,34,11,12,11,34, 40,55
gae,34,13, 7,14,33, 47,62
hrl,34,10,12,12,32, 48,47
utr,34,11,10,13,32, 40,46
vvv,34,11, 5,18,27, 39,62
twn,34, 8,11,15,27, 36,69
exc,34, 9, 7,18,25, 31,48
mvv,34, 8, 8,18,24, 34,60
nec,34, 9, 5,20,23, 33,59
hrc,34, 3, 6,25,12, 26,99
