club1,club2,dd,result,spectators,remark
gae,hrv,20210813,0-1,6650,
rkc,az1,20210814,1-0,3860,
hrc,psv,20210814,0-2,8053,
fst,twn,20210814,2-1,6300,
ajx,nec,20210814,5-0,32275,
cmb,grn,20210815,1-2,7000,
pzw,vit,20210815,0-1,9000,
utr,spr,20210815,4-0,16000,
wl2,fyn,20210815,0-4,9700,
nec,pzw,20210820,2-0,8500,
hrv,rkc,20210821,3-2,13600,
psv,cmb,20210821,4-1,23500,
spr,hrc,20210821,1-1,6725,
grn,utr,20210821,0-0,15000,
twn,ajx,20210822,1-1,20000,
fyn,gae,20210822,2-0,34384,
vit,wl2,20210822,0-3,11329,
fst,rkc,20210827,2-2,6470,
cmb,twn,20210828,2-0,6672,
psv,grn,20210828,5-2,23447,
gae,spr,20210828,2-0,6650,
wl2,pzw,20210828,1-0,9352,
utr,fyn,20210829,3-1,16000,
ajx,vit,20210829,5-0,36816,
hrc,nec,20210829,0-1,8053,
hrv,az1,20210829,1-3,16000,
twn,utr,20210911,1-0,20000,
pzw,ajx,20210911,0-2,9000,
cmb,gae,20210911,5-2,6682,
az1,psv,20210911,0-3,13000,
nec,wl2,20210912,0-0,8333,
spr,fst,20210912,3-1,6623,
grn,hrv,20210912,1-1,15000,
rkc,vit,20210912,1-2,4989,
spr,nec,20210917,1-1,7041,
hrv,fst,20210918,1-0,16400,
wl2,grn,20210918,2-1,9463,
ajx,cmb,20210918,9-0,36711,
utr,rkc,20210918,2-2,16000,
gae,pzw,20210919,1-0,6600,
psv,fyn,20210919,0-4,24356,
vit,twn,20210919,1-4,13808,
hrc,az1,20210919,3-2,8053,
fst,ajx,20210921,0-5,8333,
rkc,wl2,20210921,1-2,5975,
gae,psv,20210922,1-2,6650,
nec,utr,20210922,0-3,8333,
grn,vit,20210922,0-1,15000,
fyn,hrv,20210922,3-1,32775,
pzw,spr,20210922,1-1,9000,
cmb,hrc,20210923,2-1,6676,
twn,az1,20210923,3-1,20000,
wl2,psv,20210925,2-1,14397,
ajx,grn,20210925,3-0,53148,
vit,fst,20210925,1-1,11631,
fyn,nec,20210925,5-3,45495,
utr,pzw,20210925,5-1,19451,
spr,cmb,20210926,0-4,8645,
az1,gae,20210926,5-0,13612,
hrv,twn,20210926,2-3,18500,
hrc,rkc,20210926,1-0,10035,
grn,twn,20211001,1-1,16250,
rkc,gae,20211002,1-1,6018,
pzw,hrv,20211002,0-1,13655,
hrc,wl2,20211002,3-2,9251,
fst,nec,20211002,1-3,7011,
ajx,utr,20211003,0-1,52621,
cmb,az1,20211003,1-3,10000,
vit,fyn,20211003,2-1,14238,
psv,spr,20211003,2-1,30500,
fyn,rkc,20211016,2-2,47183,
hrv,ajx,20211016,0-2,25133,
gae,hrc,20211016,4-2,9701,
psv,pzw,20211016,3-1,30500,
fst,cmb,20211016,1-0,6873,
az1,utr,20211017,5-1,17037,
nec,vit,20211017,0-1,12500,
spr,grn,20211017,1-1,9038,
twn,wl2,20211017,1-1,27000,
wl2,fst,20211022,1-1,14057,
utr,hrv,20211023,2-1,21875,
pzw,hrc,20211023,1-0,13026,
rkc,spr,20211023,1-0,5304,
twn,nec,20211024,1-2,26000,
cmb,fyn,20211024,2-3,10000,
vit,gae,20211024,1-2,12783,
ajx,psv,20211024,5-0,53585,
grn,az1,20211024,2-0,11300,
psv,twn,20211030,5-2,32500,
hrc,ajx,20211030,0-0,12080,
hrv,vit,20211030,1-2,17187,
az1,pzw,20211030,3-2,15328,
spr,fyn,20211031,0-1,10599,
nec,grn,20211031,3-0,0,
utr,wl2,20211031,5-1,20469,
rkc,cmb,20211031,0-1,4754,
gae,fst,20211031,4-3,8807,
twn,hrc,20211105,1-0,30000,
nec,hrv,20211106,1-1,0,
wl2,spr,20211106,0-3,13028,
pzw,cmb,20211106,1-2,13098,
grn,rkc,20211107,1-1,20313,
fst,psv,20211107,1-4,9527,
fyn,az1,20211107,1-0,47500,
vit,utr,20211107,2-1,15867,
ajx,gae,20211107,0-0,53497,
psv,vit,20211120,2-0,0,
spr,twn,20211120,0-1,0,
az1,nec,20211120,1-1,0,
hrc,fst,20211120,3-1,0,
gae,grn,20211121,0-1,0,
fyn,pzw,20211121,4-0,0,
hrv,wl2,20211121,2-1,0,
rkc,ajx,20211121,0-5,0,
cmb,utr,20211121,2-1,0,
nec,cmb,20211126,2-3,0,
fst,grn,20211127,1-4,0,
pzw,rkc,20211127,0-0,0,
wl2,gae,20211127,0-1,0,
spr,ajx,20211128,0-1,0,
twn,fyn,20211128,0-0,0,
utr,hrc,20211128,1-0,0,
hrv,psv,20211128,1-1,0,
vit,az1,20211128,0-0,0,
fyn,hrc,20211201,2-1,0,
az1,fst,20211202,2-1,0,
ajx,wl2,20211202,5-0,0,
grn,pzw,20211203,1-1,0,
psv,utr,20211204,4-1,0,
cmb,vit,20211204,1-6,0,
hrc,hrv,20211204,0-1,0,
rkc,nec,20211205,2-1,0,
az1,spr,20211205,3-1,0,
gae,twn,20211205,1-2,0,
fyn,fst,20211205,5-0,0,
wl2,cmb,20211210,1-3,0,
utr,gae,20211211,0-0,0,
hrv,spr,20211211,0-0,0,
pzw,fst,20211211,0-1,0,
twn,rkc,20211212,2-1,0,
grn,fyn,20211212,1-1,0,
vit,hrc,20211212,2-1,0,
ajx,az1,20211212,1-2,0,
nec,psv,20211212,1-2,0,
fst,utr,20211218,2-2,0,
spr,vit,20211218,2-2,0,
az1,wl2,20211218,4-1,0,
hrc,grn,20211218,4-2,0,
pzw,twn,20211218,1-3,0,
cmb,hrv,20211219,1-2,0,
fyn,ajx,20211219,0-2,0,
gae,nec,20211219,0-2,0,
rkc,psv,20211219,1-4,0,
vit,pzw,20211221,1-0,0,
az1,grn,20211221,1-0,0,
hrv,fyn,20211222,0-3,0,
wl2,nec,20211222,0-1,0,
hrc,cmb,20211222,1-1,0,
ajx,fst,20211222,5-0,0,
utr,twn,20211222,1-1,0,
psv,gae,20211223,2-0,0,
spr,rkc,20211223,1-1,0,
pzw,wl2,20220114,2-0,0,
nec,hrc,20220115,0-0,0,
fyn,vit,20220115,0-1,0,
twn,hrv,20220115,2-0,0,
gae,rkc,20220115,0-2,0,
utr,ajx,20220116,0-3,0,
grn,psv,20220116,0-1,0,
cmb,spr,20220116,1-1,0,
fst,az1,20220116,1-2,0,
vit,grn,20220122,1-3,0,
az1,cmb,20220122,0-0,0,
hrv,pzw,20220122,0-1,0,
wl2,twn,20220122,0-1,0,
nec,fyn,20220123,1-4,0,
psv,ajx,20220123,1-2,0,
hrc,gae,20220123,1-1,0,
spr,utr,20220123,0-3,0,
rkc,fst,20220123,2-1,0,
utr,cmb,20220205,3-2,8000,
fst,hrv,20220205,2-0,4200,
psv,az1,20220205,1-2,12000,
pzw,nec,20220205,1-1,4500,
twn,vit,20220205,3-0,0,
fyn,spr,20220206,4-0,17039,
wl2,rkc,20220206,3-1,4686,
grn,gae,20220206,2-1,6900,
ajx,hrc,20220206,3-0,15750,
hrc,utr,20220211,1-0,4058,
grn,fst,20220212,0-1,7200,
cmb,pzw,20220212,3-4,3300,
vit,psv,20220212,0-5,9177,
gae,az1,20220213,1-4,,
spr,wl2,20220213,1-0,3500,
rkc,fyn,20220213,0-2,2126,
hrv,nec,20220213,0-1,8321,
ajx,twn,20220213,5-0,17859,
nec,rkc,20220219,1-1,11802,
wl2,ajx,20220219,0-1,14412,
az1,hrc,20220219,2-1,13616,
pzw,grn,20220220,1-1,13620,
fyn,cmb,20220220,3-1,44779,
twn,gae,20220220,2-2,,
psv,hrv,20220220,3-1,,
utr,vit,20220220,1-1,16886,
rkc,twn,20220225,1-2,5364,
hrc,pzw,20220226,2-0,6788,
grn,wl2,20220226,1-0,17977,
cmb,fst,20220226,2-1,9780,
az1,fyn,20220227,2-1,16241,
vit,nec,20220227,4-1,13877,
spr,psv,20220227,1-2,10020,
gae,ajx,20220227,2-1,9200,
hrv,utr,20220227,1-2,19200,
wl2,hrv,20220305,0-0,13082,
gae,utr,20220305,1-1,9924,
fyn,grn,20220305,1-1,45395,
psv,hrc,20220306,3-1,33247,
twn,cmb,20220306,1-0,26800,
ajx,rkc,20220306,3-2,53467,
nec,az1,20220306,1-3,12000,
fst,pzw,20220306,0-1,,
cmb,ajx,20220311,2-3,9822,
spr,gae,20220312,1-0,10011,
grn,nec,20220312,4-3,20600,
rkc,hrv,20220312,0-0,4203,
fst,wl2,20220313,1-0,5812,
utr,psv,20220313,0-1,22269,
hrc,vit,20220313,0-0,7035,
pzw,fyn,20220313,1-2,14000,
az1,twn,20220313,0-1,15349,
hrv,hrc,20220318,2-0,17980,
gae,cmb,20220319,3-0,9631,
twn,pzw,20220319,1-0,28000,
nec,spr,20220319,0-0,12000,
utr,grn,20220320,1-3,21221,
ajx,fyn,20220320,3-2,54000,
psv,fst,20220320,5-0,33491,
vit,rkc,20220320,1-2,13625,
wl2,az1,20220320,2-2,13064,
grn,ajx,20220402,1-3,22525,
twn,psv,20220402,3-3,30000,
az1,vit,20220402,3-1,17406,
rkc,utr,20220402,1-1,6389,
fyn,wl2,20220402,2-0,47500,
pzw,gae,20220403,0-1,14000,
spr,hrv,20220403,1-1,10210,
fst,hrc,20220403,0-2,10067,
cmb,nec,20220403,1-2,10000,
gae,wl2,20220408,4-0,9821,
utr,fst,20220409,1-1,21216,
ajx,spr,20220409,2-1,54254,
nec,twn,20220409,0-2,12390,
hrv,grn,20220410,3-1,22500,
psv,rkc,20220410,2-0,33000,
vit,cmb,20220410,1-0,14970,
hrc,fyn,20220410,1-4,7461,
pzw,az1,20220410,2-1,12876,
fst,spr,20220416,3-0,10032,
vit,spr,20220419,0-1,9771,restant gestaakte wedstrijd van 20220304
twn,spr,20220422,2-0,29100,
nec,ajx,20220423,0-1,12390,
az1,hrv,20220423,2-1,17198,
rkc,pzw,20220423,0-2,5236,
cmb,psv,20220423,1-2,10000,
wl2,vit,20220424,1-0,14500,
grn,hrc,20220424,0-1,20471,
fyn,utr,20220424,2-1,47500,
fst,gae,20220424,1-0,9512,
utr,nec,20220429,1-0,20665,
ajx,pzw,20220430,3-0,54120,
hrc,twn,20220430,1-1,7845,
spr,az1,20220430,1-1,10010,
hrv,cmb,20220501,3-3,25100,
psv,wl2,20220501,4-2,33100,
gae,vit,20220501,1-2,9814,
fst,fyn,20220501,1-3,10512,
rkc,grn,20220501,3-1,6348,
