club1,club2,dd,result,spectators,remark
hrv,twn,19980820,1-0,13500,
fst,fyn,19980821,1-2, 7000,
mvv,grf,19980822,1-2, 5500,
cmb,psv,19980822,1-1, 9500,
az1,spr,19980822,2-0, 7017,
rkc,nec,19980822,0-1, 4000,
vit,rdj,19980822,1-0,22165,
nac,utr,19980823,2-4,11550,
ajx,wl2,19980823,2-0,45000,
rdj,ajx,19980828,0-2, 8500,
az1,vit,19980829,0-0, 7253,
psv,hrv,19980829,1-2,24500,
wl2,fst,19980829,1-0,11100,
twn,spr,19980830,1-0, 9000,
nec,nac,19980830,1-1, 7250,
utr,cmb,19980830,3-0,13000,
fyn,mvv,19980830,3-1,23100,
grf,rkc,19980905,2-2, 7150,
spr,rdj,19980906,1-1, 4250,
fyn,grf,19980908,5-0,23410,
rkc,psv,19980908,3-4, 7500,
hrv,wl2,19980908,2-2,13700,
nac,twn,19980909,1-1,10465,
mvv,utr,19980909,1-4, 6500,
cmb,nec,19980909,2-2, 7500,
fst,vit,19980909,0-2, 5000,
ajx,az1,19980909,5-1,47400,
hrv,fyn,19980911,0-1,13870,
rdj,nac,19980912,3-1, 5000,
psv,mvv,19980912,2-0,25000,
fst,az1,19980912,2-2, 5000,
wl2,spr,19980912,3-2,10500,
vit,cmb,19980912,4-2,22800,
utr,ajx,19980913,2-2,13500,
twn,rkc,19980913,1-0, 8338,
grf,nec,19980913,2-1, 7300,
nec,rdj,19980918,3-1, 4150,
cmb,twn,19980919,0-2, 8500,
mvv,vit,19980919,4-2, 6500,
az1,wl2,19980919,1-1, 7552,
rkc,hrv,19980920,0-4, 4470,
utr,fst,19980920,1-1,12800,
spr,nac,19980920,0-2, 4300,
ajx,grf,19980920,1-1,45911,
psv,fyn,19980922,1-2,28000,
grf,spr,19980923,0-3, 7750,
twn,mvv,19980923,2-1, 8563,
nac,az1,19980923,1-1, 9598,
vit,rkc,19980923,2-0,22500,
fst,ajx,19980923,1-0, 9000,
wl2,cmb,19980923,2-1,10200,
hrv,utr,19980923,1-0,13870,
fyn,nec,19981206,1-0,23000,
psv,rdj,19981212,3-3,26500,
cmb,grf,19980926,2-0, 8000,
rdj,rkc,19980926,0-0, 6000,
nec,hrv,19980926,2-0, 8500,
fst,mvv,19980926,0-1, 7000,
fyn,wl2,19980926,3-2,30200,
vit,spr,19980926,5-1,21000,
utr,twn,19980927,0-3,12800,
ajx,nac,19980927,1-0,43000,
az1,psv,19980927,4-1, 7649,
mvv,cmb,19981003,3-0, 5500,
psv,fst,19981003,2-0,25500,
wl2,rdj,19981003,1-2,10500,
spr,ajx,19981004,2-0, 7500,
utr,nec,19981004,2-3,12500,
rkc,az1,19981004,2-3, 4150,
twn,fyn,19981004,1-1,13500,
grf,vit,19981004,0-0, 8000,
hrv,nac,19981004,2-1,13600,
az1,hrv,19981016,1-3, 9267,
nac,mvv,19981017,2-0,11789,
fst,spr,19981017,2-1, 5000,
cmb,rkc,19981017,1-1, 7500,
vit,wl2,19981017,3-2,22800,
fyn,rdj,19981017,0-0,24600,
grf,utr,19981018,0-0, 7850,
nec,psv,19981018,2-2, 9000,
ajx,twn,19981018,5-0,43000,
rdj,fst,19981023,5-3, 8000,
nec,az1,19981023,2-2, 7000,
mvv,rkc,19981024,1-0, 4500,
twn,grf,19981024,2-1,13500,
utr,fyn,19981025,2-3,13200,
ajx,cmb,19981025,4-0,39000,
spr,hrv,19981025,3-1, 4500,
wl2,psv,19981025,4-2,11500,
nac,vit,19981209,0-2,10446,
fst,twn,19981030,0-3, 5600,
psv,spr,19981031,4-0,26000,
cmb,nac,19981031,3-1, 7500,
mvv,wl2,19981031,1-1, 4500,
hrv,vit,19981031,2-1,13800,
fyn,az1,19981031,1-2,27500,
utr,rdj,19981101,0-3,12800,
rkc,grf,19981101,1-2, 4970,
nec,ajx,19981101,0-4, 8500,
rkc,utr,19981106,2-5, 5720,
grf,wl2,19981107,2-2, 7450,
rdj,cmb,19981107,1-0, 6000,
spr,mvv,19981108,0-0, 4000,
vit,nec,19981108,1-0,20700,
az1,ajx,19981108,1-1,10500,
twn,psv,19981108,2-2,13500,
hrv,fst,19981108,2-0,13600,
nac,fyn,19990418,0-1,11907,
twn,hrv,19981111,1-2,13500,
nac,nec,19981111,1-2,10400,
cmb,az1,19981111,0-0, 8500,
mvv,fyn,19981111,1-3, 8000,
fst,grf,19981111,0-0, 5000,
wl2,rkc,19981111,3-0,10920,
ajx,rdj,19981111,2-1,45678,
psv,vit,19981112,3-1,26500,
grf,rdj,19981114,2-3, 7250,
mvv,az1,19981114,2-1, 4500,
nec,twn,19981114,2-2, 7000,
vit,utr,19981115,2-0,20700,
rkc,spr,19981115,5-1, 4470,
fyn,fst,19981115,4-1,26200,
wl2,nac,19981115,2-1,11500,
ajx,psv,19981115,2-2,50123,
hrv,cmb,19981124,1-1,13870,
mvv,nec,19981120,0-3, 4000,
