club_id,matches,wins,draws,losses,points,goals_scored,goals_against
ajx,34,22, 6, 6,50,77,41
az6,34,20, 7, 7,47,77,36
psv,34,18, 8, 8,44,66,37
fyn,34,15,13, 6,43,58,36
utr,34,14,11, 9,39,49,35
twn,34,16, 7,11,39,49,41
rdj,34,14, 8,12,36,51,49
wl2,34,11,12,11,34,43,63
exc,34,10,11,13,31,56,60
adh,34,11, 9,14,31,38,43
mvv,34,10,11,13,31,46,53
gae,34,12, 6,16,30,51,52
spr,34,10, 7,17,27,45,55
zwl,34, 9, 9,16,27,36,47
nec,34,11, 5,18,27,33,50
nac,34,10, 7,17,27,35,59
vit,34, 6,13,15,25,35,59
hrl,34, 7,10,17,24,38,67
