club_id,matches,wins,draws,losses,points,goals_scored,goals_against
psv,34,25, 8, 1,58,82,24
ajx,34,25, 5, 4,55,83,24
fyn,34,20, 9, 5,49,54,19
vit,34,15,10, 9,40,47,33
grn,34,14,11, 9,39,44,37
twn,34,13, 9,12,35,53,49
mvv,34,11,13,10,35,42,44
spr,34,11,13,10,35,50,53
rdj,34,12,11,11,35,41,45
rkc,34,10,14,10,34,50,49
utr,34, 9,15,10,33,37,39
wl2,34,11, 9,14,31,44,45
vol,34,10, 8,16,28,34,50
fst,34, 7,11,16,25,36,50
drd,34, 9, 7,18,25,38,64
adh,34, 6,10,18,22,35,63
grf,34, 6, 9,19,21,29,59
vvv,34, 3, 6,25,12,32,84
