season,rank,name,club,total,remark
1995-1996, 3, Graham Arnold, nac, 16,
1995-1996, 3, Dennis de Nooijer, spr, 16,
1996-1997, 1, Luc Nilis, psv, 21,
1996-1997, 2, John Bosman, twn, 20,
1996-1997, 3, Roy Makaay, vit, 19,
1997-1998, 1, Niklos Machlas, vit, 34,
1997-1998, 2, arveladze, ajx, 25,
1997-1998, 3, Ronald Hamming, fst, 20,
1998-1999, 1, vnistelrooy, psv, 31,
1998-1999, 2, Luc Nilis, psv, 24,
1998-1999, 3, Jan Vennegoor of Hesselink, twn, 21,
1999-2000, 1, vnistelrooy, psv, 29,
1999-2000, 2, vhooijdonk, vit, 25,
1999-2000, 3, Arnold Bruggink, psv, 19,
1999-2000, 4, Luc Nilis, psv, 19,
1999-2000, 5, Jan Vennegoor of Hesselink, twn, 19,
1999-2000, 6, John Bosman, az1, 18,
1999-2000, 7, Anthony Lurling, hrv, 18,
1999-2000, 8, Julio Ricardo Cruz, fyn, 15,
1999-2000, 9, Richard Knopper, ajx, 15,
1999-2000,10, Bob Peeters, rdj, 15,
2000-2001, 1, Mateja Kezman, psv, 24,
2000-2001, 2, Ali Elkhattabi, spr, 21, # El-Khattabi ?
2000-2001, 3, Yannis Anastasiou, rdj, 19,
2000-2001, 3, Igor Gluscevic, utr, 19,
2000-2001, 5, arveladze, ajx, 18,
2000-2001, 6, Rick Hoogendorp, rkc, 17,
2000-2001, 7, nelisse, az1, 16,
2000-2001, 8, Jon Dahl Tomasson, fyn, 15,
2000-2001, 8, Georgi Hristov, nec, 15,
2000-2001, 8, Jan Vennegoor of Hesselink, twn, 15,
2001-2002, 1, vhooijdonk, fyn, 24,
2001-2002, 2, Jan Vennegoor of Hesselink, psv, 22,
2001-2002, 3, Jon Dahl Tomasson, fyn, 17,
2001-2002, 4, Landzaat, wl2, 16,
2001-2002, 5, Allb&auml;ck, hrv, 15,
2001-2002, 5, Mateja Kezman, psv, 15,
2001-2002, 5, Igor Gluscevic, utr, 15, # 14 volgens Volkskrant
2001-2002, 8, Rafael van der Vaart, ajx, 14,
2001-2002, 8, Van den Eede, dbs, 14,
2001-2002,10, nelisse, az1, 13,
2001-2002,10, Rick Hoogendorp, rkc, 13,
2002-2003, 1, Mateja Kezman, psv, 35,
2002-2003, 2, vhooijdonk, fyn, 28,
2002-2003, 3, kuyt, utr, 20,
2002-2003, 4, Rafael van der Vaart, ajx, 18,
2002-2003, 4, Thomas Buffel, fyn, 18,
2002-2003, 6, Rick Hoogendorp, rkc, 16,
2002-2003, 7, Matthew Amoah, vit, 15,
2002-2003, 8, Zlatan Ibrahimovic, ajx, 13,
2002-2003, 9, Orlando Engelaar, nac, 12,
2002-2003, 9, Arjen Robben, psv, 12,
2002-2003,11, Hans van de Haar, grf, 11,
2002-2003,11, perez, az1, 11,
2002-2003,11, Andy van der Meyde, ajx, 11,
2002-2003,15, Salomon Kalou, fyn, 10,
2002-2003,15, Romano Denneboom, hrv, 10,
2002-2003,15, Tom Soetaers, rdj, 10,
2003-2004, 1, Mateja Kezman, psv, 31,
2003-2004, 2, kuyt, fyn, 20,
2003-2004, 3, Gerald Sibon, hrv, 15,
2003-2004, 4, Ali Elkhattabi, az1, 14,
2003-2004, 5, nkufo, twn, 14,
2003-2004, 6, Thomas Buffel, fyn, 14,
2003-2004, 7, Zlatan Ibrahimovic, ajx, 13,
2003-2004, 8, Iwan Redan, RKC Waalwijk en Roda JC, 13,
2003-2004, 9, Cristiano, rdj, 12, # Cristiano Dos Santos Rodrigues
2003-2004,10, Jan Vennegoor of Hesselink, psv, 12,
2003-2004,11, Arouna Kon&eacute;, rdj, 11,
2003-2004,12, Yannis Anastasiou, Roda JC en Ajax, 11,
2003-2004,13, Tom Caluw&eacute;, wl2, 10, #eacute of egrave ?
2003-2004,14, Roy Stroeve, adh, 10,
2003-2004,15, Youssouf Hersi, nec, 10,
2003-2004,16, perez, az1, 10,
2004-2005, 1, kuyt, fyn, 29,
2004-2005, 2, Salomon Kalou, fyn, 20,
2004-2005, 3, Jan Vennegoor of Hesselink, psv, 19,
2004-2005, 4, nevland, grn, 16,
2004-2005, 4, huntelaar, hrv, 16,
2004-2005, 4, nkufo, twn, 16,
2004-2005, 7, Kone, rdj, 15,
2004-2005, 8, Mark van Bommel, psv, 14,
2004-2005, 9, perez, az1, 13,
2004-2005, 9, Boussaboun, nac, 13,
2004-2005, 9, Amoah, vit, 13,
2004-2005,12, Hoogendorp, rkc, 12,
2004-2005,12, Den Ouden, adh, 12,
2005-2006, 1, huntelaar, Heerenveen/Ajax, 33, # Heerenveen: 17; Ajax: 16
2005-2006, 2, arveladze, az1, 22,
2005-2006, 2, kuyt, fyn, 22,
2005-2006, 4, farfan, psv, 21,
2005-2006, 5, Salomon Kalou, fyn, 15,
2005-2006, 6, Kone, Roda/PSV, 13, # Roda: 2; PSV: 11
2005-2006, 7, nkufo, twn, 12,
2005-2006, 7, Rick Hoogendorp, rkc, 12,
2005-2006, 7, Rosenberg, ajx, 12,
2005-2006,10, Jan Vennegoor of Hesselink, psv, 11,
2006-2007, 1, alves, hrv, 34,
2006-2007, 2, koevermans, az1, 22,
2006-2007, 2, nkufo, twn, 22,
2006-2007, 4, huntelaar, ajx, 21,
2006-2007, 4, farfan, psv, 21,
2006-2007, 6, lazovic, vit, 19,
2006-2007, 7, sneijder, ajx, 18,
2006-2007, 8, bakircioglu, twn, 15,
2006-2007, 9, arveladze, az1, 14,
2006-2007,10, nevland, grn, 13,
2006-2007,11, Kolk, adh, 12,
2006-2007,11, perez, ajx, 12,
2006-2007,11, slory, exc, 12,
2006-2007,14, Salmon, grn, 11,
2006-2007,14, oper, rdj, 11,
2007-2008, 1, huntelaar, ajx, 33,
2007-2008, 2, nkufo, twn, 22,
2007-2008, 3, suarez, ajx, 17,
2007-2008, 4, nelisse, utr, 16,
2007-2008, 5, perez, PSV/Ajax, 15,
2007-2008, 5, berg, grn, 15,
2007-2008, 5, bradley, hrv, 15,
2007-2008, 8, koevermans, psv, 14,
2007-2008, 8, sulejmani, hrv, 14,
2008-2009, 1, elhamdaoui, az1, 23,
2008-2009, 2, suarez, ajx, 22,
2008-2009, 3, berg, grn, 17,
2008-2009, 4, nkufo, twn, 16,
2008-2009, 4, makaay, fyn, 16,
2008-2009, 4, pranjic, hrv, 16,
2008-2009, 7, demouge, wl2, 14,
2008-2009, 8, afellay, psv, 13,
2009-2010, 1, suarez, ajx, 35,
2009-2010, 2, ruiz, twn, 24,
2009-2010, 3, junker, rdj, 21,
2009-2010, 4, elhamdaoui, az1, 20,
2009-2010, 5, pantelic, ajx, 16,
2009-2010, 6, dost, hrc, 14,
2009-2010, 6, everton, hrc, 14,
2009-2010, 6, dzsudzsak, psv, 14,
2009-2010, 9, matavz, grn, 13,
2009-2010, 9, toivonen, psv, 13,
2010-2011, 1, vleminx, nec, 23,
2010-2011, 2, boelykin, adh, 21,
2010-2011, 3, junker, rdj, 20,
2010-2011, 4, matavz, grn, 16,
2010-2011, 4, dzsudzsak, psv, 16,
2010-2011, 6, sigthorsson, az1, 15,
2010-2011, 6, vwolfswinkel, utr, 15,
2010-2011, 6, castaignos, fyn, 15,
2010-2011, 6, everton, hrc, 15,
2010-2011, 6, toivonen, psv, 15,
2011-2012, 1, dost, hrv, 32,
2011-2012, 2, ldejong, twn, 25,
2011-2012, 2, malki, rdj, 25,
2011-2012, 4, mertens, psv, 21,
2011-2012, 5, guidetti, fyn, 20,
2011-2012, 6, toivonen, psv, 18,
