club1,club2,dd,result,remark
fst,ajx,19930210,1-4,
rdj,rkc,19930212,1-1,
fst,grn,19930213,1-1, # volgens vi 0-0
gae,mvv,19930213,1-2,
spr,dbs,19930214,2-0,
vol,cmb,19930214,0-0,
twn,vit,19930214,0-0,
psv,ajx,19930214,2-1,
drd,fyn,19930214,1-5,
utr,wl2,19930214,0-1,
grn,vit,19930221,0-1,
spr,twn,19930221,2-3,
fyn,gae,19930227,4-2,
cmb,rdj,19930227,1-1,
wl2,drd,19930227,5-0,
mvv,spr,19930227,0-2,
dbs,psv,19930228,2-2,
twn,fst,19930228,4-1,
vit,rkc,19930228,2-2,
drd,grn,19930306,0-0,
gae,wl2,19930306,0-0,
psv,mvv,19930306,2-1,
fst,vit,19930306,1-2,
utr,twn,19930307,0-1,
rkc,cmb,19930307,2-2,
spr,fyn,19930307,0-2,
vol,ajx,19930307,0-0,
rdj,ajx,19930310,1-3,
vol,dbs,19930310,3-0,
dbs,rdj,19930313,4-3,
fst,utr,19930313,1-1,
mvv,vol,19930313,0-1,
fyn,psv,19930313,1-1,
wl2,spr,19930314,5-0,
vit,cmb,19930314,1-1,
ajx,rkc,19930314,2-1,
grn,gae,19930314,2-1,
twn,drd,19930314,2-3,
rdj,mvv,19930320,0-0,
psv,wl2,19930320,1-1,
drd,fst,19930320,1-2,
cmb,ajx,19930321,1-3,
vol,fyn,19930321,1-2,
spr,grn,19930321,1-0,
utr,vit,19930321,0-3,
rkc,dbs,19930321,4-2,
gae,twn,19930321,2-1,
dbs,cmb,19930327,3-2,
mvv,rkc,19930327,1-1,
fst,gae,19930327,3-1,
wl2,vol,19930327,1-3,
vit,ajx,19930328,2-2,
fyn,rdj,19930328,3-0,
utr,drd,19930328,1-1,
grn,psv,19930328,0-1,
twn,spr,19930328,5-0,
rdj,wl2,19930403,2-0,
psv,twn,19930403,6-2,
rkc,fyn,19930403,1-2,
cmb,mvv,19930403,0-4,
ajx,dbs,19930404,4-0,
drd,vit,19930404,3-3,
vol,grn,19930404,1-3,
spr,fst,19930404,1-0,
gae,utr,19930404,1-1,
mvv,ajx,19930409,1-1,
wl2,rkc,19930412,0-2,
vit,dbs,19930412,2-0,
twn,vol,19930412,2-1,
fyn,cmb,19930412,3-1,
drd,gae,19930412,0-0,
utr,spr,19930412,1-1,
grn,rdj,19930412,0-0,
fst,psv,19930414,1-5,
cmb,wl2,19930417,3-1,
dbs,mvv,19930417,4-1,
gae,vit,19930417,0-3,
rdj,twn,19930418,2-2,
rkc,grn,19930418,1-2,
psv,utr,19930418,3-1,
vol,fst,19930418,2-0,
spr,drd,19930418,0-0,
ajx,vol,19930421,1-1,
fst,rdj,19930423,1-1,
grn,utr,19930425,2-1,
gae,spr,19930501,1-0,
vit,mvv,19930502,2-1,
wl2,ajx,19930502,1-0,
twn,rkc,19930502,0-0,
fyn,dbs,19930502,5-0,
utr,vol,19930502,2-0,
grn,cmb,19930502,0-1,
rdj,utr,19930507,1-3,
mvv,grn,19930507,1-0,
cmb,twn,19930508,4-2,
dbs,wl2,19930508,0-3,
psv,gae,19930508,2-0,
ajx,fyn,19930509,5-2,
rkc,fst,19930509,1-3,
vol,drd,19930509,4-1,
