club id,matches,wins,draws,losses,points,goals scored,goals against
dos,34,19, 9, 6,47,84,52
ens,34,19, 9, 6,47,75,48
ajx,34,17, 8, 9,42,62,44
f54,34,16, 8,10,40,72,53
mvv,34,15, 7,12,37,57,50
ado,34,14, 7,13,35,68,56
vvv,34,14, 7,13,35,61,59
nac,34,15, 5,14,35,69,70
spr,34,11,12,11,34,63,62
psv,34,13, 6,15,32,73,70
fyn,34,13, 6,15,32,74,76
rpj,34,13, 5,16,31,56,67
blw,34,11, 8,15,30,56,59
ams,34, 9,12,13,30,54,63
nod,34,11, 7,16,29,50,76
elk,34,10, 8,16,28,47,71
grn,34,10, 8,16,28,58,63
dbs,34, 7, 6,21,20,56,96
