club_id,matches,wins,draws,losses,points,goals_scored,goals_against
ajx,34,26, 4, 4,56,122,34
fyn,34,21, 9, 4,51,81,33
spr,34,20, 8, 6,48,50,25
ado,34,18,10, 6,46,70,40
gae,34,17, 6,11,40,57,37
psv,34,13,11,10,37,64,59
sit,34,13, 9,12,35,34,40
dws,34,13, 8,13,34,56,51
grn,34,13, 8,13,34,48,44
xrx,34,13, 8,13,34,47,48
mvv,34, 9,12,13,30,43,59
nac,34,10, 9,15,29,44,50
twn,34, 9,11,14,29,47,62
f54,34, 8, 9,17,25,44,66
dos,34,10, 5,19,25,50,83
tlr,34, 8, 8,18,24,44,68
elk,34, 7, 8,19,22,35,84
wl2,34, 2, 9,23,13,27,80
