club id,matches,wins,draws,losses,points,goals scored,goals against
ajx,34,19,11, 4,49,67,23
psv,34,20, 8, 6,48,94,36
twn,34,16,10, 8,42,48,43
vit,34,15,11, 8,41,49,31
rdj,34,14,13, 7,41,53,39
vol,34,15, 9,10,39,43,38
fst,34,12,14, 8,38,42,35
rkc,34,13,11,10,37,44,46
grn,34,10,15, 9,35,50,46
adh,34,13, 7,14,33,58,63
fyn,34, 9,13,12,31,51,45
spr,34,12, 7,15,31,51,61
wl2,34, 7,13,14,27,42,49
utr,34, 8,11,15,27,27,45
mvv,34, 7,13,14,27,38,61
nec,34, 5,16,13,26,32,55
dbs,34, 6,13,15,25,30,51
hrl,34, 4, 7,23,15,22,74
