club1,club2,dd,result,spectators
nac,rdj,19930814,2-3,-1
gae,vit,19930814,1-4,-1
wl2,mvv,19930814,1-0,-1
hrv,spr,19930814,1-0,-1
twn,vvv,19930815,3-0,-1
grn,psv,19930815,1-2,-1
vol,utr,19930815,2-2,-1
ajx,rkc,19930815,3-0,-1
fyn,cmb,19930815,1-0,-1
cmb,nac,19930821,1-3,-1
psv,gae,19930821,3-0,-1
rkc,twn,19930822,1-3,-1
rdj,vol,19930822,2-0,-1
utr,ajx,19930822,1-4,-1
spr,wl2,19930822,1-0,-1
wl2,vit,19930825,0-3,-1
vol,cmb,19930825,4-1,-1
ajx,spr,19930825,3-0,-1
gae,utr,19930825,4-0,-1
fyn,twn,19930825,1-0,-1
hrv,psv,19930825,0-0,-1
grn,rdj,19930825,3-5,-1
mvv,rkc,19930825,1-1,-1
nac,vvv,19930825,4-1,-1
vvv,vol,19930828,2-0,-1
psv,wl2,19930828,2-1,-1
cmb,grn,19930828,0-2,-1
vit,ajx,19930829,0-1,-1
spr,mvv,19930829,2-2,-1
twn,nac,19930829,0-1,-1
rdj,gae,19930829,2-1,-1
utr,hrv,19930829,0-1,-1
rkc,fyn,19930831,1-2,-1
mvv,ajx,19930901,1-1,-1
utr,grn,19930901,2-0,-1
nac,fyn,19930904,1-2,-1
wl2,utr,19930904,4-1,-1
hrv,rdj,19930904,0-0,-1
gae,cmb,19930904,3-0,-1
mvv,vit,19930904,0-2,-1
grn,vvv,19930905,0-3,-1
spr,rkc,19930905,1-1,-1
vol,twn,19930905,2-5,-1
ajx,psv,19930905,2-0,-1
vvv,gae,19930908,1-0,-1
cmb,hrv,19930908,1-2,-1
fyn,vol,19930908,2-0,-1
vit,spr,19930908,2-0,-1
psv,mvv,19930908,4-2,-1
rkc,nac,19930908,1-0,-1
rdj,wl2,19930908,1-1,-1
hrv,vvv,19930911,1-0,-1
mvv,utr,19930911,2-1,-1
wl2,cmb,19930911,4-1,-1
gae,twn,19930911,3-3,-1
ajx,rdj,19930912,2-0,-1
vol,nac,19930912,1-3,-1
spr,psv,19930912,0-0,-1
vit,rkc,19930912,4-1,-1
grn,fyn,19930912,0-4,-1
twn,grn,19930919,0-1,-1
vit,hrv,19930919,3-0,-1
nac,grn,19930925,2-1,-1
fyn,gae,19930926,1-0,-1
twn,hrv,19930926,2-1,-1
rdj,mvv,19930926,4-1,-1
utr,spr,19930926,3-1,-1
rkc,vol,19930926,1-3,-1
mvv,cmb,19931002,0-0,-1
psv,rkc,19931002,1-1,-1
hrv,fyn,19931002,1-3,-1
wl2,twn,19931002,2-0,-1
gae,nac,19931002,0-0,-1
ajx,vvv,19931003,2-0,-1
vit,utr,19931003,2-2,-1
spr,rdj,19931003,2-0,-1
vvv,vit,19931006,2-1,-1
vvv,mvv,19931016,1-7,-1
nac,hrv,19931016,6-0,-1
cmb,spr,19931016,1-1,-1
fyn,wl2,19931017,2-0,-1
vol,gae,19931017,0-1,-1
rdj,vit,19931017,2-1,-1
twn,ajx,19931017,2-1,-1
utr,psv,19931017,0-4,-1
rkc,grn,19931017,2-3,-1
psv,rdj,19931023,2-0,-1
mvv,twn,19931023,0-2,-1
hrv,vol,19931023,3-1,-1
wl2,nac,19931023,2-0,-1
gae,grn,19931023,3-0,-1
vit,cmb,19931024,2-1,-1
spr,vvv,19931024,2-2,-1
ajx,fyn,19931024,2-2,-1
utr,rkc,19931024,3-1,-1
psv,vit,19931027,0-1,-1
grn,vol,19931027,0-0,-1
vvv,fyn,19931027,1-1,-1
cmb,ajx,19931027,0-3,-1
nac,ajx,19931030,0-5,-1
cmb,psv,19931030,1-3,-1
twn,spr,19931031,0-0,-1
rdj,utr,19931031,4-0,-1
grn,hrv,19931031,2-2,-1
rkc,gae,19931031,1-2,-1
fyn,mvv,19931031,4-0,-1
vol,wl2,19931031,0-3,-1
wl2,grn,19931106,4-1,-1
psv,vvv,19931106,3-2,-1
mvv,nac,19931106,2-1,-1
hrv,gae,19931106,1-4,-1
rdj,rkc,19931107,2-0,-1
utr,cmb,19931107,2-0,-1
vit,twn,19931107,3-0,-1
spr,fyn,19931107,3-4,-1
ajx,vol,19931107,3-1,-1
vvv,wl2,19931113,0-0,-1
nac,spr,19931120,4-3,-1
vvv,utr,19931120,1-1,-1
gae,wl2,19931120,3-0,-1
fyn,vit,19931121,1-1,-1
vol,mvv,19931121,5-0,-1
grn,ajx,19931121,0-4,-1
rkc,hrv,19931121,1-1,-1
psv,fyn,19931127,1-3,-1
wl2,hrv,19931127,1-1,-1
ajx,gae,19931128,4-0,-1
rdj,vvv,19931128,0-0,-1
utr,twn,19931128,1-0,-1
hrv,ajx,19931203,1-4,-1
gae,mvv,19931204,2-2,-1
wl2,rkc,19931204,4-1,-1
vvv,cmb,19931204,1-0,-1
nac,psv,19931204,2-2,-1
twn,rdj,19931205,2-1,-1
grn,spr,19931205,1-4,-1
vol,vit,19931205,2-0,-1
fyn,utr,19931205,1-1,-1
cmb,twn,19931211,1-1,-1
mvv,hrv,19931211,3-1,-1
psv,vol,19931211,3-0,-1
rdj,fyn,19931211,1-0,-1
utr,nac,19931212,0-5,-1
rkc,vvv,19931212,1-2,-1
vit,grn,19931212,4-1,-1
spr,gae,19931212,1-0,-1
ajx,wl2,19931212,3-1,-1
cmb,rdj,19931215,0-1,-1
vvv,twn,19931218,0-0,-1
psv,grn,19931218,1-1,-1
mvv,wl2,19931218,1-0,-1
utr,vol,19931219,3-1,-1
spr,hrv,19931219,3-0,-1
vit,gae,19931219,5-0,-1
cmb,rkc,19940108,1-1,-1
twn,psv,19940109,0-0,-1
vit,nac,19940109,3-1,-1
spr,vol,19940109,4-1,-1
nac,cmb,19940115,2-0,-1
wl2,spr,19940115,5-1,-1
gae,psv,19940115,0-4,-1
hrv,vit,19940115,0-4,-1
twn,rkc,19940116,2-1,-1
grn,utr,19940116,4-1,-1
ajx,mvv,19940116,4-1,-1
fyn,vvv,19940116,5-0,-1
vvv,nac,19940121,1-1,-1
cmb,vol,19940122,3-1,-1
psv,hrv,19940122,1-1,-1
mvv,grn,19940126,2-0,-1
nac,twn,19940129,2-1,-1
hrv,utr,19940129,1-0,-1
mvv,spr,19940129,0-0,-1
gae,rdj,19940129,3-1,-1
vol,vvv,19940130,1-1,-1
wl2,psv,19940130,1-1,-1
ajx,vit,19940130,3-1,-1
fyn,rkc,19940130,1-1,-1
grn,cmb,19940130,2-2,-1
rkc,ajx,19940202,0-3,-1
rdj,nac,19940202,1-2,-1
vvv,grn,19940205,1-3,-1
cmb,gae,19940205,1-0,-1
rdj,hrv,19940206,1-1,-1
twn,vol,19940206,2-0,-1
utr,wl2,19940206,1-1,-1
psv,ajx,19940206,4-1,-1
rkc,spr,19940206,3-1,-1
fyn,nac,19940206,1-1,-1
vit,mvv,19940206,1-3,-1
vit,wl2,19940211,0-1,-1
vol,rdj,19940213,2-0,-1
spr,ajx,19940213,0-1,-1
utr,gae,19940213,2-0,-1
mvv,psv,19940218,2-1,-1
hrv,cmb,19940218,1-2,-1
gae,vvv,19940219,2-0,-1
wl2,rdj,19940219,0-3,-1
nac,rkc,19940219,3-0,-1
grn,twn,19940220,1-1,-1
vol,fyn,19940220,0-1,-1
spr,vit,19940220,4-1,-1
ajx,utr,19940220,3-0,-1
cmb,fyn,19940223,0-0,-1
utr,mvv,19940227,3-0,-1
twn,gae,19940227,1-1,-1
fyn,hrv,19940301,0-0,-1
mvv,rdj,19940305,1-0,-1
wl2,vvv,19940305,3-0,-1
gae,fyn,19940306,1-1,-1
vit,psv,19940306,0-0,-1
spr,utr,19940306,3-2,-1
vol,rkc,19940306,3-1,-1
grn,nac,19940306,0-0,-1
ajx,cmb,19940306,3-2,-1
hrv,twn,19940308,2-2,-1
rkc,mvv,19940309,0-2,1000
rdj,grn,19940309,2-0,-1
