club_id,matches,wins,draws,losses,points,goals_scored,goals_against
psv,34,24, 5, 5,53,78,31
ajx,34,22, 6, 6,50,74,32
twn,34,11,18, 5,40,47,25
fyn,34,15,10, 9,40,66,52
rdj,34,13,12, 9,38,51,38
grn,34,14, 8,12,36,62,51
dbs,34,15, 6,13,36,48,53
fst,34,11,12,11,34,40,37
vol,34,13, 7,14,33,42,51
hrl,34,11,11,12,33,37,50
rkc,34,11, 9,14,31,53,61
spr,34, 9,12,13,30,42,49
utr,34,11, 7,16,29,49,57
mvv,34,10, 9,15,29,41,58
wl2,34, 8,11,15,27,50,68
zwl,34, 8, 9,17,25,48,70
vvv,34, 5,14,15,24,40,62
vnd,34, 8, 8,18,24,37,60
