# empty header
title,Eindstand Eredivisie
fyn,34,25, 7, 2,57, 96,31
psv,34,23, 6, 5,52, 88,32
ajx,34,22, 7, 5,51,100,46
hrl,34,14,13, 7,41, 59,50
az2,34,14, 9,11,37, 64,50
spr,34,12,13, 9,37, 77,63
grn,34,14, 9,11,37, 64,51
utr,34,14, 8,12,36, 64,74
rdj,34,13, 9,12,35, 53,53
dbs,34,11,11,12,33, 48,55
fst,34,11, 9,14,31, 50,55
gae,34,11, 9,14,31, 50,61
exc,34,13, 5,16,31, 56,62
zwl,34,10, 9,15,29, 56,70
vol,34, 9, 8,17,26, 39,68
hlm,34, 4, 8,22,16, 49,92
wl2,34, 5, 7,22,17, 27,74
drd,34, 6, 3,25,15, 35,88
