club1,club2,dd,result,spectators
hrv,grn,19940826,2-0,-1
rdj,twn,19940827,1-1,-1
wl2,nac,19940827,2-0,-1
nec,utr,19940828,2-3,-1
drd,fyn,19940828,1-1,-1
vit,psv,19940828,2-4,-1
vol,gae,19940828,3-0,-1
ajx,rkc,19940828,3-1,-1
spr,fyn,19940831,0-1,-1
psv,gae,19940831,4-1,-1
twn,drd,19940831,2-2,-1
utr,hrv,19940831,4-0,-1
nac,vit,19940831,0-0,-1
rkc,rdj,19940831,1-1,-1
mvv,nec,19940831,1-2,-1
grn,wl2,19940831,3-1,-1
spr,twn,19940910,3-4,-1
hrv,mvv,19940910,0-4,-1
drd,rkc,19940910,0-1,-1
ajx,vit,19940911,5-0,-1
grn,nac,19940911,3-4,-1
gae,fyn,19940911,2-2,-1
nec,vol,19940911,0-0,-1
wl2,utr,19940911,0-1,-1
psv,drd,19940917,4-0,-1
mvv,wl2,19940917,3-0,-1
twn,gae,19940918,3-0,-1
utr,grn,19940918,2-1,-1
vit,rdj,19940918,1-1,-1
rkc,spr,19940918,2-2,-1
vol,hrv,19940918,1-2,-1
wl2,vol,19940921,4-0,-1
grn,mvv,19940921,0-1,-1
spr,psv,19940921,1-1,-1
gae,rkc,19940921,4-2,-1
nec,twn,19940921,0-1,-1
hrv,fyn,19940921,0-4,-1
drd,vit,19940921,0-0,-1
rdj,ajx,19940921,1-1,-1
ajx,drd,19940924,3-0,-1
twn,hrv,19940924,4-3,-1
nac,rdj,19940924,2-4,-1
vit,spr,19940924,2-0,-1
mvv,utr,19940924,3-2,-1
fyn,wl2,19940925,0-2,-1
rkc,nec,19940925,1-3,-1
vol,grn,19940925,1-1,-1
nec,psv,19940930,2-2,-1
mvv,nac,19941001,2-3,-1
wl2,twn,19941001,2-2,-1
gae,vit,19941001,0-0,-1
hrv,rkc,19941001,1-0,-1
drd,rdj,19941001,0-3,-1
spr,ajx,19941002,0-2,-1
grn,fyn,19941002,1-1,-1
utr,vol,19941002,0-0,-1
gae,mvv,19941008,1-1,-1
