club_id,matches,wins,draws,losses,points,goals_scored,goals_against
psv,34,23, 9, 2,55,82,26
fyn,34,23, 7, 4,53,94,29
ajx,34,21, 7, 6,49,76,34
twn,34,17, 8, 9,42,56,35
az6,34,14,12, 8,40,50,32
spr,34, 9,18, 7,36,43,37
tlr,34,11,14, 9,36,42,45
rdj,34,11,10,13,32,50,61
ams,34,10,11,13,31,49,48
adh,34, 7,16,11,30,33,42
mvv,34, 7,14,13,28,43,55
gae,34, 9,10,15,28,40,55
grf,34,10, 8,16,28,32,56
exc,34, 7,12,15,26,32,53
utr,34, 8,10,16,26,40,62
nac,34, 8, 9,17,25,38,62
hrl,34, 7,10,17,24,36,69
wag,34, 7, 9,18,23,39,74
