club1,club2,dd,result,spectators,remark
rdj,hrc,20150808,3-1,13472,
fyn,utr,20150808,3-2,47500,
az1,ajx,20150809,0-3,16673,
wl2,vit,20150809,1-1,11000,
adh,psv,20150811,2-2,13125,2-2 door hakje van keeper Hansen van ADO in blessuretijd.
hrv,grf,20150811,3-1,22100,
grn,twn,20150812,1-1,21241,
pzw,cmb,20150812,2-2,11650,
nec,exc,20150812,1-0,10240,
vit,rdj,20150814,3-0,13212,
grf,pzw,20150815,0-3, 8100,
ajx,wl2,20150815,3-0,48494,
twn,adh,20150815,1-4,24900,
exc,az1,20150815,2-2, 3394,
psv,grn,20150816,2-0,32000,
utr,hrv,20150816,1-1,16364,
cmb,fyn,20150816,0-2,10000,
hrc,nec,20150816,3-0,12084,
grn,exc,20150821,2-0,19277,
rdj,grf,20150822,1-0,13130,
hrv,psv,20150822,1-1,24645,
cmb,hrc,20150822,1-6, 9630,
pzw,twn,20150823,2-1,12123,
nec,ajx,20150823,0-2,12321,
az1,wl2,20150823,0-0,14144,
adh,utr,20150823,1-1,12293,
fyn,vit,20150823,2-0,47500,
wl2,nec,20150828,0-1,12300,
utr,grn,20150829,2-0,14507,
hrv,pzw,20150829,1-1,22763,
exc,grf,20150829,3-0, 3400,
hrc,twn,20150829,2-0,12100,
ajx,adh,20150830,4-0,43578,
az1,rdj,20150830,0-1,14226,
vit,cmb,20150830,4-1,13573,
psv,fyn,20150830,3-1,35000,
grf,az1,20150912,1-3, 8564,
rdj,nec,20150912,0-0,13967,
twn,ajx,20150912,2-2,29000,
cmb,psv,20150912,0-6, 9821,
pzw,exc,20150912,3-0,11800,
grn,hrv,20150913,3-1,21001,
fyn,wl2,20150913,1-0,47500,
adh,hrc,20150913,0-1,10071,
utr,vit,20150913,2-1,16056,
nec,hrv,20150918,2-0,10118,
cmb,twn,20150919,0-0, 9714,
hrc,psv,20150919,2-1,12034,
pzw,adh,20150919,2-1,12150,
wl2,utr,20150919,3-1,11600,
rdj,fyn,20150920,1-1,17142,
exc,ajx,20150920,0-2, 3750,
vit,grf,20150920,3-0,15139,
grn,az1,20150920,2-0,19389,
hrv,vit,20150926,0-0,23984,
utr,cmb,20150926,3-3,16073,
ajx,grn,20150926,2-0,45676,
