club1,club2,dd,result,spectators,remark
psv,nec,20150926,2-1,32500,
az1,hrc,20150926,3-1,13121,
grf,wl2,20150927,2-2, 9183,
fyn,pzw,20150927,2-0,47500,
adh,exc,20150927,3-3,10667,
twn,rdj,20150927,2-1,24700,
hrc,hrv,20151002,2-0,10780,
nec,adh,20151003,4-1,11534,
wl2,pzw,20151003,0-1,11500,
rdj,cmb,20151003,1-1,14489,
exc,utr,20151003,1-0, 3430,
grf,fyn,20151004,1-2,12145,
ajx,psv,20151004,1-2,51154,
vit,grn,20151004,5-0,16185,
az1,twn,20151004,3-1,13711,
grn,wl2,20151017,2-1,21787,
cmb,az1,20151017,1-1, 9666,
hrc,ajx,20151017,0-2,12080,
psv,exc,20151017,1-1,32800,
utr,rdj,20151017,1-1,15779,
twn,nec,20151018,1-0,24500,
hrv,fyn,20151018,2-5,25350,
adh,grf,20151018,1-1,10512,
pzw,vit,20151018,1-5,12250,
pzw,utr,20151023,1-2,12300,
wl2,hrv,20151024,2-2,13500,
twn,psv,20151024,1-3,25500,
grf,hrc,20151024,0-1,10362,
rdj,exc,20151024,1-2,13907,
cmb,adh,20151025,1-1, 9519,
vit,ajx,20151025,1-3,21163,
nec,grn,20151025,1-1,11630,
fyn,az1,20151025,3-1,47500,
hrc,wl2,20151020,2-1,11123,
grn,pzw,20151021,2-0,21565,
ajx,rdj,20151021,6-0,50681,
exc,vit,20151021,0-3, 3600,
grf,psv,20151021,3-6,11163,
adh,fyn,20151101,1-0,14261,
utr,twn,20151101,4-2,17034,
hrv,cmb,20151101,2-0,26100,
az1,nec,20151101,2-4,15555,
rdj,adh,20151106,1-1,14182,
twn,hrv,20151107,1-4,25600,
nec,grf,20151107,2-0,11673,
wl2,exc,20151107,2-3,11200,
pzw,hrc,20151107,1-1,12420,
psv,utr,20151108,3-1,34100,
fyn,ajx,20151108,1-1,47500,
cmb,grn,20151108,2-2, 9813,
vit,az1,20151108,0-2,15327,
az1,hrv,20151121,3-1,15521,
rdj,pzw,20151121,0-5,14378,
ajx,cmb,20151121,5-1,47932,
wl2,psv,20151121,2-2,14112,
grf,grn,20151121,1-2,10083,
hrc,exc,20151122,0-0,11721,
fyn,twn,20151122,5-0,47500,
nec,utr,20151122,1-0,11509,
adh,vit,20151122,2-2,12133,
cmb,grf,20151127,2-3,10000,
hrv,rdj,20151128,3-0,22850,
exc,fyn,20151128,2-4, 3750,
twn,wl2,20151128,1-3,24100,
vit,nec,20151129,1-0,19212,
pzw,ajx,20151129,0-2,12500,
grn,adh,20151129,2-1,19480,
utr,hrc,20151129,4-2,18144,
psv,az1,20151129,3-0,33000,
az1,adh,20151204,0-1,13743,
exc,twn,20151205,1-1, 3400,
vit,psv,20151205,0-1,16879,
grf,utr,20151205,0-1,10175,
ajx,hrv,20151205,5-2,47544,
wl2,cmb,20151206,3-0,12050,
fyn,hrc,20151206,3-0,47500,
nec,pzw,20151206,2-2,10503,
rdj,grn,20151206,0-0,13171,
hrv,exc,20151211,2-1,22150,
adh,wl2,20151212,1-1,11703,
psv,rdj,20151212,1-1,33700,
cmb,nec,20151212,3-1, 9718,
twn,grf,20151212,2-1,25100,
utr,ajx,20151213,1-0,14100,
grn,fyn,20151213,1-1,22091,
pzw,az1,20151213,2-1,12120,
hrc,vit,20151213,1-1,10821,
vit,twn,20151218,5-1,15987,
az1,utr,20151219,2-2,15756,
psv,pzw,20151219,3-2,34000,
hrc,grn,20151219,2-1,10622,
exc,cmb,20151220,1-4, 3750,
wl2,rdj,20151220,3-2,13000,
nec,fyn,20151220,3-1,12500,
hrv,adh,20151220,0-4,23122,
ajx,grf,20151220,2-1,50882,
twn,hrc,20160115,4-0,28900,
cmb,vit,20160116,0-2, 9508,
pzw,hrv,20160116,5-2,12320,
rdj,az1,20160116,0-1,13516,
grf,exc,20160116,2-0,10253,
adh,ajx,20160117,0-1,14561,
fyn,psv,20160117,0-2,47500,
grn,utr,20160117,1-4,20545,
nec,wl2,20160117,1-0,11682,
grn,nec,20160122,0-0,20163,
hrc,grf,20160123,2-1,10451,
ajx,vit,20160123,1-0,48533,
exc,rdj,20160123,0-1, 3500,
hrv,wl2,20160123,3-1,22150,
az1,fyn,20160124,4-2,15217,
psv,twn,20160124,4-2,33000,
utr,pzw,20160124,1-0,21715,
adh,cmb,20160124,2-1,10342,
wl2,grn,20160126,1-1,12000,
ajx,hrc,20160126,0-0,44517,
az1,cmb,20160127,3-1,14017,
nec,twn,20160127,2-0,10958,
grf,adh,20160127,3-1, 9763,
exc,psv,20160127,1-3, 3700,
vit,pzw,20160127,1-1,14876,
rdj,utr,20160128,1-0,13605,
fyn,hrv,20160128,1-2,47500,
wl2,hrc,20160129,0-0,13100,
vit,exc,20160130,0-0,20112,
psv,grf,20160130,4-2,32500,
pzw,grn,20160130,1-3,12225,
nec,az1,20160130,0-3,12130,
rdj,ajx,20160131,2-2,17465,
fyn,adh,20160131,0-2,47500,
cmb,hrv,20160131,0-1,10000,
twn,utr,20160131,3-1,24400,
exc,wl2,20160205,0-0, 3500,
adh,rdj,20160206,2-2,11349,
hrv,twn,20160206,1-3,23125,
az1,vit,20160206,1-0,15006,
hrc,pzw,20160206,2-0,10543,
ajx,fyn,20160207,2-1,51875,
grn,cmb,20160207,2-0,20743,
grf,nec,20160207,1-1,10123,
utr,psv,20160207,0-2,19224,
cmb,utr,20160212,0-2, 9710,
hrc,az1,20160213,3-6,11096,
rdj,twn,20160213,0-1,15012,
wl2,grf,20160213,0-0,12000,
vit,hrv,20160213,3-0,15234,
grn,ajx,20160214,1-2,22107,
pzw,fyn,20160214,3-1,12500,
exc,adh,20160214,2-4, 3519,
nec,psv,20160214,0-3,12353,
adh,pzw,20160219,0-2,11784,
az1,grn,20160220,4-1,16325,
psv,hrc,20160220,2-0,33400,
hrv,nec,20160220,1-1,22412,
twn,cmb,20160220,3-0,25200,
grf,vit,20160221,2-2,12218,
ajx,exc,20160221,3-0,48800,
utr,wl2,20160221,2-1,17398,
fyn,rdj,20160221,1-1,47500,
exc,nec,20160226,2-0, 3523,
twn,grn,20160227,2-0,25200,
psv,adh,20160227,2-0,33500,
cmb,pzw,20160227,1-0, 9775,
vit,wl2,20160227,0-1,15987,
hrc,rdj,20160228,0-5,10055,
utr,fyn,20160228,1-2,18512,
grf,hrv,20160228,0-1,12314,
ajx,az1,20160228,4-1,51313,
adh,twn,20160304,2-1,13128,
grn,psv,20160305,0-3,21983,
pzw,grf,20160305,2-1,12250,
hrv,utr,20160305,0-4,21300,
wl2,ajx,20160306,0-4,14500,
fyn,cmb,20160306,3-1,47500,
az1,exc,20160306,2-0,15050,
rdj,vit,20160306,1-2,15184,
nec,hrc,20160306,1-0,12438,
grf,rdj,20160311,3-0,12032,
twn,pzw,20160312,2-1,27200,
psv,hrv,20160312,1-1,34100,
wl2,az1,20160312,0-2,12000,
exc,grn,20160312,2-1, 3605,
utr,adh,20160313,2-2,14164,
vit,fyn,20160313,0-2,18834,
hrc,cmb,20160313,3-1,10627,
ajx,nec,20160313,2-2,50168,
utr,exc,20160318,2-1,16081,
hrv,hrc,20160319,0-1,24500,
fyn,grf,20160319,3-1,47000,
pzw,wl2,20160319,4-1,12185,
cmb,rdj,20160319,0-1, 9762,
twn,az1,20160320,2-2,25800,
grn,vit,20160320,0-3,21331,
adh,nec,20160320,1-0,10784,
psv,ajx,20160320,0-2,35000,
hrc,utr,20160402,1-1,12011,
grf,cmb,20160402,2-2,12600,
az1,psv,20160402,2-4,17052,
fyn,exc,20160402,3-0,46500,
wl2,twn,20160402,2-3,13110,
nec,vit,20160403,2-1,12500,
adh,grn,20160403,0-1,11891,
rdj,hrv,20160403,1-2,15259,
ajx,pzw,20160403,3-0,51862,
twn,straf,pnt,3,,
pzw,rdj,20160408,3-1,12500,
exc,hrc,20160409,1-3, 3750,
cmb,ajx,20160409,0-1,10000,
vit,adh,20160409,2-2,16298,
psv,wl2,20160409,2-0,34500,
hrv,az1,20160410,4-2,23100,
utr,nec,20160410,3-1,18729,
grn,grf,20160410,3-1,22425,
twn,fyn,20160410,0-1,27600,
grf,twn,20160415,1-1,12600,
vit,hrc,20160416,1-1,21231,
fyn,grn,20160416,1-1,47500,
az1,pzw,20160416,5-1,16341,
rdj,psv,20160416,0-3,17159,
ajx,utr,20160417,2-2,51768,
nec,cmb,20160417,2-1,12334,
wl2,adh,20160417,0-2,13100,
exc,hrv,20160417,1-1, 3750,
grn,rdj,20160419,1-0,20798,
psv,vit,20160419,2-0,34000,
utr,grf,20160420,0-2,19431,
pzw,nec,20160420,2-0,12352,
hrc,fyn,20160420,2-2,12024,
hrv,ajx,20160420,0-2,25950,
twn,exc,20160420,2-0,24500,
adh,az1,20160421,1-2,13128,
cmb,wl2,20160421,1-1, 9600,
ajx,twn,20160501,4-0,51727,
psv,cmb,20160501,6-2,34000,
wl2,fyn,20160501,0-1,13670,
az1,grf,20160501,4-1,16799,
vit,utr,20160501,1-3,18121,
hrc,adh,20160501,1-1,11681,
exc,pzw,20160501,2-2, 3750,
nec,rdj,20160501,1-2,12145,
hrv,grn,20160501,1-2,25385,
pzw,psv,20160508,1-3,12500,
grf,ajx,20160508,1-1,12600,
rdj,wl2,20160508,2-3,16805,
fyn,nec,20160508,1-0,47500,
grn,hrc,20160508,2-1,22206,
adh,hrv,20160508,1-1,12753,
utr,az1,20160508,1-3,20792,
twn,vit,20160508,2-2,26500,
cmb,exc,20160508,0-2, 8650,
