# empty header
adh,hrc,20090117,2,2, 8000
nac,utr,20090117,1,1,16000
rdj,psv,20090118,1,1,16800
nec,ajx,20090118,2,4,12500
spr,grn,20090118,1,1,10458
vol,az1,20090118,0,2, 6256
hrv,rdj,20090124,2,0,25300
psv,nac,20090124,2,2,32500
az1,grf,20090124,2,0,16276
fyn,wl2,20090124,1,1,44250
vit,nec,20090125,0,0,18166
grn,ajx,20090125,1,0,22230
utr,spr,20090125,3,3,20000
vol,adh,20090125,0,1, 4855
hrc,twn,20090125,1,2, 8500
rdj,hrc,20090130,3,1,13840
adh,grn,20090131,0,1, 9354
nac,vol,20090131,1,1,16760
wl2,vit,20090131,0,2,13300
ajx,hrv,20090131,0,1,50333
twn,utr,20090201,0,0,23250
nec,fyn,20090201,1,0,12500
spr,az1,20090201,0,2,10832
grf,psv,20090201,0,3,12500
vit,hrv,20090203,1,0,17563
wl2,vol,20090203,1,2,12500
ajx,hrc,20090203,2,2,46355
twn,nac,20090204,4,1,22613
fyn,spr,20090204,1,0,45000
utr,grf,20090204,3,0,19500
az1,rdj,20090204,1,0,16161
grn,nec,20090204,2,0,21700
psv,adh,20090205,6,0,32000
rdj,spr,20090207,0,1,13170
hrv,nac,20090207,3,1,25800
az1,wl2,20090207,3,1,16255
hrc,nec,20090207,1,1, 8500
utr,adh,20090208,3,1,19000
vit,ajx,20090208,4,1,21775
fyn,grn,20090208,0,0,43000
vol,psv,20090208,3,5, 5333
grf,twn,20090208,2,2,12200
wl2,utr,20090213,0,2,13000
adh,grf,20090214,1,0, 9223
psv,az1,20090214,2,2,35000
twn,vol,20090214,2,1,23200
nac,rdj,20090214,1,0,16664
ajx,fyn,20090215,2,0,50136
grn,hrc,20090215,2,0,21885
nec,hrv,20090215,1,1,12300
spr,vit,20090215,0,0,10498
vit,rdj,20090220,3,0,16102
hrv,wl2,20090221,3,1,25800
hrc,az1,20090221,0,2, 8500
adh,nac,20090221,1,1,10200
grn,psv,20090221,0,1,22157
spr,twn,20090222,1,2,10145
utr,nec,20090222,0,2,20300
grf,fyn,20090222,0,2,12600
ajx,vol,20090222,2,1,49749
psv,hrv,20090227,2,3,34000
wl2,hrc,20090228,0,3,13500
nac,spr,20090228,3,1,17254
rdj,grf,20090228,3,1,12900
az1,grn,20090228,3,0,16614
utr,ajx,20090301,0,2,24000
fyn,vit,20090301,2,2,46000
twn,adh,20090301,1,0,22600
vol,nec,20090301,1,1, 5384
spr,wl2,20090306,0,1,10450
hrv,grn,20090307,2,1,26100
grf,hrc,20090307,1,0,12000
adh,ajx,20090308,1,1,14000
nac,fyn,20090308,1,2,17254
nec,az1,20090308,0,1,12500
rdj,utr,20090308,0,0,13200
vol,vit,20090308,1,0, 5291
twn,psv,20090308,1,1,23500
grn,rdj,20090313,2,0,22032
vit,nac,20090314,0,3,24076
hrv,spr,20090314,5,1,25000
wl2,twn,20090314,0,2,13700
hrc,vol,20090314,1,1, 8500
fyn,psv,20090315,1,0,42500
ajx,grf,20090315,3,0,49587
utr,az1,20090315,0,1,23200
adh,nec,20090315,3,0,10800
grf,hrv,20090320,2,0,12200
nec,wl2,20090321,0,0,12200
psv,vit,20090321,2,0,33000
spr,hrc,20090321,1,0,10212
rdj,adh,20090322,2,0,13400
nac,ajx,20090322,0,3,17254
twn,grn,20090322,2,1,23250
vol,utr,20090322,0,0, 5972
az1,fyn,20090322,0,0,17067
nec,twn,20090403,1,1,12500
utr,grn,20090404,0,1,20000
az1,adh,20090404,4,1,16767
hrc,hrv,20090404,1,1, 8500
spr,psv,20090404,0,2,10756
rdj,ajx,20090405,1,2,17970
vit,grf,20090405,0,0,19610
vol,fyn,20090405,2,1, 6002
wl2,nac,20090405,2,0,14700
nac,az1,20090410,0,1,17254
grf,nec,20090411,2,2,12600
psv,utr,20090411,2,0,33000
adh,spr,20090411,1,2,10000
twn,rdj,20090411,4,2,23900
fyn,hrc,20090412,5,1,45000
grn,vit,20090412,2,3,21811
hrv,vol,20090412,1,0,25900
ajx,wl2,20090412,7,0,51038
hrc,nac,20090417,4,0, 8375
nec,rdj,20090418,1,1,12400
grf,grn,20090418,0,1,12200
fyn,twn,20090418,1,0,45000
az1,vit,20090418,1,2,16629
psv,ajx,20090419,6,2,35000,ongepland wordt dit de kampioenswedstrijd voor AZ
utr,hrv,20090419,2,1,20000
vol,spr,20090419,3,0, 6093
wl2,adh,20090419,3,3,13400
spr,grf,20090424,0,0,10598
rdj,vol,20090425,1,1,17400
hrv,twn,20090425,1,1,26000
nec,nac,20090425,2,3,12250
hrc,psv,20090425,0,2, 8500
adh,fyn,20090426,2,3,14993
ajx,az1,20090426,1,1,51128
grn,wl2,20090426,0,0,21737
vit,utr,20090426,6,1,16975
twn,az1,20090503,3,0,23800
utr,fyn,20090503,2,2,23500
vol,grn,20090503,0,1, 5917
nac,grf,20090503,0,1,16814
psv,nec,20090503,1,1,33500
rdj,wl2,20090503,0,1,15914
hrv,adh,20090503,2,2,25800
spr,ajx,20090503,4,0,10894,3 dagen later neemt Ajax-coach Marco van Basten ontslag
vit,hrc,20090503,1,0,18333
adh,vit,20090510,3,1,14993
ajx,twn,20090510,1,0,50518
az1,hrv,20090510,3,1,16712
grf,vol,20090510,2,2,12600
grn,nac,20090510,1,0,21752
fyn,rdj,20090510,2,3,45000
hrc,utr,20090510,1,1, 8500
nec,spr,20090510,1,1,12300
wl2,psv,20090510,0,3,14500
