club1,club2,dd,result,spectators
pzw,utr,20140808,2-0,12050
hrv,drd,20140809,1-2,22900
cmb,twn,20140809,1-1, 9669
nac,exc,20140809,1-1,18100
hrc,az1,20140809,0-3, 8315
adh,fyn,20140810,0-1,11716
ajx,vit,20140810,4-1,48494
gae,grn,20140810,2-3, 7934
wl2,psv,20140810,1-3,11750
fyn,hrv,20140815,1-1,42500
psv,nac,20140816,6-1,30600
twn,adh,20140816,2-2,28500
drd,pzw,20140816,1-2, 3642
vit,cmb,20140816,2-2,13597
az1,ajx,20140817,1-3,16011
utr,wl2,20140817,2-1,16123
exc,gae,20140817,3-2, 3213
grn,hrc,20140817,3-1,19324
hrc,cmb,20140822,0-1, 8203
gae,drd,20140823,0-0, 7778
hrv,exc,20140823,2-0,23300
wl2,az1,20140823,3-0, 9500
ajx,psv,20140824,1-3,51513
fyn,utr,20140824,1-2,42500
nac,twn,20140824,1-1,17700
adh,grn,20140824,3-0,10214
pzw,vit,20140824,2-1,12012
gae,wl2,20140829,1-0, 7883
cmb,adh,20140830,3-2, 9279
exc,hrc,20140830,3-1, 3149
drd,az1,20140830,1-3, 4235
hrv,utr,20140830,3-1,22900
psv,vit,20140831,2-0,32000
grn,ajx,20140831,2-0,21740
nac,pzw,20140831,3-1,18200
twn,fyn,20140831,0-0,28900
ajx,hrc,20140913,2-1,47408
twn,gae,20140913,2-1,27500
az1,hrv,20140913,0-1,15398
fyn,wl2,20140913,1-2,43627
pzw,psv,20140913,3-1,12347
utr,adh,20140914,0-0,14910
vit,exc,20140914,3-1,14234
cmb,grn,20140914,3-0, 9600
drd,nac,20140914,0-1, 3982
wl2,nac,20140919,2-1,13602
exc,drd,20140920,1-1, 3541
adh,gae,20140920,1-1,10367
vit,hrv,20140920,1-1,15213
fyn,ajx,20140921,0-1,47000
hrc,twn,20140921,1-4, 8422
psv,cmb,20140921,4-0,30200
az1,pzw,20140921,1-0,14748
utr,grn,20140921,1-0,14503
drd,vit,20140927,2-6, 3862
nac,ajx,20140927,2-5,18900
pzw,hrc,20140927,4-2,12350
gae,fyn,20140927,0-4, 7978
adh,az1,20140927,2-3,10678
exc,cmb,20140928,1-1, 3227
twn,utr,20140928,3-1,27500
grn,wl2,20140928,1-0,18811
hrv,psv,20140928,1-0,25632
vit,adh,20141003,6-1,13231
hrc,nac,20141004,6-1, 8149
wl2,hrv,20141004,2-1,10750
cmb,drd,20141004,4-1, 9641
utr,gae,20141004,2-3,15397
psv,exc,20141005,3-0,30600
fyn,grn,20141005,4-0,44000
az1,twn,20141005,2-2,15333
ajx,pzw,20141005,0-0,49892
psv,az1,20141018,3-0,31400
wl2,vit,20141018,1-4,10900
fyn,hrc,20141018,2-1,44500
twn,ajx,20141018,1-1,30000
nac,adh,20141018,1-1,18200
hrv,cmb,20141019,2-2,26100
gae,pzw,20141019,3-2, 7907
drd,utr,20141019,1-3, 3664
grn,exc,20141019,1-1,18821
adh,drd,20141024,2-0,11023
vit,nac,20141025,2-2,17239
hrc,wl2,20141025,1-3, 8500
az1,grn,20141025,2-2,15019
ajx,gae,20141025,3-1,49446
cmb,fyn,20141026,0-1,10000
utr,psv,20141026,1-5,18140
pzw,hrv,20141026,2-2,12400
exc,twn,20141026,2-1, 3600
ajx,drd,20141101,4-0,50760
fyn,pzw,20141101,2-0,47500
twn,hrv,20141101,2-0,29400
psv,adh,20141101,1-0,30800
utr,vit,20141102,3-1,16079
gae,hrc,20141102,1-3, 7978
az1,exc,20141102,3-3,15236
wl2,cmb,20141102,1-1,11095
grn,nac,20141102,1-0,21137
exc,utr,20141107,2-2, 3600
adh,wl2,20141108,3-2,13139
hrv,gae,20141108,2-2,22000
pzw,grn,20141108,2-0,12420
nac,az1,20141108,0-1,17700
cmb,ajx,20141109,2-4,10000
vit,fyn,20141109,0-0,17438
drd,twn,20141109,0-4, 3678
hrc,psv,20141109,1-2, 8437
az1,vit,20141122,1-0,15517
gae,nac,20141122,2-0, 7978
fyn,drd,20141122,2-0,46000
ajx,hrv,20141122,4-1,50946
wl2,exc,20141122,1-1,10850
grn,psv,20141123,1-1,20690
pzw,twn,20141123,1-2,12500
hrc,adh,20141123,3-1, 8239
