club1,club2,dd,result,spectators
rbc,zwl,20020816,1-1, 4750
twn,wl2,20020817,0-2,13200
exc,psv,20020817,0-2, 3400
nac,rdj,20020817,2-2,13104
az1,hrv,20020817,3-3, 7025
grn,vit,20020818,1-2,11558
ajx,utr,20020818,3-1,34434
fyn,nec,20020818,2-0,40000
rkc,grf,20020818,4-2, 5500
nec,az1,20020823,2-0,11000
grf,rbc,20020824,2-0,11000
hrv,rkc,20020824,1-2,14200
psv,grn,20020824,1-0,30500
rdj,fyn,20020824,2-2,14000
zwl,exc,20020824,1-1, 5850
twn,utr,20020825,1-1,13300
vit,ajx,20020825,1-2,24200
wl2,nac,20020825,1-1,13910
rkc,twn,20020830,3-2, 6300
nac,nec,20020831,0-0,13440
zwl,vit,20020831,1-0, 5450
rdj,wl2,20020831,1-0,13000
grn,ajx,20020901,1-3,12400
rbc,hrv,20020901,3-0, 5000
fyn,exc,20020910,4-1,43100
az1,psv,20020910,0-4, 7480
utr,grf,20020910,4-0,18000
vit,rbc,20020913,3-0,21600
psv,rkc,20020914,4-0,32000
hrv,nac,20020914,0-2,14300
wl2,utr,20020914,2-0,13400
exc,grn,20020914,4-2, 3142
ajx,zwl,20020914,2-0,49003
twn,fyn,20020914,1-5,13250
grf,az1,20020915,1-2,10100
nec,rdj,20020915,2-4,11000
nac,twn,20020920,2-0,13246
exc,az1,20020920,1-2, 3135
zwl,psv,20020921,1-3, 6865
rbc,ajx,20020921,2-3, 5000
wl2,nec,20020921,1-1,13000
fyn,grf,20020921,2-0,43500
rdj,hrv,20020922,1-0,13250
vit,rkc,20020922,1-1,21812
grn,utr,20020922,0-0,11086
az1,grn,20020927,4-1, 6758
wl2,zwl,20020928,5-2,12700
rbc,fyn,20020928,4-2, 5000
psv,grf,20020928,4-0,30000
twn,rdj,20020928,3-3,13250
ajx,nac,20020929,2-2,45952
rkc,exc,20020929,0-3, 7200
utr,vit,20020929,1-0,15331
nec,hrv,20020929,4-2,11000
nec,grn,20021002,2-0,10500
rkc,zwl,20021004,0-2, 4500
nac,psv,20021005,2-2,15259
rdj,exc,20021005,2-3,13000
grf,twn,20021005,0-1,11000
fyn,ajx,20021006,1-2,42200
az1,vit,20021006,1-3, 6972
hrv,wl2,20021006,1-1,14200
utr,rbc,20021006,2-2,15000
grf,nec,20021018,1-3,11000
ajx,az1,20021019,6-2,47481
psv,rdj,20021019,0-0,31000
vit,fyn,20021019,1-1,26000
wl2,rbc,20021019,3-1,13500
twn,hrv,20021019,1-1,13250
exc,utr,20021020,1-1, 3000
grn,rkc,20021020,2-3,11500
zwl,nac,20021020,0-3, 6250
nac,vit,20021025,0-0,14858
rkc,ajx,20021026,1-1, 7300
rdj,grf,20021026,5-0,13000
hrv,exc,20021026,2-0,14200
az1,twn,20021026,1-2, 6934
nec,psv,20021026,0-5,12250
fyn,wl2,20021026,5-1,44000
rbc,grn,20021112,2-0, 5000
utr,zwl,20021113,2-0,14700
vit,rdj,20021022,0-2,22000
zwl,az1,20021101,5-1, 5000
hrv,grf,20021102,3-1,14200
rbc,rkc,20021102,0-0, 5000
exc,nec,20021102,0-0, 3356
twn,psv,20021102,0-0,13500
grn,fyn,20021103,0-2,12800
utr,nac,20021103,1-0,14500
ajx,wl2,20021103,3-0,48248
rdj,ajx,20021108,1-1,17500
psv,hrv,20021109,3-1,33500
nac,grn,20021109,0-0,13874
grf,exc,20021109,1-1,10400
wl2,vit,20021109,1-3,13400
az1,rbc,20021109,2-0, 6823
nec,twn,20021110,1-2,10500
fyn,zwl,20021110,2-0,44000
rkc,utr,20021110,0-1, 6000
wl2,rkc,20021115,0-1,13800
grn,grf,20021116,3-1,12500
psv,fyn,20021117,1-2,35200
exc,nac,20021117,0-3, 2948
utr,az1,20021117,2-2,16800
ajx,nec,20021117,6-0,46084
vit,hrv,20021117,1-2,25000
rbc,rdj,20021117,4-0, 5000
zwl,twn,20021117,1-1, 6350
exc,wl2,20021122,0-3, 3000
grf,nac,20021123,3-2,11000
hrv,ajx,20021123,0-3,14400
rdj,az1,20021123,1-3,13500
rbc,psv,20021123,0-3, 5000
rkc,fyn,20021123,1-0, 8200
twn,vit,20021123,1-0,13400
zwl,grn,20021124,0-2, 6250
utr,nec,20021124,3-2,17600
rdj,zwl,20021129,2-0,14000
nac,rbc,20021130,1-0,14872
psv,wl2,20021130,2-1,33400
az1,rkc,20021130,2-0, 7551
fyn,utr,20021201,2-1,44000
grn,hrv,20021201,1-1,12000
ajx,twn,20021201,2-1,47044
vit,grf,20021201,1-1,22500
rbc,exc,20021206,1-1, 4750
wl2,az1,20021207,3-1,12700
grf,ajx,20021207,1-1,11000
hrv,fyn,20021207,3-1,14400
utr,psv,20021208,1-3,18500
nec,vit,20021208,2-0,11000
twn,grn,20021208,0-0,13100
rkc,rdj,20021208,2-1, 6000
grn,rdj,20021213,3-2,11600
grf,wl2,20021214,1-1,10400
exc,twn,20021214,2-2, 2794
zwl,nec,20021214,0-0, 6100
nac,rkc,20021214,1-0,13885
ajx,psv,20021215,2-4,49871
fyn,az1,20021215,6-1,42000
hrv,utr,20021215,2-2,14400
nec,rbc,20021217,3-0,10000
hrv,zwl,20021218,2-0,14200
vit,exc,20021218,1-2,21000
rdj,utr,20021220,1-0,12500
twn,rbc,20021220,3-0,13200
wl2,grn,20021221,1-0,12850
psv,vit,20021221,1-0,33500
grf,zwl,20021221,3-2,10900
nec,rkc,20021221,0-0,10000
nac,fyn,20021222,1-1,15340
exc,ajx,20021222,0-2, 3687
psv,rbc,20030131,3-0,33000
nac,hrv,20030201,1-1,12123
az1,nec,20030201,0-0, 6969
fyn,twn,20030202,4-2,42000
rkc,grn,20030202,1-0, 5950
wl2,ajx,20030202,0-6,14700
vit,zwl,20030219,2-1,21000
exc,rdj,20030219,0-2, 2258
grf,utr,20030312,1-0,11000
zwl,wl2,20030207,0-3, 4500
rbc,grf,20030208,1-0, 5000
hrv,az1,20030208,5-0,14300
rkc,psv,20030208,0-1, 8000
rdj,vit,20030208,2-0,12000
ajx,fyn,20030209,1-1,50777
nec,nac,20030209,2-0,10650
utr,exc,20030209,2-2,15500
grn,twn,20030209,0-0,11790
rbc,utr,20030214,0-1, 5000
psv,zwl,20030215,6-0,33000
ajx,grn,20030215,2-1,47215
wl2,rdj,20030215,5-0,13250
nac,exc,20030215,2-1,12153
az1,fyn,20030215,1-4, 8072
rkc,vit,20030216,1-0, 6249
twn,nec,20030216,1-2,13250
grf,hrv,20030216,1-5,11000
az1,nac,20030219,3-1, 7152
nec,grf,20030221,1-0,11250
exc,rbc,20030222,1-2, 2638
rdj,twn,20030222,2-0,12500
psv,nac,20030222,1-0,33500
vit,az1,20030222,2-2,22500
utr,ajx,20030223,1-0,18925
zwl,rkc,20030223,2-1, 4168
fyn,grn,20030223,4-1,44000
nec,wl2,20030225,1-0,10250
utr,hrv,20030226,2-2,16300
grf,rdj,20030228,1-1,10500
rbc,wl2,20030228,1-0, 5000
exc,rkc,20030301,1-2, 2368
hrv,psv,20030301,0-1,13500
twn,az1,20030301,0-0,13000
ajx,vit,20030302,2-0,48162
grn,zwl,20030302,4-0,11829
fyn,nac,20030302,2-1,40100
az1,rdj,20030307,1-0, 6871
wl2,twn,20030308,1-2,13500
psv,nec,20030308,2-1,34000
exc,fyn,20030308,2-6, 3768
nac,grf,20030308,1-0,13024
zwl,ajx,20030308,0-5, 5000
rkc,hrv,20030309,3-0, 6212
vit,utr,20030309,1-4,22800
grn,rbc,20030309,1-0,11934
rdj,nac,20030315,0-0,13300
grf,rkc,20030315,2-4,10500
zwl,rbc,20030315,1-1, 6350
hrv,twn,20030315,3-0,14400
vit,psv,20030315,0-5,23900
nec,fyn,20030316,1-2,12500
grn,wl2,20030316,1-1,12460
az1,utr,20030316,2-0, 7103
ajx,exc,20030316,2-1,47192
exc,zwl,20030321,0-1, 2864
fyn,hrv,20030322,5-0,46200
