club_id,matches,wins,draws,losses,points,goals_scored,goals_against
psv,30,17, 8, 5,42,67,38
ajx,30,17, 5, 8,39,73,41
spr,30,17, 5, 8,39,60,38
fyn,30,14, 9, 7,37,58,40
ens,30,12, 9, 9,33,58,46
nac,30,11,10, 9,32,51,48
dos,30,13, 6,11,32,37,44
grn,30,12, 6,12,30,52,47
mvv,30,11, 7,12,29,45,49
ado,30, 9,10,11,28,41,36
blw,30,12, 4,14,28,48,56
f54,30,12, 4,14,28,44,54
vol,30, 8,11,11,27,50,53
hrc,30, 9, 8,13,26,54,62
wl2,30, 7, 8,15,22,53,68
vlw,30, 2, 4,24, 8,31,102
