club1,club2,dd,result,spectators
fst,psv,19950818,1-3,-1
wl2,spr,19950819,6-0,-1
gae,grn,19950819,2-2,-1
rdj,hrv,19950819,2-2,-1
vol,twn,19950820,1-3,-1
ajx,utr,19950820,4-0,-1
grf,nec,19950820,2-3,-1
fyn,vit,19950820,5-2,-1
rkc,nac,19950820,2-2,-1
grn,fst,19950823,2-0,-1
nec,ajx,19950825,0-6,-1
hrv,rkc,19950826,2-1,-1
gae,wl2,19950826,0-2,-1
twn,fyn,19950827,2-2,-1
vit,rdj,19950827,0-0,-1
spr,grf,19950827,4-1,-1
nac,psv,19950827,3-0,-1
utr,vol,19950827,2-2,-1
rkc,vit,19950909,0-2,-1
wl2,fst,19950909,4-0,-1
psv,hrv,19950909,5-1,-1
rdj,twn,19950909,0-0,-1
nec,utr,19950909,2-0,-1
ajx,spr,19950910,4-0,-1
fyn,vol,19950910,5-1,-1
grf,gae,19950910,3-2,-1
grn,nac,19950912,3-1,-1
hrv,grn,19950829,1-0,-1
spr,nec,19950915,3-1,-1
vit,psv,19950916,0-1,-1
nac,wl2,19950916,0-1,-1
fst,grf,19950916,1-0,-1
vol,rdj,19950917,1-0,-1
twn,rkc,19950917,0-1,-1
gae,ajx,19950917,0-4,-1
utr,fyn,19950917,1-0,-1
grf,nac,19950919,1-1,-1
rkc,vol,19950920,2-0,-1
grn,vit,19950920,2-0,-1
spr,utr,19950920,0-0,-1
nec,gae,19950920,0-2,-1
rdj,fyn,19950920,1-1,-1
psv,twn,19950920,3-0,-1
ajx,fst,19950920,4-0,-1
wl2,hrv,19950920,1-1,-1
gae,spr,19950923,1-3,-1
hrv,grf,19950923,2-2,-1
vol,psv,19950923,0-5,-1
fst,nec,19950923,1-1,-1
utr,rdj,19950923,0-1,-1
fyn,rkc,19950924,4-2,-1
twn,grn,19950924,2-2,-1
vit,wl2,19950924,2-2,-1
nac,ajx,19950924,0-1,-1
wl2,twn,19950929,5-2,-1
nec,nac,19950930,1-3,-1
gae,utr,19950930,2-3,-1
grf,vit,19951001,2-3,-1
hrv,ajx,19951001,0-4,-1
rkc,rdj,19951001,2-0,-1
spr,fst,19951001,0-1,-1
grn,vol,19951001,2-1,-1
psv,fyn,19951001,3-0,-1
vol,wl2,19951004,0-0,-1
grf,twn,19951004,0-3,-1
nec,hrv,19951004,1-3,-1
nac,spr,19951004,0-0,-1
rkc,utr,19951004,1-0,-1
ajx,vit,19951004,3-0,-1
fst,gae,19951004,2-2,-1
rdj,psv,19951004,1-1,-1
fyn,grn,19951005,4-1,-1
psv,rkc,19951014,4-0,-1
gae,nac,19951014,1-1,-1
grn,rdj,19951014,0-1,-1
utr,fst,19951014,2-3,-1
hrv,spr,19951014,4-0,-1
vol,grf,19951015,1-1,-1
wl2,fyn,19951015,2-2,-1
vit,nec,19951015,2-2,-1
twn,ajx,19951015,0-3,-1
nac,utr,19951017,3-0,-1
spr,twn,19951020,4-2,-1
grf,rdj,19951021,0-2,-1
wl2,rkc,19951021,1-2,-1
fst,hrv,19951021,1-2,-1
gae,vit,19951021,1-3,-1
nec,vol,19951021,2-1,-1
