club_id,matches,wins,draws,losses,points,goals_scored,goals_against
ajx,34,27, 4, 3,58,96,19
fyn,34,25, 5, 4,55,84,21
gae,34,17, 8, 9,42,65,41
ado,34,15,11, 8,41,53,34
spr,34,15,10, 9,40,53,33
grn,34,10,16, 8,36,38,35
xd6,34,13, 9,12,35,45,47
twn,34,13, 8,13,34,56,58
dws,34,12, 8,14,32,47,57
nec,34, 9,13,12,31,41,51
tlr,34,11, 7,16,29,43,55
vol,34, 8,13,13,29,39,56
mvv,34, 8,12,14,28,37,50
psv,34, 9, 9,16,27,43,54
nac,34, 9, 8,17,26,25,56
dos,34, 6,13,15,25,40,64
f54,34, 6,13,15,25,37,70
sit,34, 6, 7,21,19,38,79
