club id,matches,wins,draws,losses,points,goals scored,goals against
psv,34,27, 5, 2,59,99,21
ajx,34,25, 3, 6,53,92,30
fyn,34,15,12, 7,42,73,43
rdj,34,15, 9,10,39,51,45
vvv,34,10,17, 7,37,46,45
utr,34,15, 6,13,36,62,56
twn,34,12,12,10,36,39,44
spr,34,11,12,11,34,52,48
fst,34,10,12,12,32,47,49
dbs,34,10,12,12,32,43,52
zwl,34,10,11,13,31,61,57
hrl,34,11, 9,14,31,32,57
grn,34, 9,12,13,30,43,43
adh,34, 8,12,14,28,46,64
az1,34, 7,13,14,27,31,57
gae,34, 5,13,16,23,23,48
vnd,34, 4,15,15,23,37,67
exc,34, 5, 9,20,19,40,91
