club1,club2,dd,result,spectators,remark
vol,vit,20230811,1-2,6382,
psv,utr,20230812,2-0,32486,
hrv,rkc,20230812,3-1,19500,
ajx,hrc,20230812,4-1,54029,
pzw,spr,20230812,1-2,12500,
nec,exc,20230813,3-4,12207,
fyn,fst,20230813,0-0,47500,
az1,gae,20230813,5-1,16782,
omn,twn,20230813,1-4,3616,
hrc,nec,20230818,2-1,12080,
exc,ajx,20230819,2-2,4400,
vit,psv,20230819,1-3,14876,
fst,omn,20230819,2-1,8893,
gae,vol,20230819,4-1,9376,
utr,hrv,20230820,0-2,19878,
spr,fyn,20230820,2-2,10600,
twn,pzw,20230820,3-1,29000,
rkc,az1,20230820,1-3,6722,
nec,rkc,20230826,3-0,12319,
exc,fst,20230826,2-2,4139,
pzw,utr,20230827,1-0,14000,
fyn,omn,20230827,6-1,47500,
hrv,spr,20230827,1-3,19700,
spr,nec,20230901,1-1,10111,
omn,pzw,20230902,1-2,3824,
gae,hrv,20230902,3-2,9723,
rkc,psv,20230902,0-4,6609,
hrc,exc,20230902,3-1,11185,
utr,fyn,20230903,1-5,20366,
fst,ajx,20230903,0-0,12138,
vol,twn,20230903,0-2,6600,
vit,az1,20230903,0-2,15734,
fyn,hrv,20230916,6-1,47500,
vit,rkc,20230916,0-2,16362,
fst,vol,20230916,3-1,9238,
psv,nec,20230916,4-0,34200,
hrc,utr,20230916,1-3,,
pzw,gae,20230917,1-1,13750,
twn,ajx,20230917,3-1,30000,
exc,omn,20230917,0-0,4400,
az1,spr,20230917,2-0,18389,
gae,fst,20230922,3-0,9804,
vol,hrc,20230923,2-2,6600,
nec,utr,20230923,3-0,12500,
omn,psv,20230923,0-4,4332,
hrv,exc,20230923,0-3,19630,
spr,vit,20230924,1-0,10320,
pzw,az1,20230924,0-3,14000,
rkc,twn,20230924,1-0,5512,
ajx,fyn,20230927,0-4,,gestaakt bij 0-3; 3 dagen later zonder publiek uitgespeeld
psv,gae,20230927,3-0,33400,
twn,vit,20230927,1-0,29000,
az1,hrc,20230928,1-1,16276,
fyn,gae,20230930,3-1,47500,
psv,vol,20230930,3-1,34000,
utr,omn,20230930,0-2,22177,
twn,hrv,20230930,1-0,29500,
nec,vit,20231001,1-3,12500,
exc,spr,20231001,2-1,4400,
hrc,pzw,20231001,2-1,11624,
az1,fst,20231001,4-0,19478,
vol,utr,20231006,1-0,6525,
hrv,nec,20231007,1-1,20600,
omn,rkc,20231007,1-0,4228,
gae,hrc,20231007,4-0,9833,
vit,exc,20231007,0-0,13887,
pzw,fyn,20231008,0-2,14000,
ajx,az1,20231008,1-2,54028,
fst,twn,20231008,0-3,11048,
spr,psv,20231008,0-4,10595,
psv,fst,20231021,3-1,34200,
rkc,vol,20231021,2-1,6188,
nec,omn,20231021,1-1,12500,
fyn,vit,20231021,4-0,47500,
az1,hrv,20231021,3-0,17421,
utr,ajx,20231022,4-3,22198,
hrc,twn,20231022,2-2,12080,
exc,pzw,20231022,2-4,4400,
gae,spr,20231022,0-0,9837,
vit,pzw,20231027,1-1,15023,
hrv,hrc,20231028,3-0,21700,
spr,rkc,20231028,2-0,10341,
omn,gae,20231028,0-0,4222,
fst,utr,20231028,0-0,10102,
twn,fyn,20231029,2-1,30000,
psv,ajx,20231029,5-2,34700,
vol,exc,20231029,3-1,6500,
ajx,vol,20231102,2-0,54177,
hrc,psv,20231104,0-6,11867,
rkc,fyn,20231104,1-2,7186,
exc,az1,20231104,1-1,4400,
gae,vit,20231104,5-1,9848,
utr,twn,20231105,1-1,17491,
nec,vol,20231105,3-3,12500,
pzw,fst,20231105,2-0,14000,
ajx,hrv,20231105,4-1,54288,
spr,omn,20231105,1-2,10132,
fst,hrc,20231110,4-1,10196,
rkc,gae,20231111,0-1,6157,
twn,nec,20231111,3-3,30000,
vit,hrv,20231111,1-3,14793,
psv,pzw,20231112,4-0,34200,
omn,ajx,20231112,2-2,4222,
vol,spr,20231112,1-4,6784,
fyn,az1,20231112,1-0,47500,
utr,exc,20231112,2-2,20235,
exc,fyn,20231125,2-4,4400,
twn,psv,20231125,0-3,30000,
hrv,fst,20231125,3-0,21000,
ajx,vit,20231125,5-0,48250,
pzw,rkc,20231125,1-2,14000,
omn,hrc,20231126,0-5,4222,
az1,vol,20231126,3-0,18261,
nec,gae,20231126,1-1,12500,
spr,utr,20231126,1-2,10030,
hrv,omn,20231201,3-0,20555,
vol,pzw,20231202,0-5,6800,
rkc,exc,20231202,2-2,5869,
fst,vit,20231202,3-1,10009,
hrc,spr,20231202,0-1,11645,
fyn,psv,20231203,1-2,47500,
nec,ajx,20231203,1-2,12500,
gae,twn,20231203,1-3,9820,
utr,az1,20231203,1-1,18267,
az1,nec,20231206,1-2,18000,restant
rkc,ajx,20231206,2-3,7159,restant
psv,hrv,20231207,2-0,34000,
fyn,vol,20231207,3-1,40000,
twn,exc,20231208,4-2,29000,
ajx,spr,20231209,2-1,54526,
pzw,nec,20231209,1-3,13324,
az1,omn,20231209,4-1,18429,
gae,utr,20231210,0-2,9873,
fst,rkc,20231210,1-0,10397,
vit,hrc,20231210,2-0,17061,
nec,fst,20231215,4-1,12500,
utr,rkc,20231216,1-1,22033,
exc,gae,20231216,1-1,4400,
hrv,vol,20231216,1-2,21800,
omn,vit,20231217,5-0,4222,
hrc,fyn,20231217,0-4,12080,
spr,twn,20231217,2-2,10289,
ajx,pzw,20231217,2-2,53853,
az1,psv,20231217,0-4,18874,
rkc,hrc,20240112,1-2,6412,
fst,spr,20240113,0-2,9800,
twn,az1,20240113,2-1,29500,
pzw,hrv,20240113,2-2,14000,
psv,exc,20240113,3-1,34200,
vol,omn,20240114,0-1,6738,
gae,ajx,20240114,2-3,9997,
vit,utr,20240114,0-0,14207,
fyn,nec,20240114,2-2,47500,
exc,hrv,20240119,3-0,4400,
nec,twn,20240120,1-0,12500,
hrc,vol,20240120,1-1,12080,
az1,pzw,20240120,2-2,17782,
utr,psv,20240121,1-1,21727,
vit,fyn,20240121,1-2,18467,
spr,gae,20240121,0-2,10078,
ajx,rkc,20240121,4-1,54514,
omn,fst,20240124,0-0,4122,
pzw,vit,20240126,1-0,12800,
psv,omn,20240127,2-0,34400,
rkc,spr,20240127,1-1,6517,
hrc,ajx,20240127,2-4,12080,
exc,utr,20240127,1-1,4400,
hrv,az1,20240128,2-2,20202,
fyn,twn,20240128,0-0,47500,
gae,nec,20240128,2-2,9997,
vol,fst,20240128,0-1,6458,
omn,exc,20240202,2-1,4222,
twn,rkc,20240203,3-0,29700,
fst,hrv,20240203,3-3,9915,
ajx,psv,20240203,1-1,53744,
nec,hrc,20240203,3-1,12500,
vit,gae,20240204,0-2,15494,
az1,fyn,20240204,0-1,18414,
utr,vol,20240204,4-2,20161,
spr,pzw,20240204,0-2,9446,
rkc,nec,20240209,2-0,6183,
exc,twn,20240210,0-3,4400,
omn,az1,20240210,0-0,4223,
hrc,vit,20240210,3-2,11834,
gae,pzw,20240211,1-1,9469,
hrv,ajx,20240211,3-2,24150,
utr,fst,20240211,4-0,18463,
vol,psv,20240211,1-5,6860,
fyn,spr,20240211,2-0,47500,
psv,hrc,20240216,2-0,34200,
fst,az1,20240217,1-2,9705,
spr,exc,20240217,4-2,10459,
pzw,omn,20240217,0-1,13714,
hrv,gae,20240217,0-2,22020,
twn,utr,20240218,0-1,29500,
ajx,nec,20240218,2-2,53521,
vit,vol,20240218,1-1,18817,
fyn,rkc,20240218,1-0,47500,
utr,hrc,20240223,1-0,20012,
rkc,fst,20240224,0-1,6084,
pzw,psv,20240224,1-7,14000,
nec,spr,20240224,2-0,12500,
exc,vit,20240225,1-2,4400,
omn,fyn,20240225,0-2,4223,
twn,gae,20240225,3-0,30000,
az1,ajx,20240225,2-0,19016,
vol,hrv,20240225,0-4,6647,
vol,nec,20240301,2-5,6932,
gae,rkc,20240302,1-0,9847,
vit,twn,20240302,1-2,15356,
spr,az1,20240302,1-1,10211,
ajx,utr,20240303,2-0,53159,
psv,fyn,20240303,2-2,35000,
hrv,pzw,20240303,2-0,22849,
fst,exc,20240303,5-2,10306,
hrc,omn,20240303,2-2,11381,
gae,psv,20240308,0-1,9997,
twn,spr,20240309,2-1,29750,
omn,utr,20240309,1-1,4222,
rkc,vit,20240309,3-1,6862,
az1,exc,20240310,4-0,18195,
ajx,fst,20240310,2-2,54252,
pzw,vol,20240310,1-1,13560,
nec,hrv,20240310,2-0,12500,
fyn,hrc,20240310,3-0,47500,
hrc,gae,20240315,2-0,11834,
fst,pzw,20240316,3-1,11017,
exc,rkc,20240316,1-1,4400,
vit,omn,20240316,1-1,19043,
vol,az1,20240317,0-4,6920,
hrv,fyn,20240317,2-3,24289,
utr,nec,20240317,1-0,21147,
spr,ajx,20240317,2-2,10599,
psv,twn,20240317,1-0,34800,
nec,psv,20240330,3-1,12540,
spr,fst,20240330,4-0,9535,
gae,exc,20240330,3-0,9767,
rkc,hrv,20240330,1-1,6733,
az1,vit,20240330,2-0,18367,
pzw,ajx,20240331,1-3,14000,
fyn,utr,20240331,4-2,47500,
twn,hrc,20240331,1-0,30000,
omn,vol,20240331,1-1,4222,
vit,spr,20240402,1-4,15726,
exc,psv,20240402,0-2,4400,
fst,nec,20240402,1-1,9304,
hrc,az1,20240403,5-0,11756,
utr,pzw,20240403,5-1,19606,
hrv,twn,20240403,3-3,20954,
vol,fyn,20240404,0-0,6789,
rkc,omn,20240404,0-0,6173,
ajx,gae,20240404,1-1,53820,
spr,hrc,20240406,1-2,9820,
psv,az1,20240406,5-1,34700,
pzw,exc,20240406,2-1,13655,
twn,fst,20240406,2-0,30000,
vit,nec,20240407,0-3,14026,
fyn,ajx,20240407,6-0,47500,
gae,omn,20240407,1-1,9827,
vol,rkc,20240407,3-2,6769,
hrv,utr,20240407,2-3,20417,
exc,vol,20240412,4-0,4400,
psv,vit,20240413,6-0,34200,
az1,rkc,20240413,3-2,18309,
omn,spr,20240413,2-3,4222,
hrc,hrv,20240414,0-2,12080,
fst,fyn,20240414,0-1,11278,
utr,gae,20240414,2-1,22676,
ajx,twn,20240414,2-1,53718,
nec,pzw,20240414,2-2,12540,
vit,straf,pnt,18,,dd 19 april
twn,omn,20240424,3-1,30000,
ajx,exc,20240424,2-2,55076,
hrv,psv,20240425,0-8,24500,
gae,fyn,20240425,1-3,9997,
nec,az1,20240428,0-3,12540,
pzw,hrc,20240428,3-1,13857,
rkc,utr,20240428,2-2,6734,
spr,vol,20240428,1-0,10021,
vit,fst,20240428,3-2,17826,
omn,hrv,20240503,1-1,4222,
fst,gae,20240503,0-0,10956,
psv,spr,20240505,4-2,34300,
hrc,rkc,20240505,0-5,12080,
vol,ajx,20240505,1-4,7000,
utr,vit,20240505,1-0,20314,
az1,twn,20240505,2-1,18827,
fyn,pzw,20240505,5-0,47500,
exc,nec,20240506,0-3,4400,
fst,psv,20240512,1-1,11384,
nec,fyn,20240512,2-3,12540,
ajx,omn,20240512,3-0,54697,
gae,az1,20240512,0-3,9941,
twn,vol,20240512,7-2,29700,
utr,spr,20240512,0-1,22270,
hrv,vit,20240512,1-3,23720,
rkc,pzw,20240512,1-1,6988,
exc,hrc,20240512,4-0,4400,
psv,rkc,20240519,3-1,34700,
fyn,exc,20240519,4-0,43000,
pzw,twn,20240519,1-2,14000,
az1,utr,20240519,3-3,,
vit,ajx,20240519,2-2,18796,
omn,nec,20240519,1-4,,
spr,hrv,20240519,2-1,10272,
vol,gae,20240519,1-2,6800,
hrc,fst,20240519,0-0,11824,
