club1,club2,dd,result,spectators,remark
twn,rkc,20010817,1-0,13250,
grn,psv,20010818,2-2,12850,
dbs,hrv,20010818,0-0, 4251,
nac,utr,20010818,1-0,13126,
grf,az1,20010818,3-0,10800,
fst,vit,20010819,0-0,10000,
fyn,spr,20010819,5-0,43396,
ajx,rdj,20010819,1-1,33116,
wl2,nec,20010819,3-1,12754,
nac,twn,20010821,3-3,11704,
grn,wl2,20010822,1-0,11005,
rdj,fyn,20010822,0-2,17000,
psv,dbs,20010822,3-2,31000,
vit,az1,20010822,1-0,23500,
nec,rkc,20010822,1-0, 9000,
fst,grf,20010822,2-1, 6000,
spr,utr,20010822,3-1, 6433,
hrv,ajx,20011024,5-1,14011,
hrv,nac,20010824,5-0,14300,
vit,utr,20010825,1-0,24000,
wl2,psv,20010825,3-1,14500,
twn,rdj,20010825,3-0,13200,
az1,spr,20010825,3-0, 6057,
grf,nec,20010825,1-1,10250,
fyn,ajx,20010826,1-2,42000,
rkc,grn,20010826,4-0, 5550,
dbs,fst,20010826,4-0, 4725,
hrv,vit,20010907,1-1,14300,
nec,fyn,20010908,0-3,12300,
rdj,grf,20010908,0-1,14500,
twn,ajx,20010908,0-2,13250,
psv,fst,20010908,3-0,30000,
az1,nac,20010908,2-1, 6943,
spr,rkc,20010909,0-0, 6300,
wl2,dbs,20010909,1-1,13500,
utr,grn,20010909,3-1,13500,
fst,wl2,20010914,1-2, 5500,
nac,psv,20010915,2-0,14258,
vit,spr,20010915,1-1,23500,
fyn,grf,20010915,2-0,38000,
dbs,nec,20010916,2-1, 5150,
ajx,az1,20010916,1-0,32353,
rkc,hrv,20010916,2-1, 5500,
utr,rdj,20010916,4-1,13000,
grn,twn,20010916,3-0,11219,
rdj,dbs,20010921,4-1,13500,
hrv,psv,20010922,4-1,14300,
rkc,fst,20010922,1-0, 6250, # missing: gemiddelde vorige/volgende
ajx,spr,20010923,3-0,32388,
grf,vit,20010923,0-2,11000,
az1,utr,20010923,1-0, 6876,
nec,grn,20010923,1-0, 9000,
nac,wl2,20011017,1-1,13653,
twn,fyn,20011219,3-2,13500,
grf,nac,20010928,4-2,10450,
fst,nec,20010929,2-2, 6000, # missing: gemiddelde vorige/volgende
psv,vit,20010929,0-2,31000,
wl2,az1,20010929,2-2,13300,
grn,ajx,20010930,1-4,13000,
spr,twn,20010930,1-1, 7436,
utr,rkc,20010930,2-1,13000,
dbs,fyn,20010930,0-0, 5897,
rdj,hrv,20010930,0-2,14000,
spr,dbs,20011007,1-1, 6340,
rkc,grf,20011009,2-0, 7000,
az1,psv,20011009,1-1, 7821,
twn,wl2,20011009,0-0,13000,
nac,rdj,20011009,2-1,10532,
hrv,utr,20011010,1-2,13400,
ajx,nec,20011010,5-0,31665,
vit,grn,20011017,1-0,23500,
rdj,psv,20011012,0-1,17000,
fst,spr,20011013,3-4, 6500,
hrv,az1,20011013,2-1,14300,
rkc,ajx,20011013,0-2, 6100,
utr,wl2,20011014,3-1,12000,
nac,dbs,20011014,0-0,13076,
fyn,grn,20011014,1-0,41000,
nec,vit,20011014,1-0,12500,
grf,twn,20011014,4-2,10990,
psv,grf,20011020,4-0,31500,
wl2,rkc,20011020,3-1,13700,
az1,fyn,20011020,1-3, 7783,
vit,nac,20011020,1-0,24011,
spr,rdj,20011020,0-3, 6895,
dbs,utr,20011021,1-1, 5257,
grn,hrv,20011021,1-1,13000,
nec,twn,20011021,2-0,10000,
ajx,fst,20011204,4-0,32502,
rdj,nec,20011026,0-0,12500,
hrv,grf,20011027,1-0,14200,
psv,rkc,20011027,2-0,31000,
twn,vit,20011027,0-0,12800,
az1,fst,20011027,3-0, 6645,
ajx,wl2,20011028,4-1,37562,
grn,dbs,20011028,2-0,11783,
fyn,utr,20011028,4-0,40000,
spr,nac,20011030,2-3, 6913,
wl2,vit,20011102,1-1,13900,
fst,hrv,20011103,1-0, 7000,
spr,psv,20011103,2-1, 7992,
nec,az1,20011103,1-0,10000,
rkc,dbs,20011103,3-3, 6500,
rdj,grn,20011104,3-1,13500,
utr,twn,20011104,1-1,12000,
nac,fyn,20011104,2-1,15134,
grf,ajx,20011104,1-1,11000,
hrv,spr,20011116,3-0,14200,
fyn,vit,20011117,3-2,40500,
dbs,twn,20011117,1-3, 4722,
wl2,rdj,20011117,1-1,13600,
psv,nec,20011117,3-1,31000,
az1,rkc,20011117,0-1, 7261,
grn,fst,20011118,4-2,12550,
utr,grf,20011118,6-0,13000,
ajx,nac,20011118,1-3,33000,
az1,dbs,20011123,3-2, 6630,
fst,rkc,20011124,1-4, 7000,
nac,grn,20011124,5-0,12549,
twn,hrv,20011124,0-0,13300,
grf,spr,20011124,3-0,11000,
vit,rdj,20011124,2-0,23000,
ajx,psv,20011125,1-3,43432,
nec,utr,20011125,0-3,10500,
fyn,wl2,20011125,3-1,39700,
grn,az1,20011127,0-1,12462,
dbs,grf,20011127,3-1, 4375,
rdj,fst,20011128,1-0,15000,
rkc,fyn,20011128,2-3, 6400,
spr,wl2,20011128,3-2, 6106,
nec,nac,20011128,1-3,10500,
utr,psv,20011128,3-3,13500,
ajx,twn,20011128,3-2,30800,
grf,grn,20011130,1-2,10900,
hrv,fyn,20011201,1-0,14500,
twn,fst,20011201,1-1,13300,
psv,az1,20011201,3-0,31000,
rkc,rdj,20011201,3-0, 5500,
wl2,nac,20011202,2-2,14200,
utr,vit,20011202,3-1,13500,
spr,nec,20011202,0-0, 9000,
dbs,ajx,20020127,0-1, 6155,
fst,dbs,20011207,1-3, 6000,
vit,grf,20011207,2-1,25000,
wl2,hrv,20011208,2-2,13300,
nac,rkc,20011208,0-1,13477,
az1,rdj,20011208,1-2, 7381,
grn,spr,20011209,0-0,12550,
fyn,nec,20011209,5-0,38000,
psv,twn,20011209,1-0,31000,
fst,nac,20011214,2-3, 5000,
dbs,vit,20011215,4-1, 5544,
grf,wl2,20011215,1-1,11000,
rdj,ajx,20011215,1-1,17000,
twn,az1,20011215,0-0,13000,
fyn,psv,20011216,0-0,43000,
grn,utr,20011216,2-2,12674,
nec,hrv,20011216,1-0,10000,
rkc,spr,20011216,1-1, 6550,
fst,utr,20011219,3-3, 6000,
hrv,dbs,20011219,2-0,14200,
ajx,vit,20011219,5-1,34818,
psv,grn,20011222,8-0,30400,
nac,hrv,20011222,2-1,14126,
wl2,twn,20011222,3-3,13500,
vit,rkc,20011222,1-1,24200,
utr,ajx,20011223,3-1,13500,
nec,rdj,20011223,1-0, 9500,
spr,hrv,20020125,1-4, 8286,
az1,grn,20020126,3-2, 6696,
psv,nac,20020126,3-1,32000,
grf,fst,20020126,5-0,10250,
rdj,twn,20020126,2-1,14000,
utr,fyn,20020127,2-2,13500,
vit,nec,20020127,2-1,24600,
rkc,wl2,20020127,0-1, 5600,
wl2,grn,20020131,3-1,12730,
nec,spr,20020201,1-1, 9500,
dbs,rkc,20020202,1-0, 5355,
fst,psv,20020202,0-1, 8000,
twn,grf,20020202,0-0,13400,
az1,vit,20020202,0-0, 7136,
fyn,rdj,20020203,5-0,37000,
utr,hrv,20020203,0-0,13500,
wl2,ajx,20020203,1-3,14700,
grn,nac,20020203,3-0,11500,
rkc,psv,20020205,2-1, 7200,
rdj,utr,20020206,1-0,13500,
fyn,fst,20020206,1-0,32000,
nac,spr,20020206,2-2,11589,
twn,dbs,20020208,4-0,13200,
vit,fst,20020209,1-1,23900,
spr,grf,20020209,1-3, 7853,
az1,hrv,20020209,0-2, 7284,
grn,fyn,20020210,0-1,12500,
ajx,rkc,20020210,3-1,35207,
utr,nec,20020210,1-4,12500,
dbs,spr,20020215,1-1, 4997,
az1,ajx,20020217,0-0, 7970,
grf,rdj,20020216,2-1,11500,
nec,psv,20020216,0-4,12500,
hrv,wl2,20020216,3-0,14300,
vit,fyn,20020217,2-1,27000,
twn,nac,20020217,1-2,13200,
dbs,grn,20020220,1-4, 4896,
spr,az1,20020220,0-4, 7481,
fst,ajx,20020227,1-1, 9640,
rdj,wl2,20020223,2-0,13800,
vit,dbs,20020223,1-1,24300,
nac,ajx,20020224,0-1,15900,
fyn,twn,20020224,1-2,37000, # missing: gemiddelde vorige/volgende
rkc,az1,20020224,3-2, 5500,
psv,utr,20020224,4-0,31000,
nec,grf,20020313,3-1,10500,
hrv,fst,20020313,3-1,14300,
nac,az1,20020301,3-1,12314,
wl2,utr,20020302,4-2,13600,
grf,dbs,20020302,0-1,11000,
ajx,fyn,20020303,1-1,45757,
grn,rkc,20020303,1-1,11561,
spr,fst,20020303,0-0, 8103,
twn,nec,20020303,2-0,13350,
rdj,vit,20020304,0-2,13900, # missing: gemiddelde vorige/volgende
utr,spr,20020308,4-2,13000,
dbs,nac,20020309,1-2, 5060,
fst,grn,20020309,0-1, 5000,
psv,rdj,20020309,4-1,31000,
hrv,rkc,20020309,2-0,14300,
vit,twn,20020309,2-0,25250,
ajx,grf,20020310,4-0,36282,
fyn,az1,20020310,4-1,42000,
nec,wl2,20020310,3-0,10000,
rdj,nac,20020315,1-1,14000,
wl2,spr,20020316,4-0,13400,
az1,grf,20020316,2-1, 6637,
ajx,hrv,20020317,2-0,41937,
rkc,nec,20020317,2-1, 6000,
twn,grn,20020317,0-1,13000,
fyn,dbs,20020317,3-0,37500,
utr,fst,20020317,3-0,13000,
vit,psv,20020317,0-0,26000,
fst,az1,20020322,0-1, 3800,
hrv,nec,20020323,4-0,14300,
nac,vit,20020323,3-3,14414,
dbs,wl2,20020323,1-2, 5347,
psv,ajx,20020324,1-1,33000,
spr,fyn,20020324,0-5,10570,
rkc,twn,20020324,3-1, 6250,
grf,utr,20020324,0-0,11000,
grn,rdj,20020324,0-2,12487,
nec,fst,20020330,3-1, 9500,
az1,twn,20020330,0-2, 6867,
rdj,spr,20020330,3-0,14500,
nac,grf,20020330,1-0,15045,
fyn,rkc,20020331,1-1,42000,
vit,ajx,20020331,3-1,27500,
utr,dbs,20020401,3-1,13500,
psv,hrv,20020401,4-1,33000,
ajx,grn,20020403,4-3,30142,
twn,spr,20020405,2-0,13250,
rdj,az1,20020406,0-0,14500,
vit,hrv,20020406,0-0,26500,
grf,rkc,20020406,3-1,11000,
wl2,fst,20020406,3-0,13300,
grn,nec,20020407,2-2,12368,
fyn,nac,20020407,0-0,38250,
dbs,psv,20020407,0-1, 6100,
nac,nec,20020413,1-3,14326,
dbs,rdj,20020413,3-1, 5784,
grf,hrv,20020413,1-2,11000,
fst,twn,20020413,2-0, 4000,
az1,wl2,20020413,2-2, 7290,
psv,fyn,20020414,2-0,31500,
spr,ajx,20020414,0-4, 9427,
grn,vit,20020414,0-1,12104,
rkc,utr,20020414,1-2, 7300,
fst,fyn,20020419,1-2,12000,
wl2,grf,20020420,2-2,13700,
twn,psv,20020420,1-1,13250,
hrv,rdj,20020420,0-0,14300,
spr,vit,20020420,0-1, 7926,
rkc,nac,20020420,4-1, 7200,
ajx,utr,20020421,1-0,33850,
nec,dbs,20020421,2-1, 9500,
hrv,grn,20020424,2-0,14400,
psv,wl2,20020424,6-0,33000,
utr,az1,20020424,3-2,13000,
grf,fyn,20020425,1-0,11000,
vit,wl2,20020428,4-2,25250,
nac,fst,20020428,3-1,10344,
twn,utr,20020428,2-0,13250,
psv,spr,20020428,3-0,33000,
grn,grf,20020428,2-0,12551,
az1,nec,20020428,5-0, 7175,
fyn,hrv,20020428,3-2,45000,
rdj,rkc,20020428,1-0,14500,
ajx,dbs,20020428,2-0,40123,
hrv,twn,20020505,0-0,14400,
spr,grn,20020505,0-0, 7164,
wl2,fyn,20020505,0-0,14400,
grf,psv,20020505,2-2,11000,
dbs,az1,20020505,0-1, 4626,
utr,nac,20020505,0-0,13300,
fst,rdj,20020505,0-0, 5500,
nec,ajx,20020505,0-2,12500,
rkc,vit,20020505,3-2, 7000,
