club_id,matches,wins,draws,losses,points,goals_scored,goals_against
psv,34,23, 7, 4,53,84,28
ajx,34,22, 9, 3,53,75,21
grn,34,18,10, 6,46,62,38
utr,34,16,10, 8,42,42,29
vit,34,11,15, 8,37,39,32
twn,34,13,10,11,36,58,48
rkc,34,11,13,10,35,51,49
fyn,34, 8,16,10,32,39,40
vol,34,10,12,12,32,37,45
rdj,34,12, 7,15,31,40,53
wl2,34,13, 4,17,30,53,50
fst,34, 9,12,13,30,33,47
spr,34, 7,15,12,29,40,57
adh,34,10, 8,16,28,40,60
mvv,34, 9, 9,16,27,38,56
svv,34, 8, 8,18,24,31,52
hrv,34, 9, 6,19,24,41,63
nec,34, 6,11,17,23,27,62
