club1,club2,dd,result,spectators,remark
fst,gae,20250808,2-2,8872,
nec,exc,20250809,5-0,12650,
fyn,nac,20250809,2-0,47500,
hrv,vol,20250809,1-1,23764,
psv,spr,20250809,6-1,34300,
pzw,twn,20250810,1-0,13789,
ajx,tlr,20250810,2-0,54665,
az1,grn,20250810,4-1,17935,
utr,hrc,20250810,4-0,21875,
tlr,pzw,20250815,0-2,5293,
exc,fyn,20250816,1-2,3845,
hrc,nec,20250816,1-4,11905,
grn,hrv,20250816,2-1,22525,
gae,ajx,20250817,2-2,9997,
twn,psv,20250817,0-2,30000,
spr,utr,20250817,2-1,10040,
vol,az1,20250817,2-2,6376,
nac,fst,20250817,2-1,20012,
gae,spr,20250823,0-3,9997,
psv,grn,20250823,4-2,34800,
tlr,vol,20250823,2-2,5273,
hrv,twn,20250824,1-2,21772,
utr,exc,20250824,4-1,21547,
nec,nac,20250824,3-0,12650,
ajx,hrc,20250824,2-0,54683,
grn,hrc,20250829,4-0,22525,
vol,ajx,20250830,1-1,6864,
hrv,gae,20250830,2-2,22771,
psv,tlr,20250830,0-2,34500,
exc,twn,20250830,1-0,3608,
fst,nec,20250831,3-2,10537,
spr,fyn,20250831,0-4,10599,
pzw,utr,20250831,0-2,13789,
nac,az1,20250831,0-1,20215,
ajx,pzw,20250913,3-1,54081,
nec,psv,20250913,3-5,12650,
gae,vol,20250913,3-0,10003,
fyn,hrv,20250913,1-0,47500,
twn,nac,20250913,2-2,29500,
exc,spr,20250914,0-1,4400,
utr,grn,20250914,0-1,22681,
hrc,az1,20250914,1-2,11964,
tlr,fst,20250914,1-3,5293,
fyn,fst,20250917,2-0,47500,
spr,twn,20250919,1-5,10468,
vol,exc,20250920,1-2,6471,
grn,tlr,20250920,2-0,22525,
fst,utr,20250920,1-0,10623,
nac,hrc,20250920,2-1,20113,
pzw,gae,20250921,0-2,14000,
psv,ajx,20250921,2-2,35700,
hrv,nec,20250921,3-2,22411,
az1,fyn,20250921,3-3,19000,
az1,pzw,20250924,2-2,17332,
twn,fst,20250926,3-2,29500,
ajx,nac,20250927,2-1,55865,
vol,pzw,20250927,2-1,6667,
exc,psv,20250927,1-2,4400,
hrc,spr,20250927,3-0,11842,
nec,az1,20250928,2-1,12650,
grn,fyn,20250928,0-1,22525,
utr,hrv,20250928,2-2,23001,
tlr,gae,20250928,4-2,5250,
nac,grn,20251003,1-2,20369,
spr,ajx,20251004,3-3,10599,
fst,vol,20251004,1-0,10986,
pzw,psv,20251004,0-4,14000,
hrv,exc,20251004,2-1,22298,
twn,hrc,20251005,2-1,30000,
fyn,utr,20251005,3-2,47500,
az1,tlr,20251005,2-1,19000,
gae,nec,20251005,1-1,10037,
