club1,club2,dd,result,spectators
az1,hrv,20131221,1-5,15621
hrc,vit,20131221,2-2, 7470
nac,cmb,20131221,1-0,17250
fyn,pzw,20131221,3-0,47500
rdj,ajx,20131222,1-2,18058
grn,nec,20131222,5-2,20000
gae,utr,20131222,2-1, 7538
psv,adh,20131222,2-0,32000
twn,hrc,20140117,3-1,29750
pzw,vit,20140118,1-2,12350
hrv,rdj,20140118,2-2,22500
rkc,grn,20140118,1-1, 6319
az1,nac,20140118,3-0,15175
ajx,psv,20140119,1-0,51396
utr,fyn,20140119,2-5,22134
cmb,gae,20140119,2-0, 9345
nec,adh,20140119,3-1,10550
hrc,rkc,20140124,2-1, 8311
adh,fyn,20140125,3-2,12789
nac,pzw,20140125,1-2,18150
psv,az1,20140125,1-0,32000
rdj,utr,20140125,1-0,12905
gae,ajx,20140126,0-1, 7938
cmb,hrv,20140126,3-1,10000
vit,nec,20140126,1-1,20600
fyn,vit,20140131,1-1,47000
az1,grn,20140201,2-0,15311
hrc,nac,20140201,1-2, 8425
pzw,rdj,20140201,3-1,12220
hrv,adh,20140201,3-0,21000
utr,ajx,20140202,1-1,19245
twn,cmb,20140202,3-1,29650
nec,gae,20140202,1-1,11150
rkc,psv,20140202,2-0, 7023
rdj,fyn,20140204,1-2,13793
adh,hrc,20140204,0-3,10343
vit,az1,20140204,0-2,18213
cmb,psv,20140205,1-2, 9600
nec,nac,20140205,1-1,11200
gae,rkc,20140205,2-2, 7619
hrv,twn,20140205,0-2,22223
ajx,grn,20140206,2-1,50638
utr,pzw,20140206,1-2,15250
vit,adh,20140207,0-0,16753
psv,twn,20140208,3-2,34000
nac,rdj,20140208,2-0,17550
gae,az1,20140208,2-1, 7938
fyn,nec,20140208,5-1,47000
pzw,ajx,20140209,1-1,12500
grn,hrv,20140209,1-3,20193
rkc,utr,20140209,5-2, 5712
hrc,cmb,20140209,1-1, 8325
grn,twn,20140212,1-1,19555
psv,hrc,20140214,2-1,32500
twn,vit,20140215,2-0,29900
rdj,adh,20140215,0-1,13997
rkc,nec,20140215,1-3, 6228
az1,utr,20140215,1-1,15489
cmb,pzw,20140216,3-1, 9739
nac,fyn,20140216,1-1,18500
grn,gae,20140216,1-0,18851
ajx,hrv,20140216,3-0,51396
adh,gae,20140221,3-2,11186
nec,psv,20140222,0-2,11800
pzw,hrc,20140222,1-1,12100
cmb,rdj,20140222,1-0, 9870
hrv,nac,20140222,0-0,22147
twn,fyn,20140223,2-2,29900
ajx,az1,20140223,4-0,51404
vit,rkc,20140223,3-1,23411
utr,grn,20140223,1-0,17124
hrc,hrv,20140228,1-2, 8376
pzw,nec,20140301,3-3,12100
adh,nac,20140301,1-1,10139
gae,psv,20140301,2-3, 7898
vit,rdj,20140301,3-0,16908
utr,twn,20140302,1-1,16666
fyn,ajx,20140302,1-2,47500
grn,cmb,20140302,1-1,19709
az1,rkc,20140302,4-0,15238
az1,hrc,20140308,4-0,15216
rdj,nec,20140308,3-1,15421
hrv,pzw,20140308,3-0,22959
nac,vit,20140308,1-2,17800
psv,utr,20140308,1-0,33200
rkc,adh,20140309,1-1, 5226
grn,fyn,20140309,0-2,21674
gae,twn,20140309,1-0, 7938
ajx,cmb,20140309,1-1,52354
cmb,rkc,20140314,3-2, 9638
vit,psv,20140315,1-2,23076
adh,grn,20140315,2-1,10877
hrc,rdj,20140315,2-1, 8471
twn,az1,20140317,2-1,29705
nec,utr,20140317,2-2,11200
pzw,gae,20140317,2-0,12500
fyn,hrv,20140317,2-0,47500
nac,ajx,20140317,0-0,18500
grn,vit,20140322,3-1,19787
hrv,nec,20140322,2-2,24000
psv,rdj,20140322,3-1,32700
az1,pzw,20140323,2-1,15285
nac,utr,20140328,2-2,18100
vit,hrv,20140329,2-2,22176
nec,hrc,20140329,1-2,12107
psv,grn,20140329,2-3,34100
ajx,twn,20140330,3-0,51117
fyn,gae,20140330,5-0,45000
rdj,rkc,20140330,0-1,15734
adh,pzw,20140330,1-1,11711
cmb,az1,20140330,0-0, 9804
rkc,ajx,20140402,0-2, 7508
hrc,fyn,20140402,1-2, 7985
twn,adh,20140402,1-1,29100
gae,nac,20140402,2-1, 7830
utr,cmb,20140402,1-0,17531
pzw,grn,20140404,0-1,12500
hrv,psv,20140405,3-0,25600
nac,twn,20140405,0-2,18800
nec,cmb,20140405,1-1,11250
hrc,gae,20140405,1-2, 8460
adh,utr,20140406,4-1, 8500
vit,ajx,20140406,1-1,25500
fyn,rkc,20140406,2-0,47500
rdj,az1,20140406,2-2,14421
grn,nac,20140411,2-1,21289
gae,hrv,20140412,0-2, 7938
cmb,vit,20140412,4-3, 9639
twn,rdj,20140412,3-0,29600
az1,nec,20140413,1-1,15344
utr,hrc,20140413,2-1,19004
rkc,pzw,20140413,1-1, 6671
ajx,adh,20140413,3-2,52671
psv,fyn,20140413,0-2,34300
hrc,ajx,20140427,1-1, 8500
fyn,cmb,20140427,5-1,47500
nec,twn,20140427,2-5,12400
vit,gae,20140427,2-2,20874
pzw,psv,20140427,1-2,12350
hrv,utr,20140427,4-1,24600
adh,az1,20140427,2-1,14756
rdj,grn,20140427,1-2,15617
nac,rkc,20140427,1-1,19000
ajx,nec,20140503,2-2,51473
az1,fyn,20140503,1-1,16749
twn,pzw,20140503,2-2,29800
psv,nac,20140503,2-0,34000
utr,vit,20140503,2-1,19504
rkc,hrv,20140503,0-3, 6204
grn,hrc,20140503,3-1,20430
cmb,adh,20140503,1-2, 9955
gae,rdj,20140503,0-1, 8011
