club1,club2,dd,result,spectators
wl2,nac,20120810,1-1,12400
rkc,psv,20120811,3-2, 7400
rdj,pzw,20120811,1-1,11855
hrc,vvv,20120811,1-1, 8211
utr,fyn,20120812,0-1,19000
twn,grn,20120812,4-1,29400
vit,adh,20120812,2-2,16499
hrv,nec,20120812,0-2,20000
ajx,az1,20120812,2-2,48412
psv,rdj,20120818,5-0,33000
pzw,vit,20120818,0-1, 9820
vvv,utr,20120818,1-3, 6500
nac,twn,20120818,0-1,15500
fyn,hrv,20120818,1-1,44000
grn,wl2,20120819,1-1,20448
az1,hrc,20120819,3-1,15495
adh,rkc,20120819,2-2,10211
nec,ajx,20120819,1-6,12000
rkc,rdj,20120824,1-0, 6000
utr,pzw,20120825,1-1,15147
vvv,adh,20120825,2-4, 7150
ajx,nac,20120825,5-0,48785
az1,hrv,20120826,0-0,15895
hrc,fyn,20120826,1-2, 8500
nec,twn,20120826,1-3,12500
wl2,vit,20120826,0-2, 9500
grn,psv,20120826,1-3,20728
adh,grn,20120831,0-1,10056
rdj,wl2,20120901,3-0,12365
rkc,hrc,20120901,1-1, 5849
pzw,nec,20120901,0-4, 9678
nac,utr,20120901,1-1,16200
vit,fyn,20120902,1-0,18043
psv,az1,20120902,5-1,32200
twn,vvv,20120902,1-0,29000
hrv,ajx,20120902,2-2,26100
ajx,rkc,20120915,2-0,51068
wl2,twn,20120915,2-6,10300
hrv,adh,20120915,1-3,22500
vvv,nec,20120915,2-2, 6500
fyn,pzw,20120915,2-0,46000
hrc,nac,20120916,2-1, 8427
utr,psv,20120916,1-0,17243
az1,rdj,20120916,4-0,15691
grn,vit,20120916,0-3,20197
rdj,utr,20120921,0-1,12167
pzw,grn,20120922,1-2, 9835
rkc,vvv,20120922,1-1, 6000
vit,hrc,20120922,1-1,17003
nec,wl2,20120922,0-0,11125
adh,ajx,20120923,1-1,14009
twn,hrv,20120923,1-0,29200
nac,az1,20120923,2-1,17900
psv,fyn,20120923,3-0,34600
hrv,nac,20120929,2-0,24500
fyn,nec,20120929,5-1,42000
utr,vit,20120929,1-2,15278
hrc,adh,20120929,3-3, 8295
ajx,twn,20120929,1-0,50772
az1,rkc,20120930,3-3,15830
grn,rdj,20120930,3-2,20495
wl2,pzw,20120930,0-1,11300
vvv,psv,20120930,0-6, 8000
nec,adh,20121005,1-1,10875
wl2,rkc,20121006,1-0,11000
pzw,hrc,20121006,0-3,11200
vit,hrv,20121006,3-3,17011
rdj,vvv,20121006,3-0,12464
ajx,utr,20121007,1-1,48836
grn,fyn,20121007,2-2,22174
psv,nac,20121007,4-0,32000
twn,az1,20121007,3-0,29500
hrc,ajx,20121020,3-3, 8500
psv,wl2,20121020,3-2,32000
rdj,twn,20121020,1-1,13212
nac,vit,20121020,0-3,17500
az1,nec,20121020,0-2,16378
hrv,grn,20121021,3-0,26000
rkc,pzw,20121021,1-2, 6000
vvv,fyn,20121021,2-3, 7000
adh,utr,20121021,1-2, 9889
utr,grn,20121026,1-0,17214
adh,wl2,20121027,2-0,10008
nec,rdj,20121027,0-0,11750
vvv,nac,20121027,1-4, 7000
fyn,ajx,20121028,2-2,48000
rkc,twn,20121028,0-1, 6000
pzw,psv,20121028,1-2,11324
hrc,hrv,20121028,6-3, 8303
vit,az1,20121028,1-2,18035
rdj,adh,20121102,0-0,11917
ajx,vit,20121103,0-2,50965
wl2,utr,20121103,1-5,10750
psv,hrc,20121103,4-0,33000
grn,nec,20121104,1-2,20561
az1,vvv,20121104,1-2,16184
twn,fyn,20121104,3-0,30000
hrv,pzw,20121104,2-1,25100
nac,rkc,20121104,2-1,16800
nac,grn,20121109,0-1,17150
rkc,utr,20121110,4-0, 6000
vvv,wl2,20121110,4-1, 7400
adh,az1,20121110,2-2,11000
nec,hrc,20121110,3-2,12000
vit,twn,20121111,0-0,18184
pzw,ajx,20121111,2-4,11324
fyn,rdj,20121111,5-2,44500
psv,hrv,20121111,5-1,33500
adh,psv,20121117,1-6,10129
ajx,vvv,20121117,2-0,49395
hrv,rkc,20121117,0-2,25000
pzw,nac,20121117,2-0,10350
grn,az1,20121117,1-1,21045
vit,nec,20121118,4-1,18072
fyn,wl2,20121118,3-0,45000
utr,twn,20121118,1-1,20119
hrc,rdj,20121118,5-1, 8469
nac,adh,20121123,0-3,17100
nec,utr,20121124,2-0,12350
rkc,grn,20121124,1-1, 6507
vvv,hrv,20121124,2-2, 6666
wl2,hrc,20121124,2-2,10000
rdj,ajx,20121125,1-2,17159
az1,fyn,20121125,0-2,17000
psv,vit,20121125,1-2,33000
twn,pzw,20121125,2-2,29500
pzw,vvv,20121130,0-0,10979
twn,adh,20121201,2-0,29300
fyn,rkc,20121201,2-0,44000
wl2,hrv,20121201,3-1, 9850
ajx,psv,20121201,3-1,51064
nec,nac,20121202,1-1,12200
utr,az1,20121202,2-1,17065
grn,hrc,20121202,2-0,19981
vit,rdj,20121202,3-0,16457
hrc,utr,20121207,1-1, 8395
rkc,nec,20121208,2-0, 5671
adh,pzw,20121208,1-1, 9134
az1,wl2,20121208,0-0,16072
ajx,grn,20121208,2-0,49484
hrv,rdj,20121209,4-4,25250
nac,fyn,20121209,2-2,18400
vvv,vit,20121209,3-1, 6500
psv,twn,20121209,3-0,33000
twn,hrc,20121214,3-2,29800
pzw,az1,20121215,1-2,11061
grn,vvv,20121215,0-0,20587
rdj,nac,20121215,0-0,12820
nec,psv,20121215,1-1,11700
utr,hrv,20121216,3-1,17448
fyn,adh,20121216,3-2,42000
vit,rkc,20121216,2-2,17219
wl2,ajx,20121216,2-4,13825
az1,twn,20121221,0-3,16556
hrv,vit,20121222,2-1,25126
adh,nec,20121222,2-0,11229
hrc,pzw,20121222,1-1, 8442
nac,psv,20121222,1-6,18300
rkc,wl2,20121223,0-0, 6000
utr,ajx,20121223,0-0,18500
fyn,grn,20121223,2-1,43000
vvv,rdj,20121223,2-4, 7000
psv,pzw,20130118,1-3,33000
hrv,hrc,20130119,0-1,24330
twn,rkc,20130119,0-0,29300
nac,vvv,20130119,1-0,17100
az1,vit,20130119,4-1,16078
ajx,fyn,20130120,3-0,53052
grn,utr,20130120,0-2,20539
wl2,adh,20130120,1-1,10050
rdj,nec,20130120,2-0,11852
vvv,az1,20130125,1-4, 5900
rkc,nac,20130126,0-4, 6351
hrc,psv,20130126,1-5, 8500
adh,rdj,20130126,2-2, 8254
pzw,hrv,20130126,1-1,10937
fyn,twn,20130127,0-0,45000
vit,ajx,20130127,3-2,21867
utr,wl2,20130127,3-1,17043
nec,grn,20130127,2-1,12100
rkc,hrv,20130201,0-1, 6000
az1,grn,20130202,0-1,16454
rdj,hrc,20130202,3-3,12606
nac,pzw,20130202,3-0,17500
psv,adh,20130202,7-0,33000
nec,vit,20130203,2-1,12500
twn,utr,20130203,2-4,29500
vvv,ajx,20130203,0-3, 8000
wl2,fyn,20130203,1-3,12300
adh,nac,20130209,2-1, 8298
grn,rkc,20130209,2-1,22328
hrc,wl2,20130209,4-1, 8450
hrv,vvv,20130209,2-2,24663
vit,psv,20130209,2-2,22315
utr,nec,20130210,0-3,17772
ajx,rdj,20130210,1-1,51088
fyn,az1,20130210,3-1,45000
pzw,twn,20130210,1-1,11041
nec,vvv,20130215,1-2,12200
twn,wl2,20130216,1-1,29500
nac,hrc,20130216,1-1,16900
rdj,az1,20130216,2-2,13474
psv,utr,20130216,2-1,32900
vit,grn,20130217,2-1,17087
pzw,fyn,20130217,3-2,11324
adh,hrv,20130217,2-1,11587
rkc,ajx,20130217,0-2, 6000
wl2,nec,20130212,2-3,10650
hrc,vit,20130213,3-5, 8460
grn,pzw,20130213,1-0,20817
vvv,rkc,20130213,1-0, 5750
hrv,twn,20130213,2-1,24885
fyn,psv,20130214,2-1,47000
ajx,adh,20130214,1-1,46772
utr,rdj,20130214,4-0,16258
az1,nac,20130214,0-1,16089
vit,utr,20130301,2-0,18608
nac,hrv,20130302,1-2,17750
psv,vvv,20130302,2-0,32600
pzw,wl2,20130302,2-0,10220
twn,ajx,20130302,0-2,30000
nec,fyn,20130303,0-3,12500
rkc,az1,20130303,2-1, 6000
rdj,grn,20130303,4-1,13112
adh,hrc,20130303,3-1,11147
grn,nac,20130308,1-1,21064
hrv,psv,20130309,2-1,24984
hrc,nec,20130309,1-0, 8405
wl2,vvv,20130309,1-0,13000
az1,adh,20130309,1-1,16000
rdj,fyn,20130310,0-1,16200
ajx,pzw,20130310,3-0,51650
utr,rkc,20130310,1-0,18143
twn,vit,20130310,0-1,29700
pzw,rdj,20130315,3-2,10500
nec,hrv,20130316,1-3,11503
psv,rkc,20130316,2-0,34000
vvv,hrc,20130316,0-2, 7100
adh,vit,20130316,0-4,10577
nac,wl2,20130317,4-0,16500
az1,ajx,20130317,2-3,17016
fyn,utr,20130317,2-1,47000
grn,twn,20130317,0-3,21330
twn,nac,20130330,1-1,29250
utr,vvv,20130330,2-1,19245
wl2,grn,20130330,1-2,11450
hrv,fyn,20130330,2-0,26100
rdj,psv,20130331,2-2,15450
vit,pzw,20130331,2-1,18516
rkc,adh,20130331,4-0, 6000
hrc,az1,20130331,1-2, 8481
ajx,nec,20130331,4-1,51376
fyn,vvv,20130405,1-0,47000
vit,nac,20130406,3-0,20857
twn,rdj,20130406,2-0,29200
pzw,rkc,20130406,1-1,11324
wl2,psv,20130406,1-3,13000
utr,adh,20130407,1-0,16508
grn,hrv,20130407,3-1,22505
nec,az1,20130407,1-1,12200
ajx,hrc,20130407,4-0,51947
vvv,pzw,20130412,0-2, 7100
rdj,vit,20130413,3-3,14452
hrc,grn,20130413,0-2, 8480
nac,nec,20130413,2-0,17400
adh,twn,20130413,1-3,10330
hrv,wl2,20130414,3-2,25306
rkc,fyn,20130414,1-1, 7500
az1,utr,20130414,6-0,16610
psv,ajx,20130414,2-3,34500
ajx,hrv,20130419,1-1,51701
grn,adh,20130420,2-1,22028
hrc,rkc,20130420,4-0, 8468
wl2,rdj,20130420,2-1,11850
az1,psv,20130420,1-3,16679
vvv,twn,20130421,2-2, 5500
utr,nac,20130421,3-0,19566
nec,pzw,20130421,1-3,11600
fyn,vit,20130421,2-0,45000
hrv,az1,20130426,0-4,25800
psv,grn,20130427,5-2,34000
rdj,rkc,20130427,3-1,15039
adh,vvv,20130427,1-1, 9300
nac,ajx,20130427,0-2,19000
twn,nec,20130428,5-2,29200
fyn,hrc,20130428,6-0,47000
pzw,utr,20130428,1-2,11324
vit,wl2,20130428,3-1,19523
ajx,wl2,20130505,5-0,51963
psv,nec,20130505,4-2,33700
adh,fyn,20130505,2-0,11231
rkc,vit,20130505,3-2, 6000
hrc,twn,20130505,1-1, 8500
hrv,utr,20130505,2-4,24800
az1,pzw,20130505,4-0,16567
nac,rdj,20130505,5-3,17500
vvv,grn,20130505,0-0, 5001
wl2,az1,20130512,2-0,11100
nec,rkc,20130512,1-2,11600
twn,psv,20130512,3-1,29350
utr,hrc,20130512,3-0,17125
grn,ajx,20130512,0-2,22289
pzw,adh,20130512,4-2,11066
rdj,hrv,20130512,1-0,13365
fyn,nac,20130512,1-0,47000
vit,vvv,20130512,0-1,18000
